fire_key,ogap_gap_down_rejection,ogap_gap_up_rejection,ogap_strict_partial_touch,smt_pd_high_thesis,sweep_failed_recovered_all,sweep_succeeded_held_rejection_low,n_signals
2025-01-01 | ES.c.0,False,False,False,False,True,False,1
2025-01-03 | YM.c.0,False,False,False,False,True,False,1
2025-01-06 | YM.c.0,False,False,False,False,True,False,1
2025-01-07 | YM.c.0,False,False,False,False,True,True,2
2025-01-08 | ES.c.0,False,False,False,False,True,True,2
2025-01-08 | YM.c.0,False,False,False,False,True,True,2
2025-01-09 | NQ.c.0,False,False,False,False,True,True,2
2025-01-09 | YM.c.0,False,False,False,False,True,False,1
2025-01-10 | YM.c.0,False,False,False,False,True,False,1
2025-01-14 | ES.c.0,False,False,False,False,True,False,1
2025-01-14 | NQ.c.0,False,False,False,False,True,True,2
2025-01-15 | ES.c.0,False,False,False,False,True,True,2
2025-01-16 | ES.c.0,False,False,False,False,True,False,1
2025-01-16 | NQ.c.0,False,False,False,False,True,False,1
2025-01-21 | YM.c.0,False,False,False,False,True,False,1
2025-01-23 | NQ.c.0,False,False,False,False,False,True,1
2025-01-24 | NQ.c.0,False,False,False,False,True,False,1
2025-01-26 | ES.c.0,True,False,True,False,False,False,2
2025-01-26 | NQ.c.0,True,False,True,False,False,False,2
2025-01-26 | YM.c.0,True,False,False,False,False,False,1
2025-01-27 | ES.c.0,False,False,False,False,True,False,1
2025-01-27 | YM.c.0,False,False,False,False,True,False,1
2025-01-28 | ES.c.0,False,False,False,False,True,False,1
2025-01-29 | YM.c.0,False,False,False,False,True,True,2
2025-01-30 | NQ.c.0,False,False,False,False,True,True,2
2025-01-30 | YM.c.0,False,False,False,False,True,False,1
2025-01-31 | YM.c.0,False,False,False,False,True,True,2
2025-02-02 | ES.c.0,True,False,True,False,False,False,2
2025-02-02 | YM.c.0,True,False,False,False,False,False,1
2025-02-03 | ES.c.0,False,False,False,False,True,False,1
2025-02-03 | YM.c.0,False,False,False,False,True,False,1
2025-02-04 | NQ.c.0,False,False,False,False,True,False,1
2025-02-05 | NQ.c.0,False,False,False,False,True,False,1
2025-02-07 | ES.c.0,False,False,False,False,True,False,1
2025-02-09 | ES.c.0,True,False,True,False,False,False,2
2025-02-09 | NQ.c.0,False,False,True,False,False,False,1
2025-02-09 | YM.c.0,True,False,True,False,False,False,2
2025-02-10 | NQ.c.0,False,False,False,False,True,False,1
2025-02-11 | ES.c.0,False,False,False,False,True,True,2
2025-02-11 | NQ.c.0,False,False,False,False,True,False,1
2025-02-11 | YM.c.0,False,False,False,False,True,False,1
2025-02-12 | NQ.c.0,False,False,False,False,True,True,2
2025-02-13 | ES.c.0,False,False,False,False,True,False,1
2025-02-13 | NQ.c.0,False,False,False,False,True,False,1
2025-02-13 | YM.c.0,False,False,False,False,True,False,1
2025-02-16 | ES.c.0,False,False,False,False,True,True,2
2025-02-16 | NQ.c.0,False,True,False,False,False,False,1
2025-02-17 | ES.c.0,False,False,False,False,True,False,1
2025-02-17 | NQ.c.0,False,False,False,False,True,False,1
2025-02-17 | YM.c.0,False,False,False,False,True,True,2
2025-02-19 | NQ.c.0,False,False,False,False,True,False,1
2025-02-19 | YM.c.0,False,False,False,False,True,True,2
2025-02-20 | ES.c.0,False,False,False,False,True,False,1
2025-02-20 | YM.c.0,False,False,False,True,True,False,2
2025-02-21 | NQ.c.0,False,False,False,False,True,True,2
2025-02-23 | ES.c.0,False,True,False,False,False,False,1
2025-02-23 | NQ.c.0,False,True,False,False,False,False,1
2025-02-25 | YM.c.0,False,False,False,False,True,False,1
2025-02-28 | NQ.c.0,False,False,False,False,False,True,1
2025-02-28 | YM.c.0,False,False,False,False,True,True,2
2025-03-03 | ES.c.0,False,False,False,False,True,False,1
2025-03-03 | NQ.c.0,False,False,False,False,True,True,2
2025-03-03 | YM.c.0,False,False,False,False,True,False,1
2025-03-04 | NQ.c.0,False,False,False,False,True,False,1
2025-03-05 | NQ.c.0,False,False,False,False,True,True,2
2025-03-05 | YM.c.0,False,False,False,False,True,False,1
2025-03-06 | ES.c.0,False,False,False,False,True,False,1
2025-03-06 | NQ.c.0,False,False,False,True,True,True,3
2025-03-06 | YM.c.0,False,False,False,False,True,True,2
2025-03-07 | YM.c.0,False,False,False,False,True,True,2
2025-03-09 | ES.c.0,True,False,True,False,False,False,2
2025-03-09 | NQ.c.0,True,False,True,False,False,False,2
2025-03-09 | YM.c.0,False,False,False,True,True,False,2
2025-03-10 | NQ.c.0,False,False,False,True,False,False,1
2025-03-10 | YM.c.0,False,False,False,False,True,True,2
2025-03-11 | NQ.c.0,False,False,False,False,True,True,2
2025-03-12 | NQ.c.0,False,False,False,False,True,True,2
2025-03-13 | ES.c.0,False,False,False,False,False,True,1
2025-03-13 | NQ.c.0,False,False,False,False,False,True,1
2025-03-14 | NQ.c.0,False,False,False,False,False,True,1
2025-03-14 | YM.c.0,False,False,False,False,True,False,1
2025-03-18 | ES.c.0,False,False,False,False,True,True,2
2025-03-18 | YM.c.0,False,False,False,False,False,True,1
2025-03-19 | NQ.c.0,False,False,False,False,True,False,1
2025-03-21 | NQ.c.0,False,False,False,False,False,True,1
2025-03-23 | ES.c.0,False,True,True,False,False,False,2
2025-03-23 | NQ.c.0,False,False,True,False,False,False,1
2025-03-23 | YM.c.0,False,False,True,False,False,False,1
2025-03-26 | ES.c.0,True,False,False,False,True,False,2
2025-03-26 | YM.c.0,False,False,False,False,True,True,2
2025-03-27 | ES.c.0,False,False,False,False,False,True,1
2025-03-27 | NQ.c.0,False,False,False,False,False,True,1
2025-03-27 | YM.c.0,False,False,False,False,False,True,1
2025-03-28 | ES.c.0,False,False,False,False,True,True,2
2025-03-28 | YM.c.0,False,False,False,False,True,True,2
2025-03-30 | NQ.c.0,True,False,False,False,False,False,1
2025-03-30 | YM.c.0,True,False,True,False,False,False,2
2025-03-31 | YM.c.0,False,False,False,False,True,False,1
2025-04-02 | ES.c.0,False,False,False,False,True,False,1
2025-04-02 | NQ.c.0,False,False,False,False,True,True,2
2025-04-02 | YM.c.0,False,False,False,False,True,True,2
2025-04-06 | ES.c.0,True,False,True,False,False,False,2
2025-04-06 | NQ.c.0,True,False,False,False,False,False,1
2025-04-06 | YM.c.0,True,False,False,False,False,False,1
2025-04-11 | NQ.c.0,False,False,False,False,True,True,2
2025-04-13 | ES.c.0,False,False,True,False,False,False,1
2025-04-13 | YM.c.0,False,False,True,False,False,False,1
2025-04-15 | ES.c.0,False,False,False,False,True,False,1
2025-04-15 | YM.c.0,False,False,False,False,True,True,2
2025-04-16 | YM.c.0,False,False,False,False,True,False,1
2025-04-17 | ES.c.0,False,False,False,False,True,True,2
2025-04-17 | NQ.c.0,False,False,False,False,True,True,2
2025-04-21 | ES.c.0,False,False,False,False,True,False,1
2025-04-22 | ES.c.0,False,False,False,False,True,False,1
2025-04-22 | NQ.c.0,False,False,False,False,True,False,1
2025-04-23 | ES.c.0,False,False,False,False,True,False,1
2025-04-24 | NQ.c.0,False,False,False,False,True,True,2
2025-04-24 | YM.c.0,False,False,False,False,True,False,1
2025-04-28 | ES.c.0,False,False,False,False,True,False,1
2025-04-28 | YM.c.0,False,False,False,False,True,False,1
2025-04-29 | ES.c.0,False,False,False,False,True,True,2
2025-04-29 | NQ.c.0,False,False,False,False,False,True,1
2025-04-30 | NQ.c.0,False,False,False,False,True,False,1
2025-04-30 | YM.c.0,False,False,False,False,False,True,1
2025-05-02 | ES.c.0,False,False,False,False,True,True,2
2025-05-02 | NQ.c.0,False,False,False,False,True,True,2
2025-05-05 | ES.c.0,False,False,False,False,True,True,2
2025-05-05 | NQ.c.0,False,False,False,False,True,True,2
2025-05-05 | YM.c.0,False,False,False,False,True,False,1
2025-05-06 | YM.c.0,False,False,False,False,True,False,1
2025-05-07 | ES.c.0,False,False,False,False,True,False,1
2025-05-07 | NQ.c.0,False,False,False,False,True,False,1
2025-05-07 | YM.c.0,False,False,False,False,True,False,1
2025-05-09 | ES.c.0,False,False,False,False,False,True,1
2025-05-09 | NQ.c.0,False,False,False,False,True,False,1
2025-05-09 | YM.c.0,False,False,False,False,True,True,2
2025-05-11 | ES.c.0,False,True,True,False,False,False,2
2025-05-11 | NQ.c.0,False,False,True,False,False,False,1
2025-05-13 | YM.c.0,False,False,False,False,True,False,1
2025-05-14 | ES.c.0,False,False,False,False,True,False,1
2025-05-14 | YM.c.0,False,False,False,False,True,True,2
2025-05-15 | ES.c.0,False,False,False,False,True,True,2
2025-05-15 | NQ.c.0,False,False,False,False,True,True,2
2025-05-15 | YM.c.0,False,False,False,False,True,False,1
2025-05-16 | NQ.c.0,False,False,False,False,True,True,2
2025-05-16 | YM.c.0,False,False,False,False,True,False,1
2025-05-18 | ES.c.0,True,False,True,False,True,False,3
2025-05-18 | NQ.c.0,True,False,True,False,True,False,3
2025-05-18 | YM.c.0,False,False,True,False,False,False,1
2025-05-19 | ES.c.0,False,False,False,False,True,False,1
2025-05-19 | YM.c.0,False,False,False,False,True,False,1
2025-05-21 | ES.c.0,False,False,False,True,True,True,3
2025-05-22 | ES.c.0,False,False,False,False,True,True,2
2025-05-22 | YM.c.0,False,False,False,False,True,False,1
2025-05-23 | NQ.c.0,False,False,False,False,True,True,2
2025-05-23 | YM.c.0,False,False,False,False,True,False,1
2025-05-26 | YM.c.0,False,False,False,False,True,False,1
2025-05-27 | ES.c.0,False,False,False,False,True,True,2
2025-05-27 | NQ.c.0,False,False,False,False,True,False,1
2025-05-27 | YM.c.0,False,False,False,False,True,True,2
2025-05-28 | ES.c.0,False,False,False,True,True,False,2
2025-05-28 | NQ.c.0,False,False,False,False,True,False,1
2025-05-29 | ES.c.0,False,False,False,False,True,True,2
2025-05-29 | NQ.c.0,False,False,False,False,True,True,2
2025-05-30 | YM.c.0,False,False,False,False,True,True,2
2025-06-01 | ES.c.0,True,False,True,False,False,False,2
2025-06-02 | ES.c.0,False,False,False,False,True,False,1
2025-06-02 | YM.c.0,False,False,False,False,True,True,2
2025-06-04 | NQ.c.0,False,False,False,False,True,False,1
2025-06-05 | ES.c.0,False,False,False,False,True,False,1
2025-06-05 | NQ.c.0,False,False,False,False,True,True,2
2025-06-06 | YM.c.0,False,False,False,False,True,True,2
2025-06-09 | ES.c.0,False,False,False,False,True,False,1
2025-06-09 | YM.c.0,False,False,False,False,True,False,1
2025-06-10 | ES.c.0,False,False,False,False,True,False,1
2025-06-10 | NQ.c.0,False,False,False,False,False,True,1
2025-06-10 | YM.c.0,False,False,False,False,True,False,1
2025-06-11 | ES.c.0,False,False,False,False,True,False,1
2025-06-11 | NQ.c.0,False,False,False,False,True,False,1
2025-06-11 | YM.c.0,False,False,False,False,True,False,1
2025-06-12 | ES.c.0,False,False,False,False,False,True,1
2025-06-12 | YM.c.0,False,False,False,False,True,False,1
2025-06-15 | ES.c.0,True,False,False,False,False,False,1
2025-06-16 | ES.c.0,False,False,False,False,True,False,1
2025-06-16 | NQ.c.0,False,False,False,False,True,False,1
2025-06-17 | ES.c.0,False,False,False,False,True,True,2
2025-06-17 | YM.c.0,False,False,False,False,True,False,1
2025-06-18 | ES.c.0,False,False,False,False,True,True,2
2025-06-22 | ES.c.0,True,False,True,False,False,False,2
2025-06-22 | NQ.c.0,False,False,True,False,False,False,1
2025-06-22 | YM.c.0,False,False,True,False,False,False,1
