test_year,signal_name,fire_ts,symbol,anchor_side,p_test,y_true,direction_rule
2020,smt_pd_high_thesis,2020-05-12 10:00:00+00:00,ES.c.0,high,0.9317,1,fixed_short
2020,smt_pd_high_thesis,2020-06-04 13:00:00+00:00,NQ.c.0,high,0.9250,1,fixed_short
2020,smt_pd_high_thesis,2020-08-19 01:00:00+00:00,ES.c.0,high,0.9270,1,fixed_short
2020,smt_pd_high_thesis,2020-09-03 07:00:00+00:00,YM.c.0,high,0.9383,1,fixed_short
2020,smt_pd_high_thesis,2020-09-10 06:00:00+00:00,NQ.c.0,high,0.9073,1,fixed_short
2020,smt_pd_high_thesis,2020-10-19 00:00:00+00:00,ES.c.0,high,0.9108,1,fixed_short
2020,smt_pd_high_thesis,2020-10-26 13:00:00+00:00,NQ.c.0,high,0.9223,1,fixed_short
2020,smt_pd_high_thesis,2020-11-18 08:00:00+00:00,NQ.c.0,high,0.9168,1,fixed_short
2020,smt_pd_high_thesis,2020-12-09 00:00:00+00:00,YM.c.0,high,0.9079,1,fixed_short
2021,smt_pd_high_thesis,2021-02-25 04:00:00+00:00,YM.c.0,high,0.9545,1,fixed_short
2021,smt_pd_high_thesis,2021-03-24 00:00:00+00:00,NQ.c.0,high,0.9262,1,fixed_short
2021,smt_pd_high_thesis,2021-04-14 01:00:00+00:00,ES.c.0,high,0.9412,1,fixed_short
2021,smt_pd_high_thesis,2021-04-18 22:00:00+00:00,ES.c.0,high,0.9499,1,fixed_short
2021,smt_pd_high_thesis,2021-05-10 00:00:00+00:00,ES.c.0,high,0.9532,1,fixed_short
2021,smt_pd_high_thesis,2021-07-08 00:00:00+00:00,NQ.c.0,high,0.9376,1,fixed_short
2021,smt_pd_high_thesis,2021-07-27 11:00:00+00:00,NQ.c.0,high,0.9627,1,fixed_short
2021,smt_pd_high_thesis,2021-08-01 22:00:00+00:00,ES.c.0,high,0.9600,1,fixed_short
2021,smt_pd_high_thesis,2021-08-26 11:00:00+00:00,YM.c.0,high,0.9544,1,fixed_short
2021,smt_pd_high_thesis,2021-11-10 06:00:00+00:00,NQ.c.0,high,0.9524,1,fixed_short
2021,smt_pd_high_thesis,2021-11-30 00:00:00+00:00,ES.c.0,high,0.9547,1,fixed_short
2022,smt_pd_high_thesis,2022-01-13 08:00:00+00:00,ES.c.0,high,0.9605,1,fixed_short
2022,smt_pd_high_thesis,2022-03-23 00:00:00+00:00,ES.c.0,high,0.9752,1,fixed_short
2022,smt_pd_high_thesis,2022-03-30 00:00:00+00:00,NQ.c.0,high,0.9432,1,fixed_short
2022,smt_pd_high_thesis,2022-04-05 05:00:00+00:00,NQ.c.0,high,0.9674,1,fixed_short
2022,smt_pd_high_thesis,2022-06-08 00:00:00+00:00,YM.c.0,high,0.9695,1,fixed_short
2022,smt_pd_high_thesis,2022-09-13 05:00:00+00:00,ES.c.0,high,0.9497,1,fixed_short
2022,smt_pd_high_thesis,2022-09-15 02:00:00+00:00,YM.c.0,high,0.9662,1,fixed_short
2022,smt_pd_high_thesis,2022-09-29 00:00:00+00:00,NQ.c.0,high,0.9708,1,fixed_short
2022,smt_pd_high_thesis,2022-11-28 14:00:00+00:00,NQ.c.0,high,0.9503,1,fixed_short
2022,smt_pd_high_thesis,2022-12-04 23:00:00+00:00,YM.c.0,high,0.9484,1,fixed_short
2023,smt_pd_high_thesis,2023-02-21 00:00:00+00:00,NQ.c.0,high,0.9611,1,fixed_short
2023,smt_pd_high_thesis,2023-02-28 00:00:00+00:00,ES.c.0,high,0.9531,1,fixed_short
2023,smt_pd_high_thesis,2023-03-15 01:00:00+00:00,ES.c.0,high,0.9448,1,fixed_short
2023,smt_pd_high_thesis,2023-03-28 05:00:00+00:00,YM.c.0,high,0.9473,1,fixed_short
2023,smt_pd_high_thesis,2023-04-20 01:00:00+00:00,YM.c.0,high,0.9527,1,fixed_short
