signal,test_year,symbol,anchor_side,direction,fire_ts,p_test,label_y_true,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r
smt_pd_high_thesis,2020,ES.c.0,high,short,2020-05-12 10:00:00+00:00,0.9317,1,2020-05-12 10:03:00+00:00,2921.0000,2020-05-12 10:17:00+00:00,2924.0179,stop,3.0179,2924.0179,2914.9643,-3.0179,-1.0000
smt_pd_high_thesis,2020,NQ.c.0,high,short,2020-06-04 13:00:00+00:00,0.9250,1,2020-06-04 13:05:00+00:00,9667.7500,2020-06-04 13:15:00+00:00,9679.2500,stop,11.5000,9679.2500,9644.7500,-11.5000,-1.0000
smt_pd_high_thesis,2020,ES.c.0,high,short,2020-08-19 01:00:00+00:00,0.9270,1,2020-08-19 01:05:00+00:00,3389.7500,2020-08-19 01:08:00+00:00,3391.2679,stop,1.5179,3391.2679,3386.7143,-1.5179,-1.0000
smt_pd_high_thesis,2020,YM.c.0,high,short,2020-09-03 07:00:00+00:00,0.9383,1,2020-09-03 07:04:00+00:00,29095.0000,2020-09-03 07:10:00+00:00,29116.4286,stop,21.4286,29116.4286,29052.1429,-21.4286,-1.0000
smt_pd_high_thesis,2020,NQ.c.0,high,short,2020-09-10 06:00:00+00:00,0.9073,1,2020-09-10 06:04:00+00:00,11424.5000,2020-09-10 06:08:00+00:00,11436.8393,stop,12.3393,11436.8393,11399.8214,-12.3393,-1.0000
smt_pd_high_thesis,2020,ES.c.0,high,short,2020-10-19 00:00:00+00:00,0.9108,1,2020-10-19 00:05:00+00:00,3480.0000,2020-10-19 00:37:00+00:00,3481.4464,stop,1.4464,3481.4464,3477.1071,-1.4464,-1.0000
smt_pd_high_thesis,2020,NQ.c.0,high,short,2020-10-26 13:00:00+00:00,0.9223,1,2020-10-26 13:02:00+00:00,11561.7500,2020-10-26 13:12:00+00:00,11570.5536,stop,8.8036,11570.5536,11544.1429,-8.8036,-1.0000
smt_pd_high_thesis,2020,NQ.c.0,high,short,2020-11-18 08:00:00+00:00,0.9168,1,2020-11-18 08:04:00+00:00,11958.5000,2020-11-18 08:08:00+00:00,11967.0714,stop,8.5714,11967.0714,11941.3571,-8.5714,-1.0000
smt_pd_high_thesis,2020,YM.c.0,high,short,2020-12-09 00:00:00+00:00,0.9079,1,2020-12-09 00:04:00+00:00,30209.0000,2020-12-09 00:08:00+00:00,30229.7143,stop,20.7143,30229.7143,30167.5714,-20.7143,-1.0000
smt_pd_high_thesis,2021,YM.c.0,high,short,2021-02-25 04:00:00+00:00,0.9545,1,2021-02-25 04:03:00+00:00,32012.0000,2021-02-25 04:38:00+00:00,32022.5000,stop,10.5000,32022.5000,31991.0000,-10.5000,-1.0000
smt_pd_high_thesis,2021,NQ.c.0,high,short,2021-03-24 00:00:00+00:00,0.9262,1,2021-03-24 00:04:00+00:00,13040.7500,2021-03-24 00:25:00+00:00,13048.5000,stop,7.7500,13048.5000,13025.2500,-7.7500,-1.0000
smt_pd_high_thesis,2021,ES.c.0,high,short,2021-04-14 01:00:00+00:00,0.9412,1,2021-04-14 01:02:00+00:00,4130.7500,2021-04-14 01:14:00+00:00,4131.8393,stop,1.0893,4131.8393,4128.5714,-1.0893,-1.0000
smt_pd_high_thesis,2021,ES.c.0,high,short,2021-04-18 22:00:00+00:00,0.9499,1,2021-04-18 22:03:00+00:00,4165.7500,2021-04-18 22:56:00+00:00,4168.3571,stop,2.6071,4168.3571,4160.5357,-2.6071,-1.0000
