config,stop_mult,target_mult,trade_window_min,excluded,n_trades,cum_r,win_rate,avg_r,max_dd
v4_drop_both_stop1.5_tgt3.0_tw180,1.5000,3.0000,180,"smt_pd_high_thesis,sweep_failed_recovered_all",629,100.1514,0.4356,0.1592,35.9493
v4_drop_both_stop1.0_tgt3.0_tw180,1.0000,3.0000,180,"smt_pd_high_thesis,sweep_failed_recovered_all",629,97.9837,0.3116,0.1558,40.0000
v4_drop_both_stop1.0_tgt3.0_tw120,1.0000,3.0000,120,"smt_pd_high_thesis,sweep_failed_recovered_all",629,83.3049,0.3227,0.1324,40.0000
v4_drop_both_stop2.0_tgt3.0_tw180,2.0000,3.0000,180,"smt_pd_high_thesis,sweep_failed_recovered_all",629,68.8527,0.4897,0.1095,34.9520
v4_drop_both_stop2.5_tgt3.0_tw180,2.5000,3.0000,180,"smt_pd_high_thesis,sweep_failed_recovered_all",629,63.7817,0.5262,0.1014,25.5690
v4_drop_both_stop1.5_tgt3.0_tw120,1.5000,3.0000,120,"smt_pd_high_thesis,sweep_failed_recovered_all",629,56.8440,0.4181,0.0904,36.0507
v4_drop_both_stop3.0_tgt3.0_tw180,3.0000,3.0000,180,"smt_pd_high_thesis,sweep_failed_recovered_all",629,55.7430,0.5485,0.0886,24.8985
v4_drop_both_stop1.5_tgt2.5_tw180,1.5000,2.5000,180,"smt_pd_high_thesis,sweep_failed_recovered_all",629,53.2672,0.4420,0.0847,35.9493
v4_drop_both_stop1.0_tgt2.5_tw180,1.0000,2.5000,180,"smt_pd_high_thesis,sweep_failed_recovered_all",629,51.4238,0.3243,0.0818,40.5644
v4_drop_both_stop3.0_tgt3.0_tw120,3.0000,3.0000,120,"smt_pd_high_thesis,sweep_failed_recovered_all",629,44.9971,0.5374,0.0715,22.6608
v4_drop_both_stop2.5_tgt3.0_tw120,2.5000,3.0000,120,"smt_pd_high_thesis,sweep_failed_recovered_all",629,43.7354,0.5151,0.0695,25.0812
v4_drop_both_stop2.0_tgt3.0_tw120,2.0000,3.0000,120,"smt_pd_high_thesis,sweep_failed_recovered_all",629,40.2719,0.4785,0.0640,32.4569
v4_drop_both_stop2.5_tgt2.5_tw180,2.5000,2.5000,180,"smt_pd_high_thesis,sweep_failed_recovered_all",629,35.9622,0.5390,0.0572,26.9690
v4_drop_both_stop1.0_tgt3.0_tw60,1.0000,3.0000,60,"smt_pd_high_thesis,sweep_failed_recovered_all",629,34.4157,0.3577,0.0547,44.7529
v4_drop_both_stop2.0_tgt2.5_tw180,2.0000,2.5000,180,"smt_pd_high_thesis,sweep_failed_recovered_all",629,32.2151,0.4960,0.0512,36.2020
v4_drop_both_stop1.0_tgt2.5_tw120,1.0000,2.5000,120,"smt_pd_high_thesis,sweep_failed_recovered_all",629,32.1975,0.3291,0.0512,40.7362
v4_drop_both_stop3.0_tgt2.5_tw180,3.0000,2.5000,180,"smt_pd_high_thesis,sweep_failed_recovered_all",629,30.8934,0.5612,0.0491,26.0652
v4_drop_both_stop3.0_tgt2.5_tw120,3.0000,2.5000,120,"smt_pd_high_thesis,sweep_failed_recovered_all",629,24.3849,0.5437,0.0388,23.8275
v4_drop_both_stop2.5_tgt2.5_tw120,2.5000,2.5000,120,"smt_pd_high_thesis,sweep_failed_recovered_all",629,20.2007,0.5215,0.0321,26.4812
v4_drop_both_stop1.5_tgt2.5_tw120,1.5000,2.5000,120,"smt_pd_high_thesis,sweep_failed_recovered_all",629,18.7996,0.4245,0.0299,36.0507
v4_drop_both_stop2.5_tgt2.0_tw180,2.5000,2.0000,180,"smt_pd_high_thesis,sweep_failed_recovered_all",629,16.3854,0.5676,0.0260,26.2820
v4_drop_both_stop3.0_tgt2.0_tw180,3.0000,2.0000,180,"smt_pd_high_thesis,sweep_failed_recovered_all",629,14.0608,0.5898,0.0224,25.4927
v4_drop_both_stop2.0_tgt2.5_tw120,2.0000,2.5000,120,"smt_pd_high_thesis,sweep_failed_recovered_all",629,12.6829,0.4849,0.0202,33.7069
v4_drop_both_stop2.0_tgt2.0_tw180,2.0000,2.0000,180,"smt_pd_high_thesis,sweep_failed_recovered_all",629,10.7633,0.5246,0.0171,34.8433
v4_drop_both_stop2.5_tgt1.5_tw180,2.5000,1.5000,180,"smt_pd_high_thesis,sweep_failed_recovered_all",629,10.4529,0.6248,0.0166,24.0188
v4_drop_both_stop3.0_tgt2.0_tw120,3.0000,2.0000,120,"smt_pd_high_thesis,sweep_failed_recovered_all",629,9.5393,0.5660,0.0152,23.4869
v4_drop_both_stop1.0_tgt2.0_tw180,1.0000,2.0000,180,"smt_pd_high_thesis,sweep_failed_recovered_all",629,6.9487,0.3466,0.0110,44.0000
v4_drop_both_stop3.0_tgt1.0_tw180,3.0000,1.0000,180,"smt_pd_high_thesis,sweep_failed_recovered_all",629,6.5179,0.7250,0.0104,11.9818
v4_drop_both_stop2.0_tgt1.5_tw180,2.0000,1.5000,180,"smt_pd_high_thesis,sweep_failed_recovered_all",629,6.0785,0.5819,0.0097,33.0933
v4_drop_both_stop1.0_tgt2.0_tw120,1.0000,2.0000,120,"smt_pd_high_thesis,sweep_failed_recovered_all",629,5.1823,0.3514,0.0082,44.7362
v4_drop_both_stop3.0_tgt1.5_tw180,3.0000,1.5000,180,"smt_pd_high_thesis,sweep_failed_recovered_all",629,5.0929,0.6439,0.0081,21.6293
v4_drop_both_stop1.5_tgt1.5_tw180,1.5000,1.5000,180,"smt_pd_high_thesis,sweep_failed_recovered_all",629,4.9829,0.5119,0.0079,30.7911
v4_drop_both_stop3.0_tgt1.5_tw120,3.0000,1.5000,120,"smt_pd_high_thesis,sweep_failed_recovered_all",629,3.8273,0.6169,0.0061,19.5675
