symbol,top_pct,mean_precision,mean_base_rate,mean_edge,min_precision,min_edge,years,total_signals
ES.c.0,0.1000,0.7648,0.2399,0.5249,0.6937,0.4470,6,960
ES.c.0,0.2000,0.6756,0.2399,0.4356,0.6075,0.3930,6,1920
ES.c.0,0.5000,0.4618,0.2399,0.2219,0.4202,0.2016,6,4798
NQ.c.0,0.1000,0.7513,0.2360,0.5153,0.6813,0.4651,6,954
NQ.c.0,0.2000,0.6893,0.2360,0.4533,0.6231,0.4069,6,1909
NQ.c.0,0.5000,0.4587,0.2360,0.2227,0.4214,0.2052,6,4774
YM.c.0,0.1000,0.7988,0.2497,0.5491,0.7485,0.4876,6,957
YM.c.0,0.2000,0.7123,0.2497,0.4626,0.6975,0.4500,6,1915
YM.c.0,0.5000,0.4813,0.2497,0.2316,0.4572,0.2187,6,4787
pooled,0.1000,0.7752,0.2419,0.5332,0.7128,0.4821,6,2872
pooled,0.2000,0.6917,0.2419,0.4498,0.6539,0.4232,6,5744
pooled,0.5000,0.4673,0.2419,0.2254,0.4453,0.2146,6,14363
