test_year,symbol,top_pct,n_total,n_signals,base_rate,precision,edge_vs_base,cum_r
2020,NQ.c.0,0.1000,1551,155,0.2276,0.6968,0.4692,61.0000
2020,NQ.c.0,0.2000,1551,310,0.2276,0.6548,0.4272,96.0000
2020,NQ.c.0,0.5000,1551,776,0.2276,0.4459,0.2183,-84.0000
2020,ES.c.0,0.1000,1565,156,0.2307,0.8013,0.5706,94.0000
2020,ES.c.0,0.2000,1565,313,0.2307,0.6677,0.4371,105.0000
2020,ES.c.0,0.5000,1565,782,0.2307,0.4322,0.2016,-106.0000
2020,YM.c.0,0.1000,1518,152,0.2385,0.8355,0.5971,102.0000
2020,YM.c.0,0.2000,1518,304,0.2385,0.7138,0.4753,130.0000
2020,YM.c.0,0.5000,1518,759,0.2385,0.4572,0.2187,-65.0000
2020,pooled,0.1000,4634,463,0.2322,0.7732,0.5410,253.0000
2020,pooled,0.2000,4634,927,0.2322,0.6785,0.4463,331.0000
2020,pooled,0.5000,4634,2317,0.2322,0.4476,0.2154,-243.0000
2021,NQ.c.0,0.1000,1601,160,0.2311,0.7688,0.5376,86.0000
2021,NQ.c.0,0.2000,1601,320,0.2311,0.6937,0.4626,124.0000
2021,NQ.c.0,0.5000,1601,800,0.2311,0.4537,0.2226,-74.0000
2021,ES.c.0,0.1000,1646,165,0.2539,0.7818,0.5279,93.0000
2021,ES.c.0,0.2000,1646,329,0.2539,0.6869,0.4330,123.0000
2021,ES.c.0,0.5000,1646,823,0.2539,0.4933,0.2394,-11.0000
2021,YM.c.0,0.1000,1620,162,0.2463,0.8210,0.5747,104.0000
2021,YM.c.0,0.2000,1620,324,0.2463,0.6975,0.4512,128.0000
2021,YM.c.0,0.5000,1620,810,0.2463,0.4753,0.2290,-40.0000
2021,pooled,0.1000,4867,487,0.2439,0.7947,0.5508,287.0000
2021,pooled,0.2000,4867,973,0.2439,0.6948,0.4509,379.0000
2021,pooled,0.5000,4867,2434,0.2439,0.4745,0.2306,-124.0000
2022,NQ.c.0,0.1000,1605,160,0.2162,0.6813,0.4651,58.0000
2022,NQ.c.0,0.2000,1605,321,0.2162,0.6231,0.4069,79.0000
2022,NQ.c.0,0.5000,1605,802,0.2162,0.4214,0.2052,-126.0000
2022,ES.c.0,0.1000,1604,160,0.2145,0.6937,0.4793,62.0000
2022,ES.c.0,0.2000,1604,321,0.2145,0.6075,0.3930,69.0000
2022,ES.c.0,0.5000,1604,802,0.2145,0.4202,0.2057,-128.0000
2022,YM.c.0,0.1000,1633,163,0.2609,0.7485,0.4876,81.0000
2022,YM.c.0,0.2000,1633,327,0.2609,0.7278,0.4670,149.0000
2022,YM.c.0,0.5000,1633,816,0.2609,0.4988,0.2379,-2.0000
2022,pooled,0.1000,4842,484,0.2307,0.7128,0.4821,206.0000
2022,pooled,0.2000,4842,968,0.2307,0.6539,0.4232,298.0000
2022,pooled,0.5000,4842,2421,0.2307,0.4453,0.2146,-265.0000
2023,NQ.c.0,0.1000,1591,159,0.2508,0.7736,0.5228,87.0000
2023,NQ.c.0,0.2000,1591,318,0.2508,0.7233,0.4725,142.0000
2023,NQ.c.0,0.5000,1591,796,0.2508,0.4887,0.2379,-18.0000
2023,ES.c.0,0.1000,1609,161,0.2548,0.7019,0.4470,65.0000
2023,ES.c.0,0.2000,1609,322,0.2548,0.6646,0.4098,106.0000
2023,ES.c.0,0.5000,1609,804,0.2548,0.4888,0.2340,-18.0000
2023,YM.c.0,0.1000,1612,161,0.2469,0.8012,0.5543,97.0000
2023,YM.c.0,0.2000,1612,322,0.2469,0.7143,0.4674,138.0000
2023,YM.c.0,0.5000,1612,806,0.2469,0.4739,0.2270,-42.0000
2023,pooled,0.1000,4812,481,0.2508,0.7609,0.5101,251.0000
2023,pooled,0.2000,4812,962,0.2508,0.7048,0.4540,394.0000
2023,pooled,0.5000,4812,2406,0.2508,0.4846,0.2338,-74.0000
2024,NQ.c.0,0.1000,1605,160,0.2474,0.7625,0.5151,84.0000
2024,NQ.c.0,0.2000,1605,321,0.2474,0.6978,0.4505,127.0000
2024,NQ.c.0,0.5000,1605,802,0.2474,0.4850,0.2377,-24.0000
2024,ES.c.0,0.1000,1589,159,0.2322,0.8113,0.5791,99.0000
2024,ES.c.0,0.2000,1589,318,0.2322,0.7201,0.4879,140.0000
2024,ES.c.0,0.5000,1589,794,0.2322,0.4559,0.2237,-70.0000
2024,YM.c.0,0.1000,1612,161,0.2519,0.7764,0.5245,89.0000
2024,YM.c.0,0.2000,1612,322,0.2519,0.7019,0.4500,130.0000
2024,YM.c.0,0.5000,1612,806,0.2519,0.4950,0.2432,-8.0000
2024,pooled,0.1000,4806,481,0.2439,0.7838,0.5399,273.0000
2024,pooled,0.2000,4806,961,0.2439,0.6993,0.4554,383.0000
2024,pooled,0.5000,4806,2403,0.2439,0.4782,0.2343,-105.0000
2025,NQ.c.0,0.1000,1596,160,0.2431,0.8250,0.5819,104.0000
2025,NQ.c.0,0.2000,1596,319,0.2431,0.7429,0.4998,155.0000
2025,NQ.c.0,0.5000,1596,798,0.2431,0.4574,0.2143,-68.0000
2025,ES.c.0,0.1000,1586,159,0.2535,0.7987,0.5453,95.0000
2025,ES.c.0,0.2000,1586,317,0.2535,0.7066,0.4532,131.0000
2025,ES.c.0,0.5000,1586,793,0.2535,0.4805,0.2270,-31.0000
2025,YM.c.0,0.1000,1581,158,0.2536,0.8101,0.5565,98.0000
2025,YM.c.0,0.2000,1581,316,0.2536,0.7184,0.4647,138.0000
2025,YM.c.0,0.5000,1581,790,0.2536,0.4873,0.2337,-20.0000
2025,pooled,0.1000,4763,476,0.2501,0.8256,0.5756,310.0000
2025,pooled,0.2000,4763,953,0.2501,0.7188,0.4687,417.0000
2025,pooled,0.5000,4763,2382,0.2501,0.4736,0.2235,-126.0000
