config,test_year,n,cum_r,win_rate
v5_stop1.0_tgt2.5_tw150,2020,102,80.0000,0.5098
v5_stop1.0_tgt2.5_tw150,2021,79,20.8010,0.4051
v5_stop1.0_tgt2.5_tw150,2022,99,-29.0000,0.2020
v5_stop1.0_tgt2.5_tw150,2023,110,6.7936,0.3727
v5_stop1.0_tgt2.5_tw150,2024,121,42.1802,0.4545
v5_stop1.0_tgt2.5_tw150,2025,118,-69.0000,0.1186
v5_stop1.0_tgt3.0_tw150,2020,102,96.2951,0.5098
v5_stop1.0_tgt3.0_tw150,2021,79,10.6386,0.3544
v5_stop1.0_tgt3.0_tw150,2022,99,-25.6301,0.2020
v5_stop1.0_tgt3.0_tw150,2023,110,16.9755,0.3727
v5_stop1.0_tgt3.0_tw150,2024,121,57.6802,0.4545
v5_stop1.0_tgt3.0_tw150,2025,118,-62.0000,0.1186
v5_stop1.0_tgt3.5_tw150,2020,102,104.5800,0.5098
v5_stop1.0_tgt3.5_tw150,2021,79,14.6386,0.3544
v5_stop1.0_tgt3.5_tw150,2022,99,-35.6301,0.1616
v5_stop1.0_tgt3.5_tw150,2023,110,1.6673,0.3364
v5_stop1.0_tgt3.5_tw150,2024,121,55.1802,0.4215
v5_stop1.0_tgt3.5_tw150,2025,118,-55.0000,0.1186
v5_stop1.0_tgt4.0_tw150,2020,102,124.5800,0.5098
v5_stop1.0_tgt4.0_tw150,2021,79,-1.3614,0.3038
v5_stop1.0_tgt4.0_tw150,2022,99,-47.4593,0.1616
v5_stop1.0_tgt4.0_tw150,2023,110,7.6673,0.3364
v5_stop1.0_tgt4.0_tw150,2024,121,63.7635,0.4215
v5_stop1.0_tgt4.0_tw150,2025,118,-48.0000,0.1186
v5_stop1.25_tgt2.5_tw150,2020,102,66.0560,0.5882
v5_stop1.25_tgt2.5_tw150,2021,79,11.4934,0.4557
v5_stop1.25_tgt2.5_tw150,2022,99,-39.0000,0.2020
v5_stop1.25_tgt2.5_tw150,2023,110,6.5317,0.4455
v5_stop1.25_tgt2.5_tw150,2024,121,60.8457,0.5537
v5_stop1.25_tgt2.5_tw150,2025,118,-64.6897,0.1864
v5_stop1.25_tgt3.0_tw150,2020,102,79.0921,0.5882
v5_stop1.25_tgt3.0_tw150,2021,79,5.4925,0.4051
v5_stop1.25_tgt3.0_tw150,2022,99,-36.3041,0.2020
v5_stop1.25_tgt3.0_tw150,2023,110,14.6772,0.4455
v5_stop1.25_tgt3.0_tw150,2024,121,74.8457,0.5537
v5_stop1.25_tgt3.0_tw150,2025,118,-59.0897,0.1864
v5_stop1.25_tgt3.5_tw150,2020,102,85.7200,0.5882
v5_stop1.25_tgt3.5_tw150,2021,79,8.6925,0.4051
v5_stop1.25_tgt3.5_tw150,2022,99,-45.1041,0.1616
v5_stop1.25_tgt3.5_tw150,2023,110,1.6306,0.4091
v5_stop1.25_tgt3.5_tw150,2024,121,58.4457,0.4876
v5_stop1.25_tgt3.5_tw150,2025,118,-53.4897,0.1864
v5_stop1.25_tgt4.0_tw150,2020,102,101.7200,0.5882
v5_stop1.25_tgt4.0_tw150,2021,79,-4.9075,0.3544
v5_stop1.25_tgt4.0_tw150,2022,99,-54.5675,0.1616
v5_stop1.25_tgt4.0_tw150,2023,110,6.4306,0.4091
v5_stop1.25_tgt4.0_tw150,2024,121,65.3124,0.4876
v5_stop1.25_tgt4.0_tw150,2025,118,-47.8897,0.1864
v5_stop1.5_tgt2.5_tw150,2020,102,58.7133,0.6275
v5_stop1.5_tgt2.5_tw150,2021,79,2.4111,0.4557
v5_stop1.5_tgt2.5_tw150,2022,99,-13.6667,0.3232
v5_stop1.5_tgt2.5_tw150,2023,110,13.5013,0.5182
v5_stop1.5_tgt2.5_tw150,2024,121,47.7840,0.5537
v5_stop1.5_tgt2.5_tw150,2025,118,-55.0041,0.2542
v5_stop1.5_tgt3.0_tw150,2020,102,68.0491,0.6275
v5_stop1.5_tgt3.0_tw150,2021,79,-2.5896,0.4051
v5_stop1.5_tgt3.0_tw150,2022,99,-9.7616,0.3232
v5_stop1.5_tgt3.0_tw150,2023,110,21.6225,0.5182
v5_stop1.5_tgt3.0_tw150,2024,121,59.4507,0.5537
v5_stop1.5_tgt3.0_tw150,2025,118,-49.0041,0.2542
v5_stop1.5_tgt3.5_tw150,2020,102,73.5723,0.6275
v5_stop1.5_tgt3.5_tw150,2021,79,0.0771,0.4051
v5_stop1.5_tgt3.5_tw150,2022,99,-17.7616,0.2828
v5_stop1.5_tgt3.5_tw150,2023,110,11.4170,0.4818
v5_stop1.5_tgt3.5_tw150,2024,121,44.4507,0.4876
v5_stop1.5_tgt3.5_tw150,2025,118,-43.0041,0.2542
v5_stop1.5_tgt4.0_tw150,2020,102,86.9056,0.6275
v5_stop1.5_tgt4.0_tw150,2021,79,-11.9229,0.3544
v5_stop1.5_tgt4.0_tw150,2022,99,-25.6478,0.2828
v5_stop1.5_tgt4.0_tw150,2023,110,16.7504,0.4818
v5_stop1.5_tgt4.0_tw150,2024,121,50.1729,0.4876
v5_stop1.5_tgt4.0_tw150,2025,118,-37.0041,0.2542
v5_stop1.75_tgt2.5_tw150,2020,102,50.5722,0.6667
v5_stop1.75_tgt2.5_tw150,2021,79,-4.0762,0.4557
v5_stop1.75_tgt2.5_tw150,2022,99,-8.6749,0.3636
v5_stop1.75_tgt2.5_tw150,2023,110,5.6603,0.5182
v5_stop1.75_tgt2.5_tw150,2024,121,41.2441,0.5868
v5_stop1.75_tgt2.5_tw150,2025,118,-51.0916,0.2881
v5_stop1.75_tgt3.0_tw150,2020,102,58.5743,0.6667
v5_stop1.75_tgt3.0_tw150,2021,79,-8.3625,0.4051
v5_stop1.75_tgt3.0_tw150,2022,99,-4.1848,0.3636
v5_stop1.75_tgt3.0_tw150,2023,110,12.6213,0.5182
v5_stop1.75_tgt3.0_tw150,2024,121,51.2441,0.5868
v5_stop1.75_tgt3.0_tw150,2025,118,-45.9487,0.2881
v5_stop1.75_tgt3.5_tw150,2020,102,63.3085,0.6667
v5_stop1.75_tgt3.5_tw150,2021,79,-6.0768,0.4051
v5_stop1.75_tgt3.5_tw150,2022,99,-10.4706,0.3232
v5_stop1.75_tgt3.5_tw150,2023,110,3.3023,0.4818
v5_stop1.75_tgt3.5_tw150,2024,121,37.2441,0.5207
v5_stop1.75_tgt3.5_tw150,2025,118,-40.8059,0.2881
v5_stop1.75_tgt4.0_tw150,2020,102,74.7371,0.6667
v5_stop1.75_tgt4.0_tw150,2021,79,-15.5462,0.3544
v5_stop1.75_tgt4.0_tw150,2022,99,-17.2985,0.3232
v5_stop1.75_tgt4.0_tw150,2023,110,7.8738,0.4818
v5_stop1.75_tgt4.0_tw150,2024,121,42.1489,0.5207
v5_stop1.75_tgt4.0_tw150,2025,118,-35.6630,0.2881
v5_stop2.0_tgt2.5_tw150,2020,102,44.5412,0.7059
v5_stop2.0_tgt2.5_tw150,2021,79,9.0584,0.5570
v5_stop2.0_tgt2.5_tw150,2022,99,8.1812,0.4848
v5_stop2.0_tgt2.5_tw150,2023,110,3.5777,0.5364
v5_stop2.0_tgt2.5_tw150,2024,121,38.4732,0.6198
v5_stop2.0_tgt2.5_tw150,2025,118,-54.7051,0.2881
v5_stop2.0_tgt3.0_tw150,2020,102,51.5430,0.7059
v5_stop2.0_tgt3.0_tw150,2021,79,5.4360,0.5063
v5_stop2.0_tgt3.0_tw150,2022,99,14.1100,0.4848
v5_stop2.0_tgt3.0_tw150,2023,110,10.1686,0.5364
v5_stop2.0_tgt3.0_tw150,2024,121,47.2232,0.6198
v5_stop2.0_tgt3.0_tw150,2025,118,-50.2051,0.2881
v5_stop2.0_tgt3.5_tw150,2020,102,55.6855,0.7059
v5_stop2.0_tgt3.5_tw150,2021,79,5.8081,0.5063
v5_stop2.0_tgt3.5_tw150,2022,99,9.0974,0.4444
v5_stop2.0_tgt3.5_tw150,2023,110,2.0145,0.5000
v5_stop2.0_tgt3.5_tw150,2024,121,33.9732,0.5537
v5_stop2.0_tgt3.5_tw150,2025,118,-45.7051,0.2881
v5_stop2.0_tgt4.0_tw150,2020,102,65.6855,0.7059
v5_stop2.0_tgt4.0_tw150,2021,79,-2.4776,0.4557
v5_stop2.0_tgt4.0_tw150,2022,99,4.1230,0.4444
v5_stop2.0_tgt4.0_tw150,2023,110,6.5145,0.5000
v5_stop2.0_tgt4.0_tw150,2024,121,38.2649,0.5537
