_ts,y_true,p_test,threshold,pnl_r
2025-01-02 23:00:00+00:00,1,0.5728,0.5000,1.0000
2025-01-06 23:00:00+00:00,0,0.5100,0.5000,-1.0000
2025-01-06 23:00:00+00:00,0,0.5885,0.5000,-1.0000
2025-01-09 23:00:00+00:00,1,0.5211,0.5000,1.0000
2025-01-14 23:00:00+00:00,1,0.6094,0.5000,1.0000
2025-01-15 23:00:00+00:00,0,0.6755,0.5000,-1.0000
2025-01-21 23:00:00+00:00,1,0.7043,0.5000,1.0000
2025-01-22 23:00:00+00:00,1,0.6215,0.5000,1.0000
2025-01-22 23:00:00+00:00,1,0.5268,0.5000,1.0000
2025-01-23 23:00:00+00:00,1,0.7773,0.5000,1.0000
2025-01-23 23:00:00+00:00,1,0.6671,0.5000,1.0000
2025-01-23 23:00:00+00:00,1,0.6999,0.5000,1.0000
2025-01-26 23:00:00+00:00,1,0.8913,0.5000,1.0000
2025-01-26 23:00:00+00:00,1,0.9435,0.5000,1.0000
2025-01-26 23:00:00+00:00,1,0.8993,0.5000,1.0000
2025-01-26 23:00:00+00:00,1,0.8913,0.5000,1.0000
2025-01-26 23:00:00+00:00,1,0.9435,0.5000,1.0000
2025-01-26 23:00:00+00:00,1,0.8993,0.5000,1.0000
2025-01-28 23:00:00+00:00,1,0.5435,0.5000,1.0000
2025-01-29 23:00:00+00:00,1,0.8617,0.5000,1.0000
2025-01-29 23:00:00+00:00,1,0.8531,0.5000,1.0000
2025-01-29 23:00:00+00:00,1,0.7606,0.5000,1.0000
2025-02-02 23:00:00+00:00,1,0.8675,0.5000,1.0000
2025-02-02 23:00:00+00:00,1,0.9170,0.5000,1.0000
2025-02-02 23:00:00+00:00,1,0.8776,0.5000,1.0000
2025-02-02 23:00:00+00:00,1,0.8675,0.5000,1.0000
2025-02-02 23:00:00+00:00,1,0.9170,0.5000,1.0000
2025-02-02 23:00:00+00:00,1,0.8776,0.5000,1.0000
2025-02-04 23:00:00+00:00,1,0.7616,0.5000,1.0000
2025-02-04 23:00:00+00:00,1,0.7373,0.5000,1.0000
2025-02-04 23:00:00+00:00,0,0.5848,0.5000,-1.0000
2025-02-05 23:00:00+00:00,1,0.7453,0.5000,1.0000
2025-02-06 23:00:00+00:00,0,0.5410,0.5000,-1.0000
2025-02-06 23:00:00+00:00,1,0.7902,0.5000,1.0000
2025-02-06 23:00:00+00:00,1,0.7952,0.5000,1.0000
2025-02-09 23:00:00+00:00,1,0.8581,0.5000,1.0000
2025-02-09 23:00:00+00:00,1,0.9271,0.5000,1.0000
2025-02-09 23:00:00+00:00,1,0.8777,0.5000,1.0000
2025-02-09 23:00:00+00:00,1,0.8581,0.5000,1.0000
2025-02-09 23:00:00+00:00,1,0.9271,0.5000,1.0000
2025-02-09 23:00:00+00:00,1,0.8777,0.5000,1.0000
2025-02-10 23:00:00+00:00,1,0.7172,0.5000,1.0000
2025-02-10 23:00:00+00:00,1,0.8066,0.5000,1.0000
2025-02-10 23:00:00+00:00,1,0.6179,0.5000,1.0000
2025-02-12 23:00:00+00:00,0,0.5325,0.5000,-1.0000
2025-02-12 23:00:00+00:00,0,0.6500,0.5000,-1.0000
2025-02-13 23:00:00+00:00,0,0.6355,0.5000,-1.0000
2025-02-13 23:00:00+00:00,0,0.7433,0.5000,-1.0000
2025-02-17 23:00:00+00:00,1,0.7242,0.5000,1.0000
2025-02-17 23:00:00+00:00,1,0.6646,0.5000,1.0000
2025-02-17 23:00:00+00:00,1,0.6706,0.5000,1.0000
2025-02-18 23:00:00+00:00,0,0.7211,0.5000,-1.0000
2025-02-18 23:00:00+00:00,0,0.6211,0.5000,-1.0000
2025-02-19 23:00:00+00:00,0,0.7529,0.5000,-1.0000
2025-02-19 23:00:00+00:00,0,0.7285,0.5000,-1.0000
2025-02-19 23:00:00+00:00,0,0.6211,0.5000,-1.0000
2025-02-20 23:00:00+00:00,0,0.5199,0.5000,-1.0000
2025-02-25 23:00:00+00:00,0,0.5424,0.5000,-1.0000
2025-02-26 23:00:00+00:00,1,0.7313,0.5000,1.0000
2025-02-26 23:00:00+00:00,1,0.8532,0.5000,1.0000
2025-02-26 23:00:00+00:00,1,0.7762,0.5000,1.0000
2025-03-03 23:00:00+00:00,1,0.5056,0.5000,1.0000
2025-03-03 23:00:00+00:00,1,0.5434,0.5000,1.0000
2025-03-05 23:00:00+00:00,0,0.5372,0.5000,-1.0000
2025-03-06 23:00:00+00:00,0,0.5473,0.5000,-1.0000
2025-03-09 22:00:00+00:00,1,0.8761,0.5000,1.0000
2025-03-09 22:00:00+00:00,1,0.9249,0.5000,1.0000
2025-03-09 22:00:00+00:00,1,0.8716,0.5000,1.0000
2025-03-09 22:00:00+00:00,1,0.8761,0.5000,1.0000
2025-03-09 22:00:00+00:00,1,0.9249,0.5000,1.0000
2025-03-09 22:00:00+00:00,1,0.8716,0.5000,1.0000
2025-03-10 22:00:00+00:00,1,0.6831,0.5000,1.0000
2025-03-10 22:00:00+00:00,1,0.7857,0.5000,1.0000
2025-03-16 22:00:00+00:00,0,0.6174,0.5000,-1.0000
2025-03-16 22:00:00+00:00,0,0.6174,0.5000,-1.0000
2025-03-17 22:00:00+00:00,0,0.6112,0.5000,-1.0000
2025-03-17 22:00:00+00:00,0,0.5201,0.5000,-1.0000
2025-03-18 22:00:00+00:00,1,0.5682,0.5000,1.0000
2025-03-20 22:00:00+00:00,1,0.6804,0.5000,1.0000
2025-03-20 22:08:00+00:00,0,0.6725,0.5000,-1.0000
2025-03-24 22:00:00+00:00,0,0.5430,0.5000,-1.0000
2025-03-25 22:00:00+00:00,1,0.7183,0.5000,1.0000
2025-03-25 22:00:00+00:00,0,0.6256,0.5000,-1.0000
2025-03-26 22:00:00+00:00,1,0.8646,0.5000,1.0000
2025-03-26 22:00:00+00:00,1,0.8879,0.5000,1.0000
2025-03-26 22:00:00+00:00,1,0.8406,0.5000,1.0000
2025-03-30 22:00:00+00:00,1,0.8574,0.5000,1.0000
2025-03-30 22:00:00+00:00,1,0.8925,0.5000,1.0000
2025-03-30 22:00:00+00:00,1,0.8775,0.5000,1.0000
2025-03-30 22:00:00+00:00,1,0.8574,0.5000,1.0000
2025-03-30 22:00:00+00:00,1,0.8925,0.5000,1.0000
2025-03-30 22:00:00+00:00,1,0.8775,0.5000,1.0000
2025-04-02 22:00:00+00:00,1,0.8740,0.5000,1.0000
2025-04-02 22:00:00+00:00,1,0.8306,0.5000,1.0000
2025-04-02 22:02:00+00:00,1,0.8603,0.5000,1.0000
2025-04-06 22:00:00+00:00,1,0.8980,0.5000,1.0000
2025-04-06 22:00:00+00:00,1,0.9215,0.5000,1.0000
