test_year,threshold,n_signals,precision,recall,cum_r,avg_r
2020,0.5000,368,0.6929,0.9410,142.0000,0.3859
2020,0.6000,308,0.7597,0.8635,160.0000,0.5195
2020,0.7000,234,0.8162,0.7048,148.0000,0.6325
2020,0.8000,137,0.8540,0.4317,97.0000,0.7080
2020,0.9000,32,0.9375,0.1107,28.0000,0.8750
2021,0.5000,238,0.6134,0.9068,54.0000,0.2269
2021,0.6000,176,0.6932,0.7578,68.0000,0.3864
2021,0.7000,109,0.7982,0.5404,65.0000,0.5963
2021,0.8000,58,0.9310,0.3354,50.0000,0.8621
2021,0.9000,20,1.0000,0.1242,20.0000,1.0000
2022,0.5000,294,0.8231,0.8403,190.0000,0.6463
2022,0.6000,240,0.8667,0.7222,176.0000,0.7333
2022,0.7000,192,0.9062,0.6042,156.0000,0.8125
2022,0.8000,141,0.9362,0.4583,123.0000,0.8723
2022,0.9000,66,1.0000,0.2292,66.0000,1.0000
2023,0.5000,280,0.8750,0.7470,210.0000,0.7500
2023,0.6000,176,0.9318,0.5000,152.0000,0.8636
2023,0.7000,112,0.9554,0.3262,102.0000,0.9107
2023,0.8000,66,0.9697,0.1951,62.0000,0.9394
2023,0.9000,14,1.0000,0.0427,14.0000,1.0000
2024,0.5000,246,0.6220,0.7969,60.0000,0.2439
2024,0.6000,151,0.6954,0.5469,59.0000,0.3907
2024,0.7000,85,0.7176,0.3177,37.0000,0.4353
2024,0.8000,37,0.7838,0.1510,21.0000,0.5676
2024,0.9000,4,1.0000,0.0208,4.0000,1.0000
2025,0.5000,386,0.6425,0.9466,110.0000,0.2850
2025,0.6000,310,0.7032,0.8321,126.0000,0.4065
2025,0.7000,223,0.8161,0.6947,141.0000,0.6323
2025,0.8000,122,0.9508,0.4427,110.0000,0.9016
2025,0.9000,18,1.0000,0.0687,18.0000,1.0000
