test_year,top_pct,n_signals,precision,edge_vs_base,cum_r,avg_r
2020,0.0100,4,1.0000,0.3342,4.0000,1.0000
2020,0.0500,20,0.9000,0.2342,16.0000,0.8000
2020,0.1000,41,0.9268,0.2610,35.0000,0.8537
2020,0.2000,81,0.9136,0.2477,67.0000,0.8272
2020,0.5000,204,0.8235,0.1577,132.0000,0.6471
2021,0.0100,3,1.0000,0.4524,3.0000,1.0000
2021,0.0500,15,1.0000,0.4524,15.0000,1.0000
2021,0.1000,29,1.0000,0.4524,29.0000,1.0000
2021,0.2000,59,0.9153,0.3676,49.0000,0.8305
2021,0.5000,147,0.7415,0.1939,71.0000,0.4830
2022,0.0100,4,1.0000,0.2993,4.0000,1.0000
2022,0.0500,21,1.0000,0.2993,21.0000,1.0000
2022,0.1000,41,1.0000,0.2993,41.0000,1.0000
2022,0.2000,82,1.0000,0.2993,82.0000,1.0000
2022,0.5000,206,0.8932,0.1925,162.0000,0.7864
2023,0.0100,4,1.0000,0.2319,4.0000,1.0000
2023,0.0500,21,1.0000,0.2319,21.0000,1.0000
2023,0.1000,43,0.9767,0.2086,41.0000,0.9535
2023,0.2000,85,0.9529,0.1848,77.0000,0.9059
2023,0.5000,214,0.9019,0.1337,172.0000,0.8037
2024,0.0100,3,1.0000,0.4303,3.0000,1.0000
2024,0.0500,17,0.7647,0.1950,9.0000,0.5294
2024,0.1000,34,0.7941,0.2244,20.0000,0.5882
2024,0.2000,67,0.7313,0.1616,31.0000,0.4627
2024,0.5000,168,0.6786,0.1088,60.0000,0.3571
2025,0.0100,4,1.0000,0.3864,4.0000,1.0000
2025,0.0500,21,1.0000,0.3864,21.0000,1.0000
2025,0.1000,43,1.0000,0.3864,43.0000,1.0000
2025,0.2000,85,0.9765,0.3629,81.0000,0.9529
2025,0.5000,214,0.8178,0.2042,136.0000,0.6355
