symbol,top_pct,mean_precision,mean_base_rate,mean_edge,min_precision,min_edge,years,total_signals
ES.c.0,0.1000,1.0000,0.6409,0.3591,1.0000,0.2538,6,74
ES.c.0,0.2000,0.9444,0.6409,0.3036,0.8095,0.2207,6,148
ES.c.0,0.5000,0.8044,0.6409,0.1635,0.6481,0.0594,6,373
NQ.c.0,0.1000,0.9340,0.6819,0.2521,0.7857,0.1286,6,78
NQ.c.0,0.2000,0.9413,0.6819,0.2594,0.8214,0.1643,6,155
NQ.c.0,0.5000,0.8496,0.6819,0.1677,0.7857,0.1286,6,387
YM.c.0,0.1000,0.8921,0.6157,0.2763,0.6667,0.1677,6,79
YM.c.0,0.2000,0.8664,0.6157,0.2506,0.5833,0.1040,6,157
YM.c.0,0.5000,0.7637,0.6157,0.1480,0.6000,0.0942,6,393
pooled,0.1000,0.9496,0.6443,0.3053,0.7941,0.2086,6,231
pooled,0.2000,0.9149,0.6443,0.2707,0.7313,0.1616,6,459
pooled,0.5000,0.8094,0.6443,0.1651,0.6786,0.1088,6,1153
