test_year,symbol,top_pct,n_total,n_signals,base_rate,precision,edge_vs_base,cum_r
2020,NQ.c.0,0.1000,140,14,0.6571,0.7857,0.1286,8.0000
2020,NQ.c.0,0.2000,140,28,0.6571,0.8214,0.1643,18.0000
2020,NQ.c.0,0.5000,140,70,0.6571,0.7857,0.1286,40.0000
2020,ES.c.0,0.1000,132,13,0.6818,1.0000,0.3182,13.0000
2020,ES.c.0,0.2000,132,26,0.6818,1.0000,0.3182,26.0000
2020,ES.c.0,0.5000,132,66,0.6818,0.8788,0.1970,50.0000
2020,YM.c.0,0.1000,135,14,0.6593,0.8571,0.1979,10.0000
2020,YM.c.0,0.2000,135,27,0.6593,0.8519,0.1926,19.0000
2020,YM.c.0,0.5000,135,68,0.6593,0.8088,0.1496,42.0000
2020,pooled,0.1000,407,41,0.6658,0.9268,0.2610,35.0000
2020,pooled,0.2000,407,81,0.6658,0.9136,0.2477,67.0000
2020,pooled,0.5000,407,204,0.6658,0.8235,0.1577,132.0000
2021,NQ.c.0,0.1000,86,9,0.6395,1.0000,0.3605,9.0000
2021,NQ.c.0,0.2000,86,17,0.6395,1.0000,0.3605,17.0000
2021,NQ.c.0,0.5000,86,43,0.6395,0.8372,0.1977,29.0000
2021,ES.c.0,0.1000,104,10,0.5096,1.0000,0.4904,10.0000
2021,ES.c.0,0.2000,104,21,0.5096,0.8571,0.3475,15.0000
2021,ES.c.0,0.5000,104,52,0.5096,0.6923,0.1827,20.0000
2021,YM.c.0,0.1000,104,10,0.5096,0.9000,0.3904,8.0000
2021,YM.c.0,0.2000,104,21,0.5096,0.9048,0.3951,17.0000
2021,YM.c.0,0.5000,104,52,0.5096,0.7308,0.2212,24.0000
2021,pooled,0.1000,294,29,0.5476,1.0000,0.4524,29.0000
2021,pooled,0.2000,294,59,0.5476,0.9153,0.3676,49.0000
2021,pooled,0.5000,294,147,0.5476,0.7415,0.1939,71.0000
2022,NQ.c.0,0.1000,147,15,0.6667,1.0000,0.3333,15.0000
2022,NQ.c.0,0.2000,147,29,0.6667,1.0000,0.3333,29.0000
2022,NQ.c.0,0.5000,147,74,0.6667,0.8649,0.1982,54.0000
2022,ES.c.0,0.1000,124,12,0.7339,1.0000,0.2661,12.0000
2022,ES.c.0,0.2000,124,25,0.7339,1.0000,0.2661,25.0000
2022,ES.c.0,0.5000,124,62,0.7339,0.9194,0.1855,52.0000
2022,YM.c.0,0.1000,140,14,0.7071,1.0000,0.2929,14.0000
