config,signal,n,wins,win_rate,cum_r,avg_r,avg_win,avg_loss
v1_baseline,ogap_gap_down_rejection,231,92,0.3983,30.2493,0.1309,1.7350,-0.9307
v1_baseline,ogap_gap_up_rejection,286,113,0.3951,-4.9670,-0.0174,1.3709,-0.9242
v1_baseline,ogap_strict_partial_touch,515,186,0.3612,-17.6178,-0.0342,1.5593,-0.9351
v1_baseline,smt_pd_high_thesis,69,14,0.2029,-30.5146,-0.4422,1.7033,-0.9884
v1_baseline,sweep_failed_recovered_all,2863,718,0.2508,-857.5892,-0.2995,1.7314,-0.9794
v2a_no_confirmation,ogap_gap_down_rejection,231,87,0.3766,13.0189,0.0564,1.6932,-0.9326
v2a_no_confirmation,ogap_gap_up_rejection,286,124,0.4336,18.5812,0.0650,1.3897,-0.9490
v2a_no_confirmation,ogap_strict_partial_touch,515,162,0.3146,-86.1744,-0.1673,1.5097,-0.9370
v2a_no_confirmation,smt_pd_high_thesis,69,9,0.1304,-41.5915,-0.6028,2.0000,-0.9932
v2a_no_confirmation,sweep_failed_recovered_all,2866,662,0.2310,-1042.2541,-0.3637,1.6924,-0.9812
v2b_wider_stop,ogap_gap_down_rejection,231,110,0.4762,-1.7063,-0.0074,0.8061,-0.7469
v2b_wider_stop,ogap_gap_up_rejection,286,134,0.4685,-17.1890,-0.0601,0.6652,-0.6995
v2b_wider_stop,ogap_strict_partial_touch,515,235,0.4563,-20.6909,-0.0402,0.7426,-0.6971
v2b_wider_stop,smt_pd_high_thesis,69,20,0.2899,-26.2201,-0.3800,0.8961,-0.9009
v2b_wider_stop,sweep_failed_recovered_all,2863,1087,0.3797,-671.9175,-0.2347,0.8036,-0.8701
v2c_consensus,ogap_gap_down_rejection,169,61,0.3609,4.4075,0.0261,1.7383,-0.9410
v2c_consensus,ogap_gap_up_rejection,171,68,0.3977,-8.1347,-0.0476,1.3069,-0.9418
v2c_consensus,ogap_strict_partial_touch,325,124,0.3815,-0.7864,-0.0024,1.5147,-0.9384
v2c_consensus,smt_pd_high_thesis,38,7,0.1842,-19.3271,-0.5086,1.6676,-1.0000
v2c_consensus,sweep_failed_recovered_all,125,36,0.2880,-27.9736,-0.2238,1.6834,-0.9953
v2d_no_smt,ogap_gap_down_rejection,231,92,0.3983,30.2493,0.1309,1.7350,-0.9307
v2d_no_smt,ogap_gap_up_rejection,286,113,0.3951,-4.9670,-0.0174,1.3709,-0.9242
v2d_no_smt,ogap_strict_partial_touch,515,186,0.3612,-17.6178,-0.0342,1.5593,-0.9351
v2d_no_smt,sweep_failed_recovered_all,2863,718,0.2508,-857.5892,-0.2995,1.7314,-0.9794
v3_consensus_widestop_no_drainers,ogap_gap_down_rejection,161,72,0.4472,-7.5120,-0.0467,0.8243,-0.7513
v3_consensus_widestop_no_drainers,ogap_gap_up_rejection,155,73,0.4710,-11.9814,-0.0773,0.6092,-0.6884
v3_consensus_widestop_no_drainers,ogap_strict_partial_touch,313,144,0.4601,-19.1949,-0.0613,0.7141,-0.7220
