test_year,status,n_test,test_auc,base_rate,top10_n,top10_precision,top10_edge,label,side
2020,ok,4634,0.9017,0.2322,463,0.7732,0.5410,label.strict.next_60m.sweep_failed_recovered,all
2021,ok,4867,0.9066,0.2439,487,0.7947,0.5508,label.strict.next_60m.sweep_failed_recovered,all
2022,ok,4842,0.8933,0.2307,484,0.7128,0.4821,label.strict.next_60m.sweep_failed_recovered,all
2023,ok,4812,0.9009,0.2508,481,0.7609,0.5101,label.strict.next_60m.sweep_failed_recovered,all
2024,ok,4806,0.9092,0.2439,481,0.7838,0.5399,label.strict.next_60m.sweep_failed_recovered,all
2025,ok,4763,0.8992,0.2501,476,0.8256,0.5756,label.strict.next_60m.sweep_failed_recovered,all
2020,ok,4634,0.8887,0.1401,463,0.5400,0.3999,label.strict.next_60m.sweep_succeeded_held_rejection,all
2021,ok,4867,0.8961,0.1481,487,0.5175,0.3693,label.strict.next_60m.sweep_succeeded_held_rejection,all
2022,ok,4842,0.8904,0.1415,484,0.5124,0.3709,label.strict.next_60m.sweep_succeeded_held_rejection,all
2023,ok,4812,0.8973,0.1513,481,0.5322,0.3809,label.strict.next_60m.sweep_succeeded_held_rejection,all
2024,ok,4806,0.8909,0.1350,481,0.4948,0.3598,label.strict.next_60m.sweep_succeeded_held_rejection,all
2025,ok,4763,0.8903,0.1453,476,0.5420,0.3967,label.strict.next_60m.sweep_succeeded_held_rejection,all
2020,ok,4634,0.7942,0.0542,463,0.1274,0.0733,label.strict.next_60m.sweep_partial_retest_rejected,all
2021,ok,4867,0.8316,0.0608,487,0.2094,0.1486,label.strict.next_60m.sweep_partial_retest_rejected,all
2022,ok,4842,0.8356,0.0624,484,0.2190,0.1566,label.strict.next_60m.sweep_partial_retest_rejected,all
2023,ok,4812,0.8335,0.0574,481,0.1726,0.1152,label.strict.next_60m.sweep_partial_retest_rejected,all
2024,ok,4806,0.8561,0.0570,481,0.2245,0.1675,label.strict.next_60m.sweep_partial_retest_rejected,all
2025,ok,4763,0.8106,0.0542,476,0.1870,0.1328,label.strict.next_60m.sweep_partial_retest_rejected,all
2020,ok,4634,0.7129,0.1944,463,0.4233,0.2289,label.strict.next_60m.sweep_failed_immediately,all
2021,ok,4867,0.7206,0.1942,487,0.4086,0.2145,label.strict.next_60m.sweep_failed_immediately,all
2022,ok,4842,0.7185,0.1952,484,0.3946,0.1995,label.strict.next_60m.sweep_failed_immediately,all
2023,ok,4812,0.7432,0.2005,481,0.4886,0.2880,label.strict.next_60m.sweep_failed_immediately,all
2024,ok,4806,0.7310,0.1906,481,0.4657,0.2751,label.strict.next_60m.sweep_failed_immediately,all
2025,ok,4763,0.7447,0.2150,476,0.4832,0.2682,label.strict.next_60m.sweep_failed_immediately,all
