config,stop_mult,target_mult,trade_window_min,n_trades,cum_r,win_rate,avg_r,max_dd,years_positive,years_total
v5_stop2.0_tgt4.0_tw240,2.0000,4.0000,240,629,95.1063,0.4706,0.1512,34.2717,5,6
v5_stop2.0_tgt3.0_tw240,2.0000,3.0000,240,629,87.4584,0.5087,0.1390,34.7421,5,6
v5_stop2.0_tgt3.0_tw150,2.0000,3.0000,150,629,78.2758,0.5215,0.1244,31.7186,5,6
v5_stop2.0_tgt4.0_tw180,2.0000,4.0000,180,629,77.1351,0.4642,0.1226,34.5707,5,6
v5_stop2.0_tgt3.5_tw240,2.0000,3.5000,240,629,76.8909,0.4769,0.1222,34.2717,5,6
v5_stop2.0_tgt3.0_tw180,2.0000,3.0000,180,629,68.8527,0.4897,0.1095,34.9520,5,6
v5_stop2.0_tgt3.5_tw150,2.0000,3.5000,150,629,60.8736,0.4960,0.0968,31.3076,5,6
v5_stop2.0_tgt3.5_tw180,2.0000,3.5000,180,629,58.1135,0.4642,0.0924,34.5707,5,6
v5_stop2.0_tgt2.5_tw240,2.0000,2.5000,240,629,52.2943,0.5151,0.0831,35.9921,5,6
v5_stop2.0_tgt2.5_tw150,2.0000,2.5000,150,629,49.1266,0.5278,0.0781,32.9686,5,6
v5_stop2.0_tgt2.5_tw180,2.0000,2.5000,180,629,32.2151,0.4960,0.0512,36.2020,5,6
v5_stop1.5_tgt4.0_tw240,1.5000,4.0000,240,629,124.7144,0.4102,0.1983,35.0870,4,6
v5_stop1.5_tgt3.0_tw240,1.5000,3.0000,240,629,123.2305,0.4483,0.1959,35.0870,4,6
v5_stop1.25_tgt3.0_tw240,1.2500,3.0000,240,629,119.5026,0.3975,0.1900,38.7622,4,6
v5_stop1.5_tgt3.5_tw240,1.5000,3.5000,240,629,118.4272,0.4229,0.1883,35.0870,4,6
v5_stop1.0_tgt4.0_tw240,1.0000,4.0000,240,629,116.0961,0.2893,0.1846,59.8474,4,6
v5_stop1.0_tgt3.5_tw240,1.0000,3.5000,240,629,114.6653,0.3021,0.1823,50.2028,4,6
v5_stop1.0_tgt4.0_tw180,1.0000,4.0000,180,629,111.9225,0.2862,0.1779,58.1104,4,6
v5_stop1.25_tgt4.0_tw240,1.2500,4.0000,240,629,110.0833,0.3593,0.1750,60.0937,4,6
v5_stop1.0_tgt3.0_tw240,1.0000,3.0000,240,629,109.7490,0.3211,0.1745,40.0000,4,6
v5_stop1.25_tgt3.5_tw240,1.2500,3.5000,240,629,108.9387,0.3720,0.1732,51.5622,4,6
v5_stop1.5_tgt3.0_tw180,1.5000,3.0000,180,629,100.1514,0.4356,0.1592,35.9493,4,6
v5_stop1.0_tgt3.0_tw180,1.0000,3.0000,180,629,97.9837,0.3116,0.1558,40.0000,4,6
v5_stop1.75_tgt4.0_tw240,1.7500,4.0000,240,629,97.5593,0.4356,0.1551,34.3106,4,6
v5_stop1.0_tgt3.5_tw180,1.0000,3.5000,180,629,97.4507,0.2925,0.1549,51.0492,4,6
v5_stop1.0_tgt3.0_tw150,1.0000,3.0000,150,629,93.9592,0.3339,0.1494,40.0000,4,6
v5_stop1.5_tgt3.5_tw180,1.5000,3.5000,180,629,90.4062,0.4102,0.1437,35.9493,4,6
v5_stop1.25_tgt3.0_tw180,1.2500,3.0000,180,629,89.2884,0.3847,0.1420,38.1352,4,6
v5_stop1.0_tgt3.5_tw150,1.0000,3.5000,150,629,85.4359,0.3148,0.1358,53.8480,4,6
v5_stop1.75_tgt3.0_tw240,1.7500,3.0000,240,629,84.2873,0.4674,0.1340,34.3106,4,6
v5_stop1.25_tgt4.0_tw180,1.2500,4.0000,180,629,83.6395,0.3529,0.1330,58.0920,4,6
v5_stop1.75_tgt3.5_tw240,1.7500,3.5000,240,629,79.0274,0.4420,0.1256,34.3106,4,6
v5_stop1.25_tgt3.0_tw150,1.2500,3.0000,150,629,78.7137,0.3975,0.1251,41.8080,4,6
v5_stop1.5_tgt2.5_tw240,1.5000,2.5000,240,629,75.9176,0.4547,0.1207,35.0870,4,6
v5_stop1.25_tgt3.5_tw180,1.2500,3.5000,180,629,72.8620,0.3593,0.1158,52.2394,4,6
v5_stop2.0_tgt4.0_tw150,2.0000,4.0000,150,629,70.9052,0.4897,0.1127,31.3076,4,6
v5_stop1.5_tgt3.5_tw150,1.5000,3.5000,150,629,68.7514,0.4229,0.1093,35.5766,4,6
v5_stop1.25_tgt2.5_tw240,1.2500,2.5000,240,629,67.2616,0.4038,0.1069,41.1622,4,6
v5_stop1.0_tgt2.5_tw240,1.0000,2.5000,240,629,64.5277,0.3339,0.1026,40.3926,4,6
v5_stop1.25_tgt3.5_tw150,1.2500,3.5000,150,629,55.8951,0.3720,0.0889,54.4784,4,6
v5_stop1.75_tgt3.5_tw180,1.7500,3.5000,180,629,54.2442,0.4229,0.0862,35.3949,4,6
v5_stop1.5_tgt2.5_tw150,1.5000,2.5000,150,629,53.7390,0.4547,0.0854,35.4420,4,6
v5_stop1.5_tgt2.5_tw180,1.5000,2.5000,180,629,53.2672,0.4420,0.0847,35.9493,4,6
v5_stop1.0_tgt2.5_tw150,1.0000,2.5000,150,629,51.7749,0.3402,0.0823,40.5644,4,6
v5_stop1.0_tgt2.5_tw180,1.0000,2.5000,180,629,51.4238,0.3243,0.0818,40.5644,4,6
v5_stop1.75_tgt2.5_tw240,1.7500,2.5000,240,629,42.5906,0.4738,0.0677,35.1338,4,6
v5_stop1.25_tgt2.5_tw150,1.2500,2.5000,150,629,41.2372,0.4038,0.0656,40.6264,4,6
v5_stop1.25_tgt2.5_tw180,1.2500,2.5000,180,629,40.1010,0.3911,0.0638,40.5352,4,6
v5_stop1.5_tgt4.0_tw180,1.5000,4.0000,180,629,104.0541,0.4038,0.1654,35.9493,3,6
v5_stop1.0_tgt4.0_tw150,1.0000,4.0000,150,629,99.1900,0.3084,0.1577,59.6631,3,6
v5_stop1.5_tgt3.0_tw150,1.5000,3.0000,150,629,87.7669,0.4483,0.1395,35.4420,3,6
v5_stop1.5_tgt4.0_tw150,1.5000,4.0000,150,629,79.2542,0.4165,0.1260,40.1967,3,6
v5_stop1.75_tgt4.0_tw180,1.7500,4.0000,180,629,73.1260,0.4229,0.1163,34.6522,3,6
v5_stop1.25_tgt4.0_tw150,1.2500,4.0000,150,629,66.0984,0.3657,0.1051,62.9397,3,6
v5_stop1.75_tgt3.0_tw150,1.7500,3.0000,150,629,63.9436,0.4738,0.1017,31.2086,3,6
v5_stop1.75_tgt3.0_tw180,1.7500,3.0000,180,629,63.7401,0.4483,0.1013,34.6522,3,6
v5_stop1.75_tgt4.0_tw150,1.7500,4.0000,150,629,56.2520,0.4420,0.0894,37.7749,3,6
v5_stop1.75_tgt3.5_tw150,1.7500,3.5000,150,629,46.5017,0.4483,0.0739,35.7602,3,6
v5_stop1.75_tgt2.5_tw150,1.7500,2.5000,150,629,33.6340,0.4801,0.0535,31.9641,3,6
v5_stop1.75_tgt2.5_tw180,1.7500,2.5000,180,629,22.4107,0.4547,0.0356,35.3737,3,6
