symbol,n_trades,wins,win_rate,cum_r,avg_r,max_dd
6N.c.0,239,122,0.5105,31.3687,0.1312,17.0225
6C.c.0,48,39,0.8125,28.2075,0.5877,2.0000
6E.c.0,57,35,0.6140,20.2651,0.3555,7.4433
ES.c.0,342,178,0.5205,9.0310,0.0264,16.8807
6B.c.0,25,16,0.6400,4.2801,0.1712,2.0000
BZ.c.0,41,18,0.4390,3.2673,0.0797,6.8097
6A.c.0,88,32,0.3636,2.5075,0.0285,10.5087
HO.c.0,28,18,0.6429,2.0247,0.0723,2.5695
6S.c.0,97,41,0.4227,-0.9380,-0.0097,9.2587
ZN.c.0,110,44,0.4000,-1.1838,-0.0108,8.2268
6J.c.0,10,4,0.4000,-1.7651,-0.1765,3.0000
RB.c.0,28,16,0.5714,-2.3115,-0.0826,7.0000
ZB.c.0,67,34,0.5075,-2.7708,-0.0414,7.1789
ZT.c.0,14,4,0.2857,-3.3778,-0.2413,2.3778
RTY.c.0,241,127,0.5270,-3.8562,-0.0160,17.8584
NQ.c.0,413,201,0.4867,-8.0481,-0.0195,34.2297
NG.c.0,319,131,0.4107,-9.5084,-0.0298,23.4575
CL.c.0,128,52,0.4062,-14.9704,-0.1170,23.2340
YM.c.0,367,175,0.4768,-16.5428,-0.0451,20.7051
ZF.c.0,62,22,0.3548,-16.9580,-0.2735,17.3999
