variant,signal,test_year,symbol,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r
v7d_baseline,ogap_gap_down_rejection,2020,ES.c.0,short,2020-01-05 23:00:00+00:00,2020-01-05 23:02:00+00:00,3219.2500,2020-01-06 03:02:00+00:00,3220.7500,time_exit,4.4598,3228.1696,3201.4107,-1.5000,-0.1682
v7d_baseline,ogap_gap_down_rejection,2020,ES.c.0,short,2020-01-05 23:00:00+00:00,2020-01-05 23:02:00+00:00,3219.2500,2020-01-06 03:02:00+00:00,3220.7500,time_exit,4.4598,3228.1696,3201.4107,-1.5000,-0.1682
v7d_baseline,ogap_gap_down_rejection,2020,NQ.c.0,short,2020-01-26 23:00:00+00:00,2020-01-26 23:02:00+00:00,9051.7500,2020-01-27 03:02:00+00:00,9022.7500,time_exit,22.8214,9097.3929,8960.4643,29.0000,0.6354
v7d_baseline,ogap_gap_down_rejection,2020,ES.c.0,short,2020-01-26 23:00:00+00:00,2020-01-26 23:02:00+00:00,3265.7500,2020-01-27 03:02:00+00:00,3261.7500,time_exit,7.0045,3279.7589,3237.7321,4.0000,0.2855
v7d_baseline,ogap_gap_down_rejection,2020,NQ.c.0,short,2020-01-26 23:00:00+00:00,2020-01-26 23:02:00+00:00,9051.7500,2020-01-27 03:02:00+00:00,9022.7500,time_exit,22.8214,9097.3929,8960.4643,29.0000,0.6354
v7d_baseline,ogap_gap_down_rejection,2020,ES.c.0,short,2020-01-26 23:00:00+00:00,2020-01-26 23:02:00+00:00,3265.7500,2020-01-27 03:02:00+00:00,3261.7500,time_exit,7.0045,3279.7589,3237.7321,4.0000,0.2855
v7d_baseline,ogap_gap_down_rejection,2020,NQ.c.0,short,2020-02-17 23:00:00+00:00,2020-02-17 23:02:00+00:00,9594.0000,2020-02-17 23:54:00+00:00,9603.4821,stop,4.7411,9603.4821,9575.0357,-9.4821,-1.0000
v7d_baseline,ogap_gap_down_rejection,2020,ES.c.0,short,2020-02-23 23:00:00+00:00,2020-02-23 23:05:00+00:00,3305.5000,2020-02-24 03:05:00+00:00,3286.0000,time_exit,5.6384,3316.7768,3282.9464,19.5000,1.7292
v7d_baseline,ogap_gap_down_rejection,2020,ES.c.0,short,2020-02-23 23:00:00+00:00,2020-02-23 23:05:00+00:00,3305.5000,2020-02-24 03:05:00+00:00,3286.0000,time_exit,5.6384,3316.7768,3282.9464,19.5000,1.7292
v7d_baseline,ogap_gap_down_rejection,2020,ES.c.0,short,2020-03-08 22:00:00+00:00,2020-03-08 22:02:00+00:00,2872.2500,2020-03-09 02:02:00+00:00,2819.0000,time_exit,21.0536,2914.3571,2788.0357,53.2500,1.2646
