matrix,snapshot,side,label,auc,n_events,B_nat_n,B_nat_cum_r,B_nat_avg_r,B_nat_win,B_nat_dd,B_nat_yrs_pos,B_rev_n,B_rev_cum_r,B_rev_avg_r,B_rev_win,B_rev_dd,B_rev_yrs_pos,D_n,D_cum_r,D_avg_r,D_win,winning_dir,winning_cum_r,winning_avg_r,winning_yrs_pos,D_cum_r_aligned,is_type_b,skip_reason
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,gap_up,label.next_240m.range_expanded_1x_gap,0.9739,2319.0000,1563.0000,16.7663,0.0107,0.5240,57.7755,3.0000,1563.0000,5.1753,0.0033,0.4619,32.4250,3.0000,154.0000,-4.5687,-0.0297,0.4935,natural,16.7663,0.0107,3.0000,-4.5687,False,
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,all,label.next_240m.range_expanded_2x_gap,0.9729,4277.0000,2850.0000,3.1742,0.0011,0.5011,61.0822,3.0000,2850.0000,14.4345,0.0051,0.4825,38.2254,3.0000,281.0000,0.4422,0.0016,0.4769,reversed,14.4345,0.0051,3.0000,-0.4422,False,
smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_close_moved_with_thesis,0.9688,699.0000,501.0000,-174.7555,-0.3488,0.2675,175.5287,0.0000,501.0000,165.9648,0.3313,0.6188,4.5872,6.0000,51.0000,-18.2464,-0.3578,0.1961,reversed,165.9648,0.3313,6.0000,18.2464,False,
smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_primary_took_period_n_high,0.9673,699.0000,501.0000,-174.7555,-0.3488,0.2675,175.5287,0.0000,501.0000,165.9648,0.3313,0.6188,4.5872,6.0000,51.0000,-18.2464,-0.3578,0.1961,reversed,165.9648,0.3313,6.0000,18.2464,False,
macro_event_type_breakdown,at_fire,high,label.next_5m.range_expanded_2x_pre_15m,0.9665,,,,,,,,,,,,,,,,,,,,,,,,err:FileNotFoundError
smt_previous_day_snapshots_xctx_fvggeom,at_period_close,high,label.n1_thesis_confirmed_strict,0.9642,699.0000,501.0000,-174.7555,-0.3488,0.2675,175.5287,0.0000,501.0000,165.9648,0.3313,0.6188,4.5872,6.0000,51.0000,-18.2464,-0.3578,0.1961,reversed,165.9648,0.3313,6.0000,18.2464,False,
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,all,label.next_1d.range_expanded_2x_gap,0.9613,4277.0000,2850.0000,3.1742,0.0011,0.5011,61.0822,3.0000,2850.0000,14.4345,0.0051,0.4825,38.2254,3.0000,281.0000,0.4422,0.0016,0.4769,reversed,14.4345,0.0051,3.0000,-0.4422,False,
smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_primary_took_period_n_low,0.9607,699.0000,501.0000,-174.7555,-0.3488,0.2675,175.5287,0.0000,501.0000,165.9648,0.3313,0.6188,4.5872,6.0000,51.0000,-18.2464,-0.3578,0.1961,reversed,165.9648,0.3313,6.0000,18.2464,False,
smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_thesis_confirmed_strict,0.9607,699.0000,501.0000,-174.7555,-0.3488,0.2675,175.5287,0.0000,501.0000,165.9648,0.3313,0.6188,4.5872,6.0000,51.0000,-18.2464,-0.3578,0.1961,reversed,165.9648,0.3313,6.0000,18.2464,False,
smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,all,label.n1_primary_took_period_n_low,0.9601,1349.0000,960.0000,-279.4969,-0.2911,0.3125,280.2581,0.0000,960.0000,344.4130,0.3588,0.5938,5.4873,6.0000,96.0000,-37.6453,-0.3921,0.2708,reversed,344.4130,0.3588,6.0000,37.6453,True,
