matrix,snapshot,side,label,auc,n_events,B_nat_n,B_nat_cum_r,B_nat_avg_r,B_nat_win,B_nat_dd,B_nat_yrs_pos,B_rev_n,B_rev_cum_r,B_rev_avg_r,B_rev_win,B_rev_dd,B_rev_yrs_pos,D_n,D_cum_r,D_avg_r,D_win,winning_dir,winning_cum_r,winning_avg_r,winning_yrs_pos,D_cum_r_aligned,is_type_b,skip_reason
fvg_snapshots_xctx_fvggeom_obgeom_strict,at_fire,all,label.strict.no_touch_continuation,0.7195,106156.0000,69313.0000,10420.5402,0.1503,0.4886,90.9709,6.0000,69315.0000,-9430.5317,-0.1361,0.3653,9429.7426,0.0000,6930.0000,1188.6319,0.1715,0.4973,natural,10420.5402,0.1503,6.0000,1188.6319,True,
fvg_snapshots_xctx_fvggeom_obgeom_strict,at_fire,all,label.strict.forward_10c.after_tap_1x_clean,0.6948,106156.0000,69313.0000,10420.5402,0.1503,0.4886,90.9709,6.0000,69315.0000,-9430.5317,-0.1361,0.3653,9429.7426,0.0000,6930.0000,1188.6319,0.1715,0.4973,natural,10420.5402,0.1503,6.0000,1188.6319,True,
fvg_snapshots_xctx_fvggeom_obgeom_strict,at_fire,all,label.strict.forward_10c.after_tap_failed_1x_against,0.7186,106156.0000,69313.0000,10420.5402,0.1503,0.4886,90.9709,6.0000,69315.0000,-9430.5317,-0.1361,0.3653,9429.7426,0.0000,6930.0000,1188.6319,0.1715,0.4973,natural,10420.5402,0.1503,6.0000,1188.6319,True,
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.zone_reaction.closed_inside_fvg_range,0.7492,106036.0000,69244.0000,10404.2763,0.1503,0.4884,90.9709,6.0000,69246.0000,-9419.0135,-0.1360,0.3654,9418.2245,0.0000,6907.0000,982.9432,0.1423,0.4811,natural,10404.2763,0.1503,6.0000,982.9432,True,
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.zone_reaction.took_fvg_high,0.8905,106036.0000,69244.0000,10404.2763,0.1503,0.4884,90.9709,6.0000,69246.0000,-9419.0135,-0.1360,0.3654,9418.2245,0.0000,6907.0000,982.9432,0.1423,0.4811,natural,10404.2763,0.1503,6.0000,982.9432,True,
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.zone_reaction.took_fvg_low,0.8633,106036.0000,69244.0000,10404.2763,0.1503,0.4884,90.9709,6.0000,69246.0000,-9419.0135,-0.1360,0.3654,9418.2245,0.0000,6907.0000,982.9432,0.1423,0.4811,natural,10404.2763,0.1503,6.0000,982.9432,True,
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.zone_reaction.took_fvg_low_rejected_inside,0.7363,106036.0000,69244.0000,10404.2763,0.1503,0.4884,90.9709,6.0000,69246.0000,-9419.0135,-0.1360,0.3654,9418.2245,0.0000,6907.0000,982.9432,0.1423,0.4811,natural,10404.2763,0.1503,6.0000,982.9432,True,
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.zone_reaction.closed_outside_fvg_range,0.7492,106036.0000,69244.0000,10404.2763,0.1503,0.4884,90.9709,6.0000,69246.0000,-9419.0135,-0.1360,0.3654,9418.2245,0.0000,6907.0000,982.9432,0.1423,0.4811,natural,10404.2763,0.1503,6.0000,982.9432,True,
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.mitigation.fully_filled,0.7373,106036.0000,69244.0000,10404.2763,0.1503,0.4884,90.9709,6.0000,69246.0000,-9419.0135,-0.1360,0.3654,9418.2245,0.0000,6907.0000,982.9432,0.1423,0.4811,natural,10404.2763,0.1503,6.0000,982.9432,True,
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,bullish,label.zone_reaction.closed_outside_fvg_range,0.7350,57328.0000,37715.0000,6031.8195,0.1599,0.5182,90.6332,6.0000,37717.0000,-5538.1123,-0.1468,0.3494,5554.7705,0.0000,3764.0000,550.5085,0.1463,0.5133,natural,6031.8195,0.1599,6.0000,550.5085,True,
