kind,subtype,side,n_events,B_nat_n,B_nat_cum_r,B_nat_avg_r,B_nat_win,B_nat_dd,B_nat_yrs_pos,B_rev_n,B_rev_cum_r,B_rev_avg_r,B_rev_win,B_rev_dd,B_rev_yrs_pos,D_n,D_cum_r,D_avg_r,winning_dir,winning_cum_r,winning_avg_r,winning_yrs_pos,D_cum_r_aligned,is_type_b
fair_value_gap,15m_fvg,bullish,30549,30364,1104.8858,0.0364,0.4637,217.4596,4,30412,-868.9504,-0.0286,0.3977,928.5355,1,3031,179.4374,0.0592,natural,1104.8858,0.0364,4,179.4374,False
fair_value_gap,15m_fvg,bearish,25957,25824,38.7575,0.0015,0.4008,273.5311,3,25834,269.8049,0.0104,0.4345,191.1475,4,2586,-62.3299,-0.0241,reversed,269.8049,0.0104,4,62.3299,False
fair_value_gap,1h_fvg,bullish,8270,7823,400.3968,0.0512,0.4745,114.1964,5,7941,-281.6695,-0.0355,0.3939,313.3783,2,773,59.1274,0.0765,natural,400.3968,0.0512,5,59.1274,True
swing_pivot,pivot_3_1h,high,6513,6158,-43.3806,-0.0070,0.4034,117.9500,2,6178,-37.3433,-0.0060,0.4362,179.4813,3,619,-1.1627,-0.0019,reversed,-37.3433,-0.0060,3,1.1627,False
fair_value_gap,1h_fvg,bearish,6506,6152,63.4946,0.0103,0.4171,109.4764,3,6271,45.8758,0.0073,0.4334,117.2014,3,616,30.3166,0.0492,natural,63.4946,0.0103,3,30.3166,False
swing_pivot,pivot_3_1h,low,6458,6098,305.8024,0.0501,0.4611,77.9818,5,6114,-177.5944,-0.0290,0.3858,276.6975,1,613,2.8439,0.0046,natural,305.8024,0.0501,5,2.8439,True
swing_pivot,pivot_5_1h,low,4065,3714,60.4327,0.0163,0.4542,65.0140,4,3697,25.2540,0.0068,0.4201,59.2802,4,365,17.6984,0.0485,natural,60.4327,0.0163,4,17.6984,False
swing_pivot,pivot_5_1h,high,4005,3683,-54.1749,-0.0147,0.4097,91.7646,3,3691,36.4108,0.0099,0.4478,77.4575,3,367,-11.6687,-0.0318,reversed,36.4108,0.0099,3,11.6687,False
fair_value_gap,4h_fvg,bullish,2599,2450,96.7236,0.0395,0.4865,40.6727,4,2450,-91.6349,-0.0374,0.3931,123.0535,1,248,0.9814,0.0040,natural,96.7236,0.0395,4,0.9814,False
swing_pivot,pivot_3_4h,high,1948,1601,-19.0631,-0.0119,0.3960,67.9172,2,1601,6.4598,0.0040,0.4466,70.3357,4,160,5.6648,0.0354,reversed,6.4598,0.0040,4,-5.6648,False
swing_pivot,pivot_3_4h,low,1884,1552,118.8857,0.0766,0.4613,30.3854,5,1552,-29.1973,-0.0188,0.4066,56.1542,2,143,-3.0330,-0.0212,natural,118.8857,0.0766,5,-3.0330,False
fair_value_gap,4h_fvg,bearish,1874,1781,63.5397,0.0357,0.4351,46.2029,4,1780,-13.1562,-0.0074,0.4596,57.1212,2,183,10.3509,0.0566,natural,63.5397,0.0357,4,10.3509,False
liquidity_sweep,london_high_1h,high,1781,1780,52.0894,0.0293,0.3831,89.5723,4,1780,-55.3046,-0.0311,0.3753,73.9714,1,178,-15.1686,-0.0852,natural,52.0894,0.0293,4,-15.1686,False
liquidity_sweep,pdh_4h,high,1743,1727,-29.0991,-0.0168,0.4094,75.8856,2,1727,2.9692,0.0017,0.4505,65.9151,3,173,14.0141,0.0810,reversed,2.9692,0.0017,3,-14.0141,False
liquidity_sweep,pdh_1h,high,1733,1721,9.4512,0.0055,0.4108,39.5457,2,1712,71.2657,0.0416,0.4696,35.2256,4,172,14.0056,0.0814,reversed,71.2657,0.0416,4,-14.0056,False
liquidity_sweep,asia_high_1h,high,1682,1680,-4.2041,-0.0025,0.4720,38.2061,3,1680,29.4792,0.0175,0.5095,37.2391,4,168,-9.8599,-0.0587,reversed,29.4792,0.0175,4,9.8599,False
order_block,swept_london_high_1h,bearish,1623,1620,6.4036,0.0040,0.3833,45.8499,3,1621,9.9216,0.0061,0.4133,103.3454,3,161,-9.1665,-0.0569,reversed,9.9216,0.0061,3,9.1665,False
liquidity_sweep,ny_high_1h,high,1589,1575,-55.3388,-0.0351,0.3810,92.9070,2,1568,66.8829,0.0427,0.4815,28.7080,5,158,36.2786,0.2296,reversed,66.8829,0.0427,5,-36.2786,False
opening_gap,ndog,gap_up,1562,1562,16.5496,0.0106,0.5237,57.7755,3,1562,4.9911,0.0032,0.4616,32.4250,3,156,9.3322,0.0598,natural,16.5496,0.0106,3,9.3322,False
