variant,signal,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r
B_sweep_REVERSED,sweep_ob_confirm_all,2020,NQ.c.0,high,long,2020-01-02 08:00:00+00:00,2020-01-02 08:02:00+00:00,8796.0000,2020-01-02 09:55:00+00:00,8816.2902,target,4.0580,8787.8839,8816.2902,20.2902,2.5000
B_sweep_REVERSED,sweep_ob_confirm_all,2020,ES.c.0,high,long,2020-01-02 08:00:00+00:00,2020-01-02 08:02:00+00:00,3243.0000,2020-01-02 09:17:00+00:00,3249.1607,target,1.2321,3240.5357,3249.1607,6.1607,2.5000
B_sweep_REVERSED,sweep_ob_confirm_all,2020,NQ.c.0,high,long,2020-01-02 23:00:00+00:00,2020-01-02 23:02:00+00:00,8902.0000,2020-01-03 01:51:00+00:00,8877.7054,stop,12.1473,8877.7054,8962.7366,-24.2946,-1.0000
B_sweep_REVERSED,sweep_ob_confirm_all,2020,ES.c.0,high,long,2020-01-02 23:00:00+00:00,2020-01-02 23:08:00+00:00,3262.0000,2020-01-03 01:51:00+00:00,3254.6607,stop,3.6696,3254.6607,3280.3482,-7.3393,-1.0000
B_sweep_REVERSED,sweep_ob_confirm_all,2020,NQ.c.0,high,long,2020-01-02 00:00:00+00:00,2020-01-02 00:02:00+00:00,8777.0000,2020-01-02 04:02:00+00:00,8790.2500,time_exit,9.0804,8758.8393,8822.4018,13.2500,0.7296
B_sweep_REVERSED,sweep_ob_confirm_all,2020,ES.c.0,high,long,2020-01-02 00:00:00+00:00,2020-01-02 00:02:00+00:00,3238.0000,2020-01-02 04:02:00+00:00,3240.5000,time_exit,2.9062,3232.1875,3252.5312,2.5000,0.4301
B_sweep_REVERSED,sweep_ob_confirm_all,2020,ES.c.0,low,short,2020-01-03 03:00:00+00:00,2020-01-03 03:04:00+00:00,3238.7500,2020-01-03 07:04:00+00:00,3231.2500,time_exit,3.7098,3246.1696,3220.2009,7.5000,1.0108
B_sweep_REVERSED,sweep_ob_confirm_all,2020,ES.c.0,low,short,2020-01-03 00:00:00+00:00,2020-01-03 00:05:00+00:00,3261.5000,2020-01-03 02:15:00+00:00,3247.1696,target,2.8661,3267.2321,3247.1696,14.3304,2.5000
B_sweep_REVERSED,sweep_ob_confirm_all,2020,NQ.c.0,high,long,2020-01-03 00:00:00+00:00,2020-01-03 00:02:00+00:00,8899.0000,2020-01-03 01:44:00+00:00,8880.3839,stop,9.3080,8880.3839,8945.5402,-18.6161,-1.0000
B_sweep_REVERSED,sweep_ob_confirm_all,2020,ES.c.0,high,long,2020-01-03 00:00:00+00:00,2020-01-03 00:02:00+00:00,3261.2500,2020-01-03 01:51:00+00:00,3255.5179,stop,2.8661,3255.5179,3275.5804,-5.7321,-1.0000
