variant,signal,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r,entry_ts_tbbo,entry_price_tbbo,exit_ts_tbbo,exit_price_tbbo,exit_reason_tbbo,pnl_r_tbbo,target_hit_ts,stop_hit_ts,note
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-05-01 00:00:00+00:00,2025-05-01 00:03:00+00:00,19929.7500,2025-05-01 04:03:00+00:00,19965.0000,time_exit,77.3705,19775.0089,20316.6027,35.2500,0.2278,2025-05-01 00:03:00.098425587+00:00,19929.7500,2025-05-01 04:59:58.581208531+00:00,19941.1250,time_exit,0.0735,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,high,long,2025-05-01 00:00:00+00:00,2025-05-01 00:03:00+00:00,5637.5000,2025-05-01 04:03:00+00:00,5648.7500,time_exit,18.6295,5600.2411,5730.6473,11.2500,0.3019,2025-05-01 00:03:00.145301143+00:00,5637.5000,2025-05-01 04:59:51.477827097+00:00,5644.1250,time_exit,0.1778,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-05-01 06:00:00+00:00,2025-05-01 06:02:00+00:00,19928.2500,2025-05-01 10:02:00+00:00,20005.0000,time_exit,26.4911,19875.2679,20060.7054,76.7500,1.4486,2025-05-01 06:02:00.281833463+00:00,19928.2500,2025-05-01 10:59:58.782652403+00:00,20002.0000,time_exit,1.3920,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,high,long,2025-05-01 06:00:00+00:00,2025-05-01 06:03:00+00:00,5642.5000,2025-05-01 10:03:00+00:00,5658.0000,time_exit,5.6920,5631.1161,5670.9598,15.5000,1.3616,2025-05-01 06:03:00.778605689+00:00,5643.0000,2025-05-01 10:59:55.692216539+00:00,5652.1250,time_exit,0.7678,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-05-01 14:00:00+00:00,2025-05-01 14:02:00+00:00,19915.7500,2025-05-01 15:15:00+00:00,20121.8214,target,41.2143,19833.3214,20121.8214,206.0714,2.5000,2025-05-01 14:02:00.017843965+00:00,19915.7500,2025-05-01 15:15:15.847338965+00:00,20121.8214,target,2.5000,2025-05-01 15:15:15.847338965+00:00,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,high,long,2025-05-01 14:00:00+00:00,2025-05-01 14:02:00+00:00,5638.7500,2025-05-01 18:02:00+00:00,5650.5000,time_exit,9.0536,5620.6429,5684.0179,11.7500,0.6489,2025-05-01 14:02:00.004514413+00:00,5638.7500,2025-05-01 18:59:59.922265593+00:00,5658.3750,time_exit,1.0838,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,low,short,2025-05-01 22:00:00+00:00,2025-05-01 22:02:00+00:00,19783.7500,2025-05-02 00:47:00+00:00,19932.5982,stop,74.4241,19932.5982,19411.6295,-148.8482,-1.0000,2025-05-01 22:02:00.610219019+00:00,19783.7500,2025-05-02 00:47:29.471085151+00:00,19933.2500,stop,-1.0044,,2025-05-02 00:47:29.471085151+00:00,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,low,short,2025-05-01 22:00:00+00:00,2025-05-01 22:02:00+00:00,5609.2500,2025-05-02 00:43:00+00:00,5646.0000,stop,18.3750,5646.0000,5517.3750,-36.7500,-1.0000,2025-05-01 22:02:00.259454203+00:00,5609.2500,2025-05-02 00:43:26.718175363+00:00,5646.0000,stop,-1.0000,,2025-05-02 00:43:26.718175363+00:00,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-05-02 00:00:00+00:00,2025-05-02 00:04:00+00:00,19787.7500,2025-05-02 04:04:00+00:00,19986.2500,time_exit,57.7634,19672.2232,20076.5670,198.5000,1.7182,2025-05-02 00:04:00.240777201+00:00,19788.5000,2025-05-02 04:59:58.494126429+00:00,19984.6250,time_exit,1.6867,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,high,long,2025-05-02 00:00:00+00:00,2025-05-02 00:04:00+00:00,5612.0000,2025-05-02 04:04:00+00:00,5668.2500,time_exit,14.4375,5583.1250,5684.1875,56.2500,1.9481,2025-05-02 00:04:00.246082635+00:00,5612.2500,2025-05-02 04:59:58.493870795+00:00,5667.8750,time_exit,1.9099,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-05-02 01:00:00+00:00,2025-05-02 01:06:00+00:00,19923.2500,2025-05-02 05:06:00+00:00,19980.2500,time_exit,61.0714,19801.1071,20228.6071,57.0000,0.4667,2025-05-02 01:06:00.750048187+00:00,19923.2500,2025-05-02 05:59:50.744213319+00:00,19949.8750,time_exit,0.2180,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,low,short,2025-05-02 00:00:00+00:00,2025-05-02 00:02:00+00:00,19791.0000,2025-05-02 00:45:00+00:00,19906.5268,stop,57.7634,19906.5268,19502.1830,-115.5268,-1.0000,2025-05-02 00:02:00.445633065+00:00,19791.0000,2025-05-02 00:45:16.076050303+00:00,19907.5000,stop,-1.0084,,2025-05-02 00:45:16.076050303+00:00,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,low,short,2025-05-02 00:00:00+00:00,2025-05-02 00:03:00+00:00,5611.0000,2025-05-02 00:33:00+00:00,5639.8750,stop,14.4375,5639.8750,5538.8125,-28.8750,-1.0000,2025-05-02 00:03:00.281618341+00:00,5611.0000,2025-05-02 00:33:25.304958435+00:00,5640.0000,stop,-1.0043,,2025-05-02 00:33:25.304958435+00:00,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,low,short,2025-05-02 06:00:00+00:00,2025-05-02 06:02:00+00:00,19927.2500,2025-05-02 10:02:00+00:00,19924.0000,time_exit,37.4330,20002.1161,19740.0848,3.2500,0.0434,2025-05-02 06:02:00.774121677+00:00,19926.5000,2025-05-02 10:59:59.246454615+00:00,19932.7500,time_exit,-0.0827,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,low,short,2025-05-02 09:00:00+00:00,2025-05-02 09:03:00+00:00,5635.2500,2025-05-02 09:48:00+00:00,5649.9286,stop,7.3393,5649.9286,5598.5536,-14.6786,-1.0000,2025-05-02 09:03:00.005079269+00:00,5635.0000,2025-05-02 09:48:43.869271665+00:00,5650.0000,stop,-1.0048,,2025-05-02 09:48:43.869271665+00:00,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-05-02 12:00:00+00:00,2025-05-02 12:02:00+00:00,19924.7500,2025-05-02 12:55:00+00:00,20091.8259,target,33.4152,19857.9196,20091.8259,167.0759,2.5000,2025-05-02 12:02:01.777067813+00:00,19924.5000,2025-05-02 12:55:06.172167819+00:00,20091.8259,target,2.5131,2025-05-02 12:55:06.172167819+00:00,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,high,long,2025-05-02 12:00:00+00:00,2025-05-02 12:02:00+00:00,5644.2500,2025-05-02 12:54:00+00:00,5683.2902,target,7.8080,5628.6339,5683.2902,39.0402,2.5000,2025-05-02 12:02:00.830330553+00:00,5644.2500,2025-05-02 12:54:17.481297493+00:00,5683.2902,target,2.5000,2025-05-02 12:54:17.481297493+00:00,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-05-02 14:00:00+00:00,2025-05-02 14:02:00+00:00,20085.0000,2025-05-02 18:02:00+00:00,20234.0000,time_exit,43.6741,19997.6518,20303.3705,149.0000,1.7058,2025-05-02 14:02:00.004632573+00:00,20085.7500,2025-05-02 18:59:59.806347753+00:00,20221.0000,time_exit,1.5352,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,high,long,2025-05-02 14:00:00+00:00,2025-05-02 14:02:00+00:00,5677.2500,2025-05-02 18:02:00+00:00,5715.2500,time_exit,11.1562,5654.9375,5733.0312,38.0000,1.7031,2025-05-02 14:02:00.004642609+00:00,5677.5000,2025-05-02 18:59:59.377835861+00:00,5711.8750,time_exit,1.5235,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-05-04 22:00:00+00:00,2025-05-04 22:03:00+00:00,20153.7500,2025-05-04 23:45:00+00:00,20063.2679,stop,45.2411,20063.2679,20379.9554,-90.4821,-1.0000,2025-05-04 22:03:00.680558775+00:00,20156.2500,2025-05-04 23:45:06.727902037+00:00,20064.0000,stop,-0.9921,,2025-05-04 23:45:06.727902037+00:00,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,high,long,2025-05-04 22:00:00+00:00,2025-05-04 22:03:00+00:00,5695.2500,2025-05-04 23:45:00+00:00,5672.0268,stop,11.6116,5672.0268,5753.3080,-23.2232,-1.0000,2025-05-04 22:03:00.536866585+00:00,5695.5000,2025-05-04 23:45:58.126509579+00:00,5672.0000,stop,-1.0011,,2025-05-04 23:45:58.126509579+00:00,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-05-05 00:00:00+00:00,2025-05-05 00:02:00+00:00,20094.2500,2025-05-05 01:50:00+00:00,20016.3036,stop,38.9732,20016.3036,20289.1161,-77.9464,-1.0000,2025-05-05 00:02:00.279780267+00:00,20095.0000,2025-05-05 01:50:11.575364639+00:00,20016.2500,stop,-1.0007,,2025-05-05 01:50:11.575364639+00:00,
