slippage,signal,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r,entry_ts_tbbo,entry_price_tbbo,exit_ts_tbbo,exit_price_tbbo,exit_reason_tbbo,pnl_r_tbbo,target_hit_ts,stop_hit_ts,note
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-01 02:30:00+00:00,2025-05-01 02:33:00+00:00,19941.5000,2025-05-01 06:33:00+00:00,19944.2500,time_exit,59.5714,19822.3571,20239.3571,2.7500,0.0231,2025-05-01 02:33:01.701494633+00:00,19942.0000,2025-05-01 07:29:59.929452565+00:00,19954.1250,time_exit,0.1013,,,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bearish,short,2025-05-01 03:00:00+00:00,2025-05-01 03:05:00+00:00,19926.2500,2025-05-01 07:05:00+00:00,19925.7500,time_exit,57.3080,20040.8661,19639.7098,0.5000,0.0044,2025-05-01 03:05:05.340556529+00:00,19925.2500,2025-05-01 07:59:55.580913363+00:00,19956.3750,time_exit,-0.2692,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bearish,short,2025-05-01 03:00:00+00:00,2025-05-01 03:02:00+00:00,5635.2500,2025-05-01 07:02:00+00:00,5637.0000,time_exit,13.0714,5661.3929,5569.8929,-1.7500,-0.0669,2025-05-01 03:02:01.742630065+00:00,5635.0000,2025-05-01 07:59:55.201963271+00:00,5644.6250,time_exit,-0.3647,,,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-01 03:30:00+00:00,2025-05-01 03:33:00+00:00,19940.7500,2025-05-01 07:33:00+00:00,19955.0000,time_exit,56.5982,19827.5536,20223.7411,14.2500,0.1259,2025-05-01 03:33:00.263336083+00:00,19940.7500,2025-05-01 08:29:59.652671009+00:00,19960.1250,time_exit,0.1712,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-01 03:30:00+00:00,2025-05-01 03:35:00+00:00,5642.7500,2025-05-01 07:35:00+00:00,5646.7500,time_exit,12.8036,5617.1429,5706.7679,4.0000,0.1562,2025-05-01 03:35:09.841462867+00:00,5643.0000,2025-05-01 08:29:58.515066015+00:00,5645.1250,time_exit,0.0822,,,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-01 00:00:00+00:00,2025-05-01 00:03:00+00:00,19929.7500,2025-05-01 04:03:00+00:00,19965.0000,time_exit,77.3705,19775.0089,20316.6027,35.2500,0.2278,2025-05-01 00:03:00.098425587+00:00,19929.7500,2025-05-01 04:59:58.581208531+00:00,19941.1250,time_exit,0.0735,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-01 00:00:00+00:00,2025-05-01 00:03:00+00:00,5637.5000,2025-05-01 04:03:00+00:00,5648.7500,time_exit,18.6295,5600.2411,5730.6473,11.2500,0.3019,2025-05-01 00:03:00.145301143+00:00,5637.5000,2025-05-01 04:59:51.477827097+00:00,5644.1250,time_exit,0.1778,,,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-01 03:45:00+00:00,2025-05-01 03:47:00+00:00,19958.7500,2025-05-01 07:47:00+00:00,19960.0000,time_exit,44.8661,19869.0179,20183.0804,1.2500,0.0139,2025-05-01 03:47:01.803709551+00:00,19958.7500,2025-05-01 08:44:58.046190311+00:00,19968.0000,time_exit,0.1031,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-01 03:45:00+00:00,2025-05-01 03:47:00+00:00,5646.0000,2025-05-01 07:47:00+00:00,5646.5000,time_exit,9.2277,5627.5446,5692.1384,0.5000,0.0271,2025-05-01 03:47:02.261926253+00:00,5646.0000,2025-05-01 08:44:55.788565449+00:00,5647.6250,time_exit,0.0881,,,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bearish,short,2025-05-01 04:30:00+00:00,2025-05-01 04:33:00+00:00,19934.2500,2025-05-01 08:33:00+00:00,19958.2500,time_exit,32.9732,20000.1964,19769.3839,-24.0000,-0.3639,2025-05-01 04:33:04.558256195+00:00,19933.7500,2025-05-01 09:29:56.259450643+00:00,19995.8750,time_exit,-0.9350,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bearish,short,2025-05-01 04:30:00+00:00,2025-05-01 04:33:00+00:00,5642.0000,2025-05-01 08:33:00+00:00,5645.2500,time_exit,6.8438,5655.6875,5607.7812,-3.2500,-0.2374,2025-05-01 04:33:04.556943705+00:00,5642.0000,2025-05-01 09:07:30.316120475+00:00,5655.2500,stop,-0.9680,,2025-05-01 09:07:30.316120475+00:00,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bearish,short,2025-05-01 06:00:00+00:00,2025-05-01 06:05:00+00:00,19926.2500,2025-05-01 08:46:00+00:00,19979.2321,stop,26.4911,19979.2321,19793.7946,-52.9821,-1.0000,2025-05-01 06:05:03.326756277+00:00,19925.5000,2025-05-01 08:46:44.731066801+00:00,19979.5000,stop,-1.0050,,2025-05-01 08:46:44.731066801+00:00,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bearish,short,2025-05-01 06:00:00+00:00,2025-05-01 06:05:00+00:00,5641.5000,2025-05-01 09:02:00+00:00,5652.8839,stop,5.6920,5652.8839,5613.0402,-11.3839,-1.0000,2025-05-01 06:05:01.332158177+00:00,5641.5000,2025-05-01 09:02:07.397663567+00:00,5653.0000,stop,-1.0102,,2025-05-01 09:02:07.397663567+00:00,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-01 07:30:00+00:00,2025-05-01 07:33:00+00:00,19955.0000,2025-05-01 11:33:00+00:00,20005.2500,time_exit,25.6875,19903.6250,20083.4375,50.2500,0.9781,2025-05-01 07:33:00.233459077+00:00,19955.5000,2025-05-01 12:29:57.014073679+00:00,19993.1250,time_exit,0.7253,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-01 07:30:00+00:00,2025-05-01 07:33:00+00:00,5646.5000,2025-05-01 11:33:00+00:00,5652.7500,time_exit,5.8527,5634.7946,5675.7634,6.2500,0.5339,2025-05-01 07:33:00.233095991+00:00,5646.7500,2025-05-01 12:29:59.945013827+00:00,5646.5000,time_exit,-0.0209,,,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-01 08:45:00+00:00,2025-05-01 08:47:00+00:00,19981.0000,2025-05-01 12:47:00+00:00,19974.5000,time_exit,25.3661,19930.2679,20107.8304,-6.5000,-0.1281,2025-05-01 08:47:00.346182845+00:00,19981.7500,2025-05-01 13:31:51.184249077+00:00,19930.2500,stop,-1.0003,,2025-05-01 13:31:51.184249077+00:00,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-01 08:45:00+00:00,2025-05-01 08:47:00+00:00,5650.7500,2025-05-01 12:30:00+00:00,5638.7768,stop,5.9866,5638.7768,5680.6830,-11.9732,-1.0000,2025-05-01 08:47:05.234684767+00:00,5650.7500,2025-05-01 12:30:00.113204885+00:00,5638.5000,stop,-1.0231,,2025-05-01 12:30:00.113204885+00:00,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-01 09:00:00+00:00,2025-05-01 09:02:00+00:00,19983.5000,2025-05-01 13:02:00+00:00,19952.2500,time_exit,26.1964,19931.1071,20114.4821,-31.2500,-0.5965,2025-05-01 09:02:00.081758075+00:00,19983.7500,2025-05-01 13:31:50.953637061+00:00,19931.0000,stop,-1.0020,,2025-05-01 13:31:50.953637061+00:00,
