feature,asset_class,n_symbols,symbols,count__mean,count__std,n_years__mean,n_years__std,per_year__mean,per_year__std,n_with_outcomes__mean,n_with_outcomes__std,pct_thesis_up__mean,pct_thesis_up__std,hour_mode_utc__mean,hour_mode_utc__std,fwd10_mfe_pts_mean__mean,fwd10_mfe_pts_mean__std,fwd10_mae_pts_mean__mean,fwd10_mae_pts_mean__std,fwd10_ratio_mfe_mae__mean,fwd10_ratio_mfe_mae__std,fwd50_mfe_pts_mean__mean,fwd50_mfe_pts_mean__std,fwd50_mae_pts_mean__mean,fwd50_mae_pts_mean__std,fwd50_ratio_mfe_mae__mean,fwd50_ratio_mfe_mae__std,fwd10_last_close_thesis_mean__mean,fwd10_last_close_thesis_mean__std,fwd10_last_close_thesis_hitrate__mean,fwd10_last_close_thesis_hitrate__std,fwd50_last_close_thesis_mean__mean,fwd50_last_close_thesis_mean__std,fwd50_last_close_thesis_hitrate__mean,fwd50_last_close_thesis_hitrate__std
displacement_candle,bond,4,"ZB.c.0,ZF.c.0,ZN.c.0,ZT.c.0",7929.5,634.3824,9.0,0.0,881.075,70.4759,7928.0,636.0776,0.4985,0.004,12.0,0.0,0.2804,0.24,0.2796,0.2372,0.997,0.011,0.6222,0.532,0.6107,0.5168,1.0145,0.0079,,,,,,,,
displacement_candle,energy,5,"BZ.c.0,CL.c.0,HO.c.0,NG.c.0,RB.c.0",9363.6,128.9159,9.0,0.0,1040.38,14.3114,9363.6,128.9159,0.5004,0.0018,12.0,0.0,0.4965,0.6036,0.4593,0.5547,1.0642,0.0383,1.0867,1.3175,1.0257,1.2383,1.0488,0.036,,,,,,,,
displacement_candle,fx,7,"6A.c.0,6B.c.0,6C.c.0,6E.c.0,6J.c.0,6N.c.0,6S.c.0",7635.0,1119.3736,9.0,0.0,848.3429,124.3741,7634.5714,1120.0317,0.4934,0.009,8.5714,5.8554,0.0028,0.0015,0.0029,0.0016,0.9714,0.0272,0.0061,0.0032,0.0062,0.0032,0.986,0.0238,,,,,,,,
displacement_candle,grain,3,"ZC.c.0,ZS.c.0,ZW.c.0",6288.3333,284.0464,9.0,0.0,698.7,31.5228,6280.6667,283.7258,0.4943,0.0035,13.3333,2.3094,8.5635,2.9877,8.5062,2.7527,1.001,0.0347,17.3549,5.9818,17.1535,5.5263,1.0067,0.0268,,,,,,,,
displacement_candle,index,4,"ES.c.0,NQ.c.0,RTY.c.0,YM.c.0",9187.25,47.2114,9.0,0.0,1020.8,5.258,9187.25,47.2114,0.4932,0.0083,13.0,2.0,96.2819,92.0437,95.7038,91.3111,1.0012,0.0123,214.4216,205.3997,214.2646,204.5948,0.9977,0.0061,,,,,,,,
first_third_range,bond,4,"ZB.c.0,ZF.c.0,ZN.c.0,ZT.c.0",2170.25,196.6136,9.0,0.0,241.125,21.8476,2155.75,204.2554,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,
first_third_range,energy,5,"BZ.c.0,CL.c.0,HO.c.0,NG.c.0,RB.c.0",2460.8,18.0887,9.0,0.0,273.4,2.0137,2458.6,20.7437,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,
first_third_range,fx,7,"6A.c.0,6B.c.0,6C.c.0,6E.c.0,6J.c.0,6N.c.0,6S.c.0",2204.0,318.4394,9.0,0.0,244.9,35.3869,2192.7143,326.5832,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,
first_third_range,grain,3,"ZC.c.0,ZS.c.0,ZW.c.0",2151.6667,111.7333,9.0,0.0,239.0667,12.4022,2138.3333,111.5093,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,
first_third_range,index,4,"ES.c.0,NQ.c.0,RTY.c.0,YM.c.0",2480.75,0.5,9.0,0.0,275.675,0.05,2480.75,0.5,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,
forming_volume_profile,bond,4,"ZB.c.0,ZF.c.0,ZN.c.0,ZT.c.0",47464.25,4575.2655,9.0,0.0,5273.8,508.362,46683.25,4690.4598,0.0,0.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,
