feature,symbol,asset_class,metric_reliability,count,n_years,per_year,n_with_outcomes,pct_thesis_up,hour_mode_utc,fwd10_mfe_pts_mean,fwd10_mae_pts_mean,fwd10_ratio_mfe_mae,fwd10_last_close_thesis_mean,fwd10_last_close_thesis_hitrate,fwd50_mfe_pts_mean,fwd50_mae_pts_mean,fwd50_ratio_mfe_mae,fwd50_last_close_thesis_mean,fwd50_last_close_thesis_hitrate
swing_pivot,6A.c.0,fx,pivot_anchored__mae_inflated,12499,9,1388.8,12499,0.505,12,0.005,0.0009,5.505,0.0021,0.674,0.0086,0.0045,1.932,0.0021,0.6
swing_pivot,6B.c.0,fx,pivot_anchored__mae_inflated,12595,9,1399.4,12595,0.497,12,0.0079,0.0014,5.554,0.0032,0.68,0.0135,0.0071,1.902,0.0032,0.596
swing_pivot,6C.c.0,fx,pivot_anchored__mae_inflated,9777,9,1086.3,9774,0.497,12,0.0038,0.0007,5.724,0.0016,0.675,0.0062,0.003,2.038,0.0016,0.608
swing_pivot,6E.c.0,fx,pivot_anchored__mae_inflated,15682,9,1742.4,15681,0.491,12,0.0051,0.0012,4.132,0.002,0.667,0.0093,0.0054,1.71,0.0019,0.581
swing_pivot,6J.c.0,fx,pivot_anchored__mae_inflated,13580,9,1508.9,13579,0.488,0,0.0,0.0,4.865,0.0,0.675,0.0001,0.0,1.827,0.0,0.595
swing_pivot,6N.c.0,fx,pivot_anchored__mae_inflated,16873,9,1874.8,16873,0.498,12,0.004,0.0011,3.494,0.0014,0.649,0.0073,0.0044,1.646,0.0014,0.571
swing_pivot,6S.c.0,fx,pivot_anchored__mae_inflated,17121,9,1902.3,17120,0.491,12,0.005,0.0014,3.523,0.0018,0.655,0.0093,0.0058,1.609,0.0018,0.578
swing_pivot,BZ.c.0,energy,pivot_anchored__mae_inflated,18187,9,2020.8,18186,0.503,8,1.5469,0.437,3.539,0.5516,0.65,2.8927,1.7812,1.624,0.5631,0.569
swing_pivot,CL.c.0,energy,pivot_anchored__mae_inflated,18432,9,2048.0,18430,0.5,12,1.5815,0.4514,3.504,0.5612,0.653,2.9808,1.8814,1.584,0.5613,0.569
swing_pivot,ES.c.0,index,pivot_anchored__mae_inflated,17946,9,1994.0,17946,0.5,12,40.0466,11.6797,3.429,14.0783,0.65,75.4733,46.6208,1.619,14.3537,0.568
swing_pivot,HO.c.0,energy,pivot_anchored__mae_inflated,18075,9,2008.3,18073,0.5,12,0.0541,0.0144,3.762,0.0202,0.658,0.1031,0.0628,1.64,0.0199,0.572
swing_pivot,NG.c.0,energy,pivot_anchored__mae_inflated,17459,9,1939.9,17458,0.494,12,0.1337,0.0349,3.828,0.0487,0.649,0.2571,0.1618,1.589,0.0469,0.566
swing_pivot,NQ.c.0,index,pivot_anchored__mae_inflated,18798,9,2088.7,18798,0.496,12,170.3231,50.6664,3.362,59.1902,0.646,323.6802,202.0252,1.602,58.7653,0.561
swing_pivot,RB.c.0,energy,pivot_anchored__mae_inflated,18139,9,2015.4,18138,0.499,12,0.0471,0.0126,3.724,0.0173,0.653,0.0898,0.0549,1.635,0.0175,0.57
swing_pivot,RTY.c.0,index,pivot_anchored__mae_inflated,18604,9,2067.1,18604,0.496,12,24.9011,7.8028,3.191,8.4301,0.649,47.6469,30.3764,1.569,8.4935,0.57
swing_pivot,YM.c.0,index,pivot_anchored__mae_inflated,18731,9,2081.2,18731,0.495,12,295.6358,88.1337,3.354,104.3721,0.652,562.4788,352.7401,1.595,104.3563,0.565
swing_pivot,ZB.c.0,bond,pivot_anchored__mae_inflated,13813,9,1534.8,13812,0.497,12,0.9252,0.2558,3.617,0.3326,0.649,1.7002,1.0302,1.65,0.3404,0.579
swing_pivot,ZC.c.0,grain,pivot_anchored__mae_inflated,10455,9,1161.7,10455,0.495,12,8.5212,1.9576,4.353,3.4023,0.662,15.172,8.4452,1.797,3.5153,0.59
swing_pivot,ZF.c.0,bond,pivot_anchored__mae_inflated,12324,9,1369.3,12322,0.489,12,0.2631,0.0681,3.862,0.0969,0.656,0.475,0.2815,1.687,0.0994,0.586
swing_pivot,ZN.c.0,bond,pivot_anchored__mae_inflated,13777,9,1530.8,13777,0.485,12,0.4128,0.1158,3.564,0.1494,0.654,0.7633,0.4663,1.637,0.1515,0.576
