matrix,snapshot,side,label,n_filtered,n_folds_ok,gpu_mean_auc,gpu_min_auc,gpu_top_lift,gpu_base_rate,cpu_mean_auc,cpu_min_auc,cpu_top_lift,cpu_base_rate,delta_mean_auc,delta_top_lift,status,elapsed_s
forming_vp_snapshots_xctx_gapctx,at_fire,balanced,label.rest_of_day.range_expanded_1x_profile_so_far,23666,6,0.9516384251846941,0.9232934135477382,0.2721316856694702,0.7278683143305299,0.9518279362865286,0.9245470239248,0.27136363651432427,0.7278683143305299,-0.00018951110183451636,0.0007680491551459445,ok,29.3
forming_vp_snapshots_xctx_gapctx,at_fire,all,label.rest_of_day.range_expanded_1x_profile_so_far,42521,6,0.9503426358701138,0.9168109348816352,0.29554114092198397,0.7035851015772144,0.9500252850042853,0.9168085746654393,0.2955457096354343,0.7035851015772144,0.000317350865828514,-4.5687134503369364e-06,ok,38.5
forming_vp_snapshots_xctx_gapctx,at_fire,buying,label.rest_of_day.range_expanded_1x_profile_so_far,10887,6,0.9435166894549708,0.9060535529561551,0.33008504095647057,0.666938768567339,0.943039640365935,0.9046278613299381,0.33008504095647057,0.666938768567339,0.0004770490890357859,0.0,ok,19.6
forming_vp_snapshots_xctx_gapctx,at_fire,selling,label.rest_of_day.range_expanded_1x_profile_so_far,7968,6,0.9424354348843824,0.9002916514764856,0.31475067435099247,0.6832412935204935,0.9424597589362494,0.9040123522978276,0.31166935139015145,0.6832412935204935,-2.4324051867030683e-05,0.0030813229608410153,ok,15.9
forming_vp_snapshots_xctx_gapctx,at_fire,selling,label.next_60m.took_profile_so_far_high,7968,6,0.9177627964047267,0.8932011552572009,0.5199963880307544,0.1516271910875093,0.9157704336303353,0.8946842557177426,0.523966960303949,0.1516271910875093,0.0019923627743914096,-0.003970572273194528,ok,12.5
forming_vp_snapshots_xctx_gapctx,at_fire,buying,label.next_60m.took_profile_so_far_low,10884,6,0.9040569234857196,0.8710526315789473,0.5243109193490028,0.13147296122355637,0.8985377797622999,0.8774479804161568,0.5314146866774245,0.13147296122355637,0.005519143723419773,-0.007103767328421773,ok,12.6
forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_high,42511,6,0.88833804180064,0.8815532186437056,0.5500300668915924,0.24005759592879247,0.8872750221151766,0.8819790216924708,0.5421604570279993,0.24005759592879247,0.0010630196854634066,0.007869609863593086,ok,31.2
forming_vp_snapshots_xctx_gapctx,at_fire,balanced,label.next_60m.took_profile_so_far_high,23659,6,0.8823938034860803,0.8724544755065401,0.5499419993300096,0.2310090150245079,0.8826315954199465,0.8732185603146105,0.5576030098948727,0.2310090150245079,-0.0002377919338661938,-0.007661010564863013,ok,19.9
forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_low,42511,6,0.8765859976147934,0.8686469970919493,0.5358766346776609,0.19393310185708681,0.875536636454556,0.8684060572679737,0.5384772222454898,0.19393310185708681,0.0010493611602373498,-0.0026005875678288826,ok,25.7
forming_vp_snapshots_xctx_gapctx,at_fire,buying,label.next_60m.took_profile_so_far_low_rejected_inside,10884,6,0.8829094112049362,0.8473524675570712,0.2777210614337884,0.06652334792058577,0.8754018507744918,0.8504073126835275,0.24682848331427762,0.06652334792058577,0.0075075604304443155,0.030892578119510766,ok,11.6
forming_vp_snapshots_xctx_gapctx,at_fire,selling,label.next_60m.took_profile_so_far_high_rejected_inside,7968,6,0.873362321977043,0.8372098928444467,0.20021272816134258,0.07497113625002007,0.864713023010112,0.8155756436950891,0.20735022936333705,0.07497113625002007,0.008649298966931007,-0.007137501201994467,ok,9.5
forming_vp_snapshots_xctx_gapctx,at_fire,buying,label.next_60m.took_profile_so_far_high,10884,6,0.8609608651396558,0.8438896278863535,0.5106398803579175,0.32222298705421726,0.8599730067887769,0.8465668739433605,0.5061738084502259,0.32222298705421726,0.0009878583508788896,0.00446607190769166,ok,13.8
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.zone_reaction.took_fvg_high,209103,6,0.8905285337734071,0.877070114919584,0.07878613520474527,0.9207838896206156,0.8878323254906594,0.8742666083674477,0.07852924116356208,0.9207838896206156,0.0026962082827477474,0.00025689404118318937,ok,154.4
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.zone_reaction.took_fvg_low,209103,6,0.8632579571641137,0.8390077123431972,0.10592452469157887,0.8939891642433425,0.8617999823459921,0.8347625078436136,0.10532438751736761,0.8939891642433425,0.001457974818121599,0.0006001371742112571,ok,137.8
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.zone_reaction.closed_outside_fvg_range,209103,6,0.749159676169216,0.7236137762427655,0.03373438498763524,0.9620474638531279,0.7451901267574482,0.7168977537334829,0.033134359522776734,0.9620474638531279,0.003969549411767748,0.0006000254648585029,ok,130.3
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.zone_reaction.closed_inside_fvg_range,209103,6,0.749159701504372,0.723613885502642,0.08708468486797605,0.037952536146872225,0.7451901267574482,0.7168977537334829,0.08595596827742576,0.037952536146872225,0.003969574746923832,0.001128716590550291,ok,131.3
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,bearish,label.zone_reaction.closed_outside_fvg_range,95917,6,0.7471298295998406,0.7384144850956676,0.03641436877212425,0.9588545788571676,0.7439811672101474,0.7320704998209128,0.035480866473341255,0.9588545788571676,0.0031486623896932464,0.0009335022987829941,ok,71.8
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,bearish,label.zone_reaction.closed_inside_fvg_range,95917,6,0.7471299261058569,0.738414764140308,0.09067736722802545,0.04114542114283244,0.7439811672101474,0.7320704998209128,0.0939647523357413,0.04114542114283244,0.003148758895709536,-0.00328738510771584,ok,70.7
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,bearish,label.zone_reaction.took_fvg_low_rejected_inside,95917,6,0.747323494662797,0.7401851682578015,0.09107797208970796,0.041068198084027084,0.7438126409330065,0.7307007079514705,0.08957262985187626,0.041068198084027084,0.0035108537297905418,0.0015053422378316916,ok,65.2
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.mitigation.fully_filled,209103,6,0.7373410331540549,0.6967106909793456,0.12915183429233826,0.8196643275842223,0.7362136298735793,0.69464477297558,0.13011910665982876,0.8196643275842223,0.0011274032804755585,-0.0009672723674905015,ok,157.4
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.zone_reaction.took_fvg_low_rejected_inside,209103,6,0.736263968284907,0.7137450768602303,0.07249930094791025,0.03576231546676483,0.7319771158993539,0.7102468696914044,0.06852171505067282,0.03576231546676483,0.004286852385553153,0.003977585897237429,ok,130.5
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,bullish,label.zone_reaction.closed_outside_fvg_range,113186,6,0.7349515494612051,0.696332458651357,0.029685690158750888,0.9646478431359128,0.7317118840201688,0.6918159125096992,0.03062260141014596,0.9646478431359128,0.0032396654410362657,-0.0009369112513950735,ok,73.0
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,bullish,label.zone_reaction.closed_inside_fvg_range,113186,6,0.7349515658706868,0.6963325923402672,0.07524342405970373,0.035352156864087075,0.7317118840201688,0.6918159125096991,0.06995169892207032,0.035352156864087075,0.003239681850517928,0.005291725137633416,ok,72.1
