fold_test_year,feature,gain
2020,xctx.minutes_since_last_swing_side_high_24h,97.37274932861328
2020,xctx.minutes_since_last_disp_side_bullish_7d,83.86457824707031
2020,xctx.minutes_since_last_sweep_7d,75.4893798828125
2020,xctx.minutes_since_last_fvg_24h,51.32194900512695
2020,regime.last_range_pts_same_primary_london_itr,51.04938507080078
2020,regime.last_range_pts_same_primary_daily_itr,47.305389404296875
2020,xctx.minutes_since_last_eql_side_high_24h,46.472686767578125
2020,gapctx.distance_pts_ndog_unfilled_below,45.69232177734375
2020,liqgeom.n_eql_any_symbol_low_wick_taken_within_100pts,44.96192169189453
2020,ogap.ed.gap_size_pts,44.68901062011719
2020,regime.last_true_range_pts_same_primary_weekly_itr,42.721195220947266
2020,xctx.total_events_24h,41.814449310302734
2020,regime.last_range_pts_same_primary_ny_itr,38.262298583984375
2020,regime.last_range_pts_same_primary_weekly_itr,37.37565231323242
2020,liqgeom.distance_pts_eql_any_symbol_high_horizon_expired_below,36.39357376098633
2020,obgeom.range_width_pts_same_primary_bearish_invalidated_below,35.94207763671875
2020,liqgeom.age_min_any_source_same_primary_any_side_close_taken_below,35.3790283203125
2020,ogap.ed.gap_mid,34.63694763183594
2020,regime.last_range_pts_same_primary_any_itr,33.517066955566406
2020,ogap.ed.gap_low,33.49388122558594
2020,gapctx.age_days_any_unfilled_below,33.33781814575195
2020,xctx.minutes_since_last_fvg_side_bearish_7d,33.16007614135742
2020,regime.minutes_since_last_same_primary_ny_itr,33.04307174682617
2020,xctx.minutes_since_last_psp_7d,31.96217155456543
2020,xctx.minutes_since_last_eql_7d,31.88066864013672
2020,xctx.minutes_since_last_orb_side_bullish_7d,30.696706771850586
2020,obgeom.n_any_symbol_bearish_body_filled_within_50pts,29.994037628173828
2020,xctx.minutes_since_last_psp_side_bullish_7d,27.362995147705078
2020,regime.last_true_range_pts_same_primary_asia_itr,27.010732650756836
2020,liqgeom.age_min_any_source_same_primary_high_horizon_expired_above,26.604955673217773
2020,ogap.ed.previous_close_price,26.37135887145996
2020,regime.last_range_pts_same_primary_asia_itr,25.452289581298828
2020,liqgeom.spread_pts_eql_same_primary_low_close_taken_above,25.35643768310547
2020,obgeom.body_width_pts_same_primary_bearish_invalidated_inside,24.900583267211914
2020,liqgeom.distance_pts_eql_any_symbol_low_fresh_above,24.7598876953125
2020,regime.last_true_range_pts_same_primary_london_itr,24.59929656982422
2020,xctx.n_fvg_24h,24.59917449951172
2020,liqgeom.distance_pts_any_source_any_symbol_any_side_fresh_below,24.06140899658203
2020,regime.last_range_percentile_prev10_same_primary_daily_itr,23.207534790039062
2020,gapctx.size_pts_any_unfilled_below,23.170608520507812
2020,obgeom.distance_pts_same_primary_any_side_invalidated_above,22.831066131591797
2020,liqgeom.age_min_eql_any_symbol_low_fresh_above,21.61551284790039
2020,liqgeom.distance_pts_any_source_any_symbol_high_horizon_expired_below,20.99127197265625
2020,xctx.minutes_since_last_sweep_same_primary_7d,20.674392700195312
2020,liqgeom.n_any_source_any_symbol_low_fresh_within_50pts,20.657329559326172
2020,xctx.n_smt_side_low_7d,20.587356567382812
2020,regime.last_true_range_pts_same_primary_any_itr,20.581546783447266
2020,obgeom.range_width_pts_any_symbol_bullish_fresh_above,20.495525360107422
2020,liqgeom.age_min_eql_any_symbol_low_wick_taken_above,19.933074951171875
2020,liqgeom.distance_pts_swing_any_symbol_high_wick_taken_below,19.864086151123047
2020,regime.last_true_range_pts_same_primary_daily_itr,19.684629440307617
2020,obgeom.age_min_same_primary_bearish_invalidated_below,19.582801818847656
2020,gapctx.distance_pts_any_unfilled_below,19.520341873168945
2020,regime.last_range_pts_any_symbol_any_itr,19.14714241027832
2020,liqgeom.spread_pts_eql_any_symbol_any_side_horizon_expired_above,18.944019317626953
2020,regime.last_range_percentile_prev10_any_symbol_daily_itr,18.514131546020508
2020,regime.last_range_percentile_prev10_any_symbol_asia_itr,18.05848503112793
2020,liqgeom.age_min_any_source_same_primary_high_wick_taken_above,17.851675033569336
2020,gapctx.age_days_ndog_unfilled_below,17.72191619873047
2020,liqgeom.age_min_eql_any_symbol_low_close_taken_above,17.5580997467041
2020,liqgeom.age_min_swing_same_primary_high_close_taken_below,17.51963233947754
2020,xctx.minutes_since_last_smt_7d,17.318817138671875
2020,obgeom.distance_pts_any_symbol_bearish_body_filled_below,17.238351821899414
2020,gapctx.distance_pts_ndog_filled_below,17.055702209472656
2020,liqgeom.distance_pts_eql_any_symbol_any_side_wick_taken_above,17.014419555664062
2020,xctx.minutes_since_last_swing_side_low_24h,16.991003036499023
2020,obgeom.range_width_pts_any_symbol_bearish_invalidated_inside,16.740358352661133
2020,liqgeom.distance_pts_any_source_any_symbol_low_close_taken_below,16.633607864379883
2020,liqgeom.age_min_swing_same_primary_any_side_wick_taken_above,16.556697845458984
2020,obgeom.age_min_any_symbol_any_side_invalidated_inside,16.54690170288086
2020,liqgeom.distance_pts_eql_same_primary_high_close_taken_below,16.52236557006836
2020,xctx.minutes_since_last_sweep_side_high_7d,16.494579315185547
2020,xctx.n_macro_side_medium_7d,16.440223693847656
2020,liqgeom.distance_pts_eql_any_symbol_any_side_wick_taken_below,16.40846824645996
2020,xctx.minutes_since_last_ob_side_bullish_7d,16.320209503173828
2020,liqgeom.distance_pts_eql_same_primary_high_close_taken_above,16.255779266357422
