fold_test_year,feature,gain
2020,sweep.day_of_week,252.62548828125
2020,xctx.minutes_since_last_orb_7d,250.40316772460938
2020,regime.minutes_since_last_same_primary_weekly_itr,128.76271057128906
2020,sweep.ctx.scope_period_label_session_ny,122.7706298828125
2020,xctx.minutes_since_last_itr_24h,102.53631591796875
2020,sweep.ctx.day_of_week_et,81.44042205810547
2020,sweep.ed.swept_reference.prior_period_label_session_ny,75.26736450195312
2020,xctx.minutes_since_last_orb_24h,64.37874603271484
2020,sweep.ctx.scope_period_label_globex_day,61.281288146972656
2020,sweep.ctx.tracking_timeframe_1h,51.64876937866211
2020,sweep.hour_of_day_utc,49.23265075683594
2020,sweep.ed.tracking_timeframe_1h,49.019351959228516
2020,regime.minutes_since_last_any_symbol_ny_itr,45.94859313964844
2020,liqgeom.age_min_swing_any_symbol_low_fresh_below,43.15409851074219
2020,sweep.ed.swept_reference.prior_period_label_globex_day,42.23446273803711
2020,xctx.minutes_since_last_ogap_side_gap_down_7d,37.620521545410156
2020,liqgeom.n_eql_same_primary_low_close_taken_within_50pts,35.74821090698242
2020,xctx.minutes_since_last_disp_same_primary_7d,34.99924850463867
2020,liqgeom.distance_pts_swing_same_primary_high_fresh_below,34.846649169921875
2020,xctx.minutes_since_last_macro_side_medium_7d,33.744384765625
2020,obgeom.age_min_any_symbol_any_side_body_filled_inside,33.4810791015625
2020,regime.last_range_percentile_prev10_any_symbol_daily_itr,33.083683013916016
2020,liqgeom.age_min_eql_same_primary_any_side_wick_taken_below,32.793453216552734
2020,fvggeom.age_min_same_primary_bullish_untouched_below,32.58201599121094
2020,obgeom.age_min_same_primary_any_side_body_filled_inside,32.521080017089844
2020,sweep.event_type_ny_high_1h,32.465999603271484
2020,regime.n_expansion_7d_any_symbol_any_itr,31.572935104370117
2020,liqgeom.age_min_eql_any_symbol_low_fresh_below,31.279932022094727
2020,xctx.minutes_since_last_ogap_side_gap_up_24h,31.10057258605957
2020,obgeom.distance_pts_same_primary_bearish_body_filled_above,30.112258911132812
2020,xctx.minutes_since_last_vp_side_selling_7d,29.652435302734375
2020,xctx.minutes_since_last_psp_side_bearish_24h,29.63312339782715
2020,xctx.n_swing_side_low_24h,29.60775375366211
2020,liqgeom.age_min_any_source_same_primary_any_side_close_taken_below,29.050498962402344
2020,fvggeom.age_min_any_symbol_any_side_fully_filled_above,28.825233459472656
2020,xctx.n_psp_side_bearish_24h,28.68210220336914
2020,obgeom.range_width_pts_any_symbol_bearish_invalidated_above,28.62946891784668
2020,liqgeom.spread_pts_eql_same_primary_any_side_wick_taken_below,28.483089447021484
2020,fvggeom.width_pts_same_primary_any_side_fully_filled_above,28.381240844726562
2020,regime.last_range_percentile_prev10_same_primary_daily_itr,27.910816192626953
2020,liqgeom.age_min_eql_same_primary_low_wick_taken_below,27.593168258666992
2020,fvggeom.width_pts_any_symbol_any_side_mid_filled_below,26.8410701751709
2020,xctx.n_itr_side_bullish_7d,26.819204330444336
2020,fvggeom.age_min_any_symbol_bullish_fully_filled_above,26.803653717041016
2020,regime.last_close_location_any_symbol_london_itr,26.783273696899414
2020,obgeom.age_min_same_primary_bearish_body_filled_below,26.687530517578125
2020,xctx.n_swing_7d,26.455677032470703
2020,xctx.total_events_1h,26.260639190673828
2020,fvggeom.age_min_any_symbol_bearish_untouched_below,26.109867095947266
2020,sweep.ed.ref_type_pdh,25.93642807006836
