fold_test_year,feature,gain
2020,regime.last_direction_bullish_same_primary_daily_itr,99.20872497558594
2020,regime.last_true_range_pts_same_primary_daily_itr,82.6208267211914
2020,sweep.ed.sweep_depth_pts,68.89933776855469
2020,regime.last_direction_bearish_same_primary_daily_itr,63.68567657470703
2020,xctx.minutes_since_last_itr_side_bearish_7d,52.0777702331543
2020,regime.last_close_location_same_primary_daily_itr,50.71937561035156
2020,obgeom.n_any_symbol_any_side_body_filled_within_100pts,46.497772216796875
2020,xctx.minutes_since_last_ogap_same_primary_4h,46.324317932128906
2020,fvggeom.width_pts_any_symbol_bullish_mid_filled_above,45.20721435546875
2020,regime.last_range_pts_same_primary_ny_itr,43.678836822509766
2020,xctx.n_itr_side_bearish_24h,40.91282653808594
2020,regime.last_range_pts_same_primary_weekly_itr,40.818458557128906
2020,regime.last_range_pts_same_primary_daily_itr,40.67765808105469
2020,xctx.minutes_since_last_ogap_24h,40.32044219970703
2020,liqgeom.distance_pts_eql_any_symbol_low_wick_taken_above,37.67852783203125
2020,sweep.ed.mode_pwh_daily,37.28373336791992
2020,xctx.minutes_since_last_fvp_same_primary_7d,36.11847686767578
2020,regime.last_true_range_pts_same_primary_weekly_itr,33.933006286621094
2020,liqgeom.age_min_any_source_any_symbol_low_wick_taken_above,33.73674392700195
2020,xctx.minutes_since_last_tp_7d,32.985870361328125
2020,obgeom.range_width_pts_any_symbol_bearish_body_filled_above,32.9199104309082
2020,obgeom.age_min_any_symbol_bearish_invalidated_above,32.90805435180664
2020,regime.last_range_pts_same_primary_asia_itr,31.708547592163086
2020,xctx.minutes_since_last_ogap_7d,31.705448150634766
2020,liqgeom.n_swing_any_symbol_low_fresh_within_100pts,30.63874626159668
2020,liqgeom.age_min_swing_any_symbol_low_fresh_above,30.554668426513672
2020,liqgeom.n_eql_same_primary_low_close_taken_within_25pts,30.446548461914062
2020,fvggeom.distance_pts_any_symbol_bullish_untouched_above,30.11859893798828
2020,xctx.minutes_since_last_orb_4h,29.760021209716797
2020,liqgeom.age_min_eql_same_primary_any_side_fresh_above,29.195432662963867
2020,xctx.n_eql_side_high_24h,28.903770446777344
2020,liqgeom.n_any_source_any_symbol_any_side_close_taken_within_100pts,28.86817169189453
2020,sweep.event_type_pwh_daily,28.644012451171875
2020,sweep.ed.ref_type_pwh,27.713224411010742
2020,obgeom.range_width_pts_same_primary_any_side_fresh_inside,27.635656356811523
2020,fvggeom.age_min_same_primary_any_side_untouched_above,27.626340866088867
2020,fvggeom.age_min_any_symbol_bearish_closed_through_above,27.430885314941406
2020,xctx.n_disp_side_bullish_24h,27.391098022460938
2020,fvggeom.age_min_same_primary_any_side_untouched_below,26.262664794921875
2020,xctx.minutes_since_last_itr_4h,26.107521057128906
2020,obgeom.age_min_same_primary_any_side_body_touched_below,25.930980682373047
2020,fvggeom.age_min_same_primary_bearish_closed_through_above,25.830629348754883
2020,xctx.has_ogap_4h,25.789562225341797
2020,liqgeom.age_min_any_source_any_symbol_low_fresh_above,25.748350143432617
2020,fvggeom.distance_pts_any_symbol_bullish_fully_filled_above,25.379955291748047
2020,obgeom.body_width_pts_same_primary_any_side_fresh_inside,25.284759521484375
2020,xctx.minutes_since_last_vp_side_balanced_4h,24.808801651000977
2020,obgeom.distance_pts_same_primary_bullish_invalidated_above,24.75911521911621
2020,fvggeom.distance_pts_any_symbol_bullish_mid_filled_above,24.40023422241211
2020,liqgeom.n_any_source_same_primary_high_fresh_within_100pts,24.348373413085938
2020,xctx.minutes_since_last_orb_24h,23.936168670654297
2020,liqgeom.age_min_any_source_same_primary_high_close_taken_above,23.73874282836914
2020,liqgeom.n_members_eql_same_primary_high_close_taken_below,23.505163192749023
2020,obgeom.age_min_same_primary_any_side_fresh_above,23.48607063293457
2020,liqgeom.age_min_eql_same_primary_high_wick_taken_below,23.442344665527344
2020,fvggeom.distance_pts_same_primary_any_side_untouched_below,23.373186111450195
2020,liqgeom.age_min_any_source_same_primary_high_fresh_above,23.33885955810547
2020,liqgeom.distance_pts_eql_any_symbol_any_side_horizon_expired_below,23.2793025970459
2020,liqgeom.distance_pts_any_source_same_primary_high_fresh_above,23.17146873474121
2020,sweep.hour_of_day_utc,23.125097274780273
2020,liqgeom.age_min_any_source_same_primary_high_horizon_expired_below,23.10033416748047
