fold_test_year,feature,gain
2020,fvggeom.n_any_symbol_bullish_closed_through_within_10pts,137.27801513671875
2020,regime.last_close_location_same_primary_daily_itr,113.14102935791016
2020,liqgeom.distance_pts_eql_same_primary_high_fresh_above,99.9241714477539
2020,sweep.ed.sweep_depth_pts,79.61963653564453
2020,xctx.minutes_since_last_itr_4h,70.44791412353516
2020,liqgeom.distance_pts_eql_any_symbol_high_fresh_below,58.63089370727539
2020,sweep.ed.manipulation_candle.low,57.97705841064453
2020,liqgeom.distance_pts_eql_any_symbol_low_fresh_above,54.3462028503418
2020,liqgeom.n_eql_any_symbol_any_side_close_taken_within_50pts,53.100372314453125
2020,liqgeom.distance_pts_eql_same_primary_any_side_fresh_above,49.992088317871094
2020,liqgeom.n_any_source_any_symbol_low_fresh_within_100pts,48.12471389770508
2020,fvggeom.n_any_symbol_bullish_untouched_within_50pts,45.02939987182617
2020,liqgeom.n_swing_same_primary_low_horizon_expired_within_100pts,43.25693893432617
2020,fvggeom.n_same_primary_bullish_untouched_within_50pts,40.86249923706055
2020,regime.last_is_compression_same_primary_daily_itr,40.698486328125
2020,fvggeom.distance_pts_same_primary_any_side_untouched_above,38.622314453125
2020,liqgeom.n_any_source_any_symbol_low_wick_taken_within_100pts,38.34276580810547
2020,liqgeom.n_any_source_any_symbol_low_horizon_expired_within_100pts,37.762168884277344
2020,fvggeom.distance_pts_any_symbol_bullish_untouched_below,37.540863037109375
2020,liqgeom.spread_pts_eql_same_primary_high_fresh_above,37.3160400390625
2020,xctx.n_fvg_side_bearish_24h,37.11343765258789
2020,regime.minutes_since_last_any_symbol_any_itr,36.99397659301758
2020,regime.last_range_percentile_prev10_same_primary_daily_itr,36.0926513671875
2020,obgeom.body_width_pts_same_primary_bearish_fresh_above,36.04375457763672
2020,xctx.minutes_since_last_itr_side_bullish_24h,35.6585578918457
2020,fvggeom.width_pts_same_primary_bullish_closed_through_above,35.19384765625
2020,fvggeom.age_min_same_primary_bullish_untouched_below,35.013370513916016
2020,fvggeom.width_pts_any_symbol_bullish_tapped_above,34.02400588989258
2020,liqgeom.n_any_source_same_primary_any_side_horizon_expired_within_100pts,33.8676643371582
2020,sweep.ed.tracking_timeframe_1h,33.34933090209961
2020,sweep.hour_of_day_utc,32.27579879760742
2020,obgeom.n_same_primary_bullish_body_filled_within_25pts,32.12582015991211
2020,liqgeom.n_eql_any_symbol_low_fresh_within_100pts,32.05720520019531
2020,liqgeom.distance_pts_eql_any_symbol_low_horizon_expired_below,31.662742614746094
2020,fvggeom.age_min_same_primary_bullish_closed_through_inside,31.194244384765625
2020,liqgeom.distance_pts_eql_any_symbol_low_horizon_expired_above,30.991165161132812
2020,sweep.ctx.tracking_timeframe_1h,30.914541244506836
2020,liqgeom.n_eql_any_symbol_high_close_taken_within_100pts,30.708431243896484
2020,xctx.n_disp_side_bullish_24h,30.66196060180664
2020,fvggeom.age_min_same_primary_any_side_untouched_above,30.03107452392578
2020,liqgeom.n_any_source_same_primary_low_fresh_within_100pts,29.9902400970459
2020,fvggeom.width_pts_same_primary_bearish_closed_through_above,29.758920669555664
2020,fvggeom.distance_pts_same_primary_bearish_untouched_above,29.415456771850586
2020,liqgeom.distance_pts_eql_any_symbol_any_side_fresh_above,29.32820701599121
2020,obgeom.range_width_pts_any_symbol_any_side_entry_tapped_below,29.213151931762695
2020,liqgeom.n_any_source_any_symbol_low_horizon_expired_within_50pts,29.177719116210938
2020,regime.last_range_pts_same_primary_ny_itr,29.176025390625
2020,xctx.n_itr_side_bullish_4h,28.89859962463379
2020,obgeom.n_same_primary_bullish_body_touched_within_50pts,28.826004028320312
2020,obgeom.age_min_any_symbol_bearish_fresh_above,28.47283363342285
2020,liqgeom.age_min_swing_any_symbol_high_fresh_above,28.212129592895508
2020,liqgeom.n_any_source_same_primary_low_close_taken_within_100pts,28.133195877075195
2020,obgeom.range_width_pts_any_symbol_bearish_body_touched_above,27.940231323242188
2020,xctx.minutes_since_last_itr_24h,27.934864044189453
2020,liqgeom.n_eql_same_primary_low_horizon_expired_within_100pts,27.917043685913086
2020,liqgeom.n_any_source_same_primary_low_horizon_expired_within_100pts,27.914962768554688
2020,fvggeom.width_pts_same_primary_bearish_mid_filled_inside,27.764694213867188
2020,xctx.minutes_since_last_fvp_24h,27.57494354248047
2020,liqgeom.age_min_eql_any_symbol_any_side_fresh_below,27.173511505126953
2020,sweep.ctx.hour_of_day_et,26.810302734375
2020,liqgeom.n_eql_same_primary_high_close_taken_within_100pts,26.79163932800293
2020,liqgeom.age_min_swing_same_primary_high_wick_taken_above,26.40034294128418
2020,liqgeom.distance_pts_eql_same_primary_low_fresh_below,26.167150497436523
2020,liqgeom.n_eql_any_symbol_high_close_taken_within_10pts,26.139053344726562
2020,xctx.minutes_since_last_swing_side_low_7d,26.115345001220703
2020,obgeom.n_same_primary_bearish_invalidated_within_50pts,26.094568252563477
2020,obgeom.age_min_same_primary_any_side_body_filled_above,25.950481414794922
2020,regime.n_compression_7d_any_symbol_daily_itr,25.948543548583984
2020,fvggeom.n_any_symbol_bearish_untouched_within_50pts,25.923187255859375
2020,regime.last_range_pts_same_primary_london_itr,25.769378662109375
2020,liqgeom.distance_pts_eql_any_symbol_any_side_close_taken_below,25.72396469116211
2020,fvggeom.distance_pts_any_symbol_bearish_untouched_below,25.6678466796875
2020,fvggeom.age_min_any_symbol_bearish_mid_filled_above,25.60321617126465
2020,regime.last_true_range_pts_same_primary_weekly_itr,25.50492286682129
2020,obgeom.age_min_any_symbol_any_side_entry_tapped_above,25.40357208251953
2020,liqgeom.distance_pts_swing_any_symbol_any_side_close_taken_below,25.31498908996582
2020,liqgeom.n_members_eql_any_symbol_high_horizon_expired_above,25.310176849365234
2020,liqgeom.distance_pts_swing_same_primary_any_side_horizon_expired_above,25.15546989440918
2020,liqgeom.distance_pts_swing_same_primary_high_wick_taken_above,25.137868881225586
2020,regime.n_compression_7d_any_symbol_london_itr,25.120206832885742
2020,sweep.ed.swept_reference.type_pwh,25.07977294921875
2020,liqgeom.n_swing_same_primary_high_horizon_expired_within_50pts,24.92288589477539
2020,obgeom.range_width_pts_same_primary_bullish_body_filled_below,24.89870262145996
2020,fvggeom.distance_pts_any_symbol_bearish_untouched_above,24.81925392150879
2020,xctx.minutes_since_last_psp_side_bullish_4h,24.736141204833984
2020,liqgeom.n_members_eql_same_primary_any_side_wick_taken_above,24.67978858947754
2020,liqgeom.age_min_eql_any_symbol_high_fresh_below,24.567384719848633
2020,regime.last_range_pts_same_primary_weekly_itr,24.54805564880371
2020,liqgeom.distance_pts_eql_any_symbol_low_fresh_below,24.53335952758789
2020,xctx.minutes_since_last_ogap_side_gap_down_1h,24.477659225463867
2020,liqgeom.n_eql_same_primary_low_close_taken_within_50pts,24.41846466064453
2020,liqgeom.n_eql_same_primary_low_fresh_within_100pts,24.40435028076172
2020,obgeom.body_width_pts_same_primary_any_side_invalidated_above,24.158851623535156
2020,liqgeom.n_members_eql_any_symbol_high_close_taken_below,24.115583419799805
2020,xctx.n_disp_24h,24.021482467651367
2020,liqgeom.n_members_eql_any_symbol_low_fresh_above,23.945005416870117
2020,liqgeom.age_min_eql_same_primary_low_horizon_expired_above,23.907657623291016
2020,liqgeom.distance_pts_eql_same_primary_high_horizon_expired_above,23.74973487854004
2020,fvggeom.width_pts_same_primary_any_side_mid_filled_above,23.644302368164062
2020,liqgeom.n_swing_same_primary_low_wick_taken_within_100pts,23.63808822631836
2020,ts.year,23.581745147705078
2020,regime.n_compression_7d_same_primary_any_itr,23.58094024658203
2020,obgeom.distance_pts_same_primary_bullish_body_filled_below,23.528921127319336
2020,regime.n_expansion_7d_same_primary_any_itr,23.524147033691406
2020,obgeom.range_width_pts_same_primary_any_side_invalidated_inside,23.483043670654297
2020,liqgeom.n_members_eql_same_primary_any_side_wick_taken_below,23.29470443725586
2020,liqgeom.age_min_any_source_same_primary_any_side_wick_taken_above,23.280170440673828
2020,fvggeom.distance_pts_same_primary_any_side_untouched_below,23.249929428100586
2020,obgeom.age_min_any_symbol_bearish_body_filled_inside,23.199832916259766
2020,obgeom.age_min_any_symbol_bullish_entry_tapped_above,23.10541534423828
2020,obgeom.age_min_any_symbol_bullish_entry_tapped_below,23.0306396484375
2020,liqgeom.n_swing_same_primary_low_close_taken_within_100pts,23.016199111938477
2020,liqgeom.age_min_eql_same_primary_any_side_fresh_below,22.756807327270508
2020,xctx.minutes_since_last_vp_side_balanced_7d,22.705326080322266
2020,obgeom.n_any_symbol_bearish_invalidated_within_50pts,22.6871395111084
2020,liqgeom.n_any_source_same_primary_low_horizon_expired_within_25pts,22.683406829833984
2020,xctx.minutes_since_last_smt_24h,22.486040115356445
2020,xctx.minutes_since_last_fvp_4h,22.458755493164062
2020,liqgeom.distance_pts_any_source_same_primary_high_fresh_above,22.270994186401367
2020,liqgeom.n_members_eql_same_primary_high_horizon_expired_above,22.239532470703125
2020,regime.last_true_range_pts_same_primary_ny_itr,22.224559783935547
2020,regime.minutes_since_last_any_symbol_ny_itr,22.133255004882812
2020,liqgeom.distance_pts_eql_any_symbol_high_horizon_expired_below,22.117708206176758
2020,xctx.n_ogap_side_gap_down_24h,21.77692413330078
2020,liqgeom.age_min_swing_same_primary_any_side_close_taken_above,21.767562866210938
2020,regime.minutes_since_last_same_primary_asia_itr,21.764854431152344
2020,liqgeom.distance_pts_eql_any_symbol_any_side_horizon_expired_below,21.70248031616211
2020,obgeom.body_width_pts_any_symbol_any_side_body_touched_above,21.62742805480957
2020,regime.last_true_range_pts_any_symbol_any_itr,21.515480041503906
2020,liqgeom.n_members_eql_any_symbol_any_side_wick_taken_below,21.482481002807617
2020,xctx.minutes_since_last_disp_24h,21.481372833251953
2020,liqgeom.n_any_source_any_symbol_any_side_close_taken_within_100pts,21.459318161010742
2020,liqgeom.distance_pts_eql_same_primary_any_side_fresh_below,21.323686599731445
2020,liqgeom.age_min_eql_same_primary_high_wick_taken_below,21.2834529876709
2020,liqgeom.n_any_source_same_primary_any_side_close_taken_within_25pts,21.277578353881836
2020,liqgeom.age_min_eql_any_symbol_high_wick_taken_above,21.22744369506836
2020,liqgeom.age_min_eql_same_primary_high_horizon_expired_below,21.204395294189453
2020,obgeom.distance_pts_any_symbol_any_side_entry_tapped_below,21.13814353942871
2020,obgeom.range_width_pts_any_symbol_bearish_fresh_above,21.09313201904297
2020,xctx.n_vp_side_buying_24h,21.014984130859375
2020,liqgeom.n_members_eql_any_symbol_low_horizon_expired_above,21.012319564819336
2020,xctx.minutes_since_last_ogap_side_gap_down_7d,20.88587188720703
2020,fvggeom.width_pts_same_primary_bullish_fully_filled_above,20.810382843017578
2020,liqgeom.n_eql_any_symbol_high_fresh_within_100pts,20.732648849487305
2020,liqgeom.age_min_eql_same_primary_low_fresh_below,20.69086265563965
2020,liqgeom.age_min_swing_any_symbol_low_fresh_above,20.658010482788086
2020,obgeom.distance_pts_any_symbol_bullish_body_touched_above,20.64543914794922
2020,liqgeom.n_eql_any_symbol_any_side_fresh_within_25pts,20.61888885498047
2020,liqgeom.n_any_source_any_symbol_any_side_close_taken_within_10pts,20.587440490722656
2020,obgeom.distance_pts_same_primary_any_side_body_filled_above,20.560285568237305
2020,regime.last_true_range_pts_any_symbol_ny_itr,20.557594299316406
2020,xctx.minutes_since_last_macro_side_high_24h,20.51004981994629
2020,liqgeom.distance_pts_any_source_any_symbol_high_wick_taken_below,20.50402069091797
2020,fvggeom.age_min_any_symbol_bullish_untouched_below,20.492345809936523
2020,xctx.has_orb_side_doji_7d,20.480037689208984
2020,xctx.minutes_since_last_tp_side_bearish_7d,20.446802139282227
2020,obgeom.distance_pts_any_symbol_any_side_entry_tapped_above,20.435834884643555
2020,liqgeom.distance_pts_swing_same_primary_any_side_close_taken_above,20.356300354003906
2020,regime.last_range_percentile_prev10_any_symbol_weekly_itr,20.305526733398438
2020,sweep.year,20.28333282470703
2020,regime.n_expansion_7d_any_symbol_any_itr,20.25037384033203
2020,liqgeom.age_min_swing_same_primary_any_side_close_taken_below,20.223365783691406
2020,liqgeom.n_swing_same_primary_high_wick_taken_within_50pts,20.184547424316406
2020,regime.last_range_percentile_prev10_same_primary_ny_itr,20.163270950317383
2020,liqgeom.n_eql_any_symbol_any_side_close_taken_within_25pts,20.08745574951172
2020,sweep.ed.swept_reference.level_price,20.056747436523438
2020,liqgeom.n_any_source_any_symbol_low_wick_taken_within_50pts,20.027149200439453
2020,fvggeom.age_min_any_symbol_bullish_closed_through_inside,20.02486801147461
2020,xctx.n_vp_side_buying_7d,19.972091674804688
2020,regime.n_expansion_7d_any_symbol_asia_itr,19.965429306030273
2020,liqgeom.n_eql_same_primary_high_fresh_within_100pts,19.956430435180664
2020,xctx.n_ob_4h,19.94072723388672
2020,xctx.n_fvg_side_bullish_7d,19.93107795715332
2020,obgeom.age_min_any_symbol_bearish_body_touched_above,19.930519104003906
2020,obgeom.age_min_same_primary_bullish_fresh_below,19.90380859375
2020,liqgeom.spread_pts_eql_any_symbol_low_wick_taken_above,19.852895736694336
2020,xctx.n_ft_side_bearish_7d,19.780927658081055
2020,liqgeom.distance_pts_swing_same_primary_any_side_wick_taken_above,19.771360397338867
2020,obgeom.body_width_pts_any_symbol_any_side_entry_tapped_below,19.75998306274414
2020,obgeom.age_min_same_primary_bullish_body_filled_above,19.759613037109375
2020,obgeom.distance_pts_any_symbol_any_side_body_touched_above,19.757539749145508
2020,liqgeom.age_min_swing_same_primary_high_close_taken_above,19.651124954223633
2020,obgeom.n_any_symbol_bearish_body_touched_within_25pts,19.508424758911133
2020,liqgeom.age_min_any_source_any_symbol_high_wick_taken_above,19.476837158203125
2020,xctx.minutes_since_last_fvp_side_balanced_24h,19.462182998657227
2020,xctx.n_tp_side_bearish_7d,19.451234817504883
2020,regime.n_expansion_7d_any_symbol_daily_itr,19.43374252319336
2020,obgeom.age_min_any_symbol_bullish_fresh_below,19.429676055908203
2020,obgeom.range_width_pts_any_symbol_bullish_body_filled_above,19.388591766357422
2020,xctx.minutes_since_last_orb_side_bullish_7d,19.363971710205078
2020,xctx.minutes_since_last_macro_7d,19.300413131713867
2020,liqgeom.n_members_eql_same_primary_high_horizon_expired_below,19.246549606323242
2020,liqgeom.distance_pts_eql_same_primary_low_horizon_expired_below,19.19990348815918
2020,xctx.minutes_since_last_psp_side_bullish_7d,19.17902946472168
2020,xctx.active_concepts_24h,19.173341751098633
2020,fvggeom.age_min_any_symbol_bullish_untouched_above,19.17145538330078
2020,xctx.minutes_since_last_ob_24h,19.155197143554688
2020,liqgeom.age_min_eql_any_symbol_any_side_fresh_above,19.121234893798828
2020,regime.last_close_location_any_symbol_daily_itr,19.06850242614746
2020,xctx.n_tp_side_bullish_7d,19.055233001708984
2020,xctx.n_psp_7d,19.031816482543945
2020,fvggeom.width_pts_same_primary_bullish_mid_filled_below,19.02338409423828
2020,regime.last_close_location_same_primary_weekly_itr,19.021093368530273
2020,liqgeom.age_min_any_source_same_primary_low_close_taken_above,19.000370025634766
2020,regime.last_true_range_pts_same_primary_daily_itr,18.97428321838379
2020,obgeom.age_min_same_primary_bullish_body_filled_inside,18.960386276245117
2020,liqgeom.n_members_eql_any_symbol_low_wick_taken_below,18.95543670654297
2020,obgeom.body_width_pts_same_primary_bullish_body_filled_above,18.93020248413086
2020,liqgeom.spread_pts_any_source_same_primary_high_horizon_expired_below,18.912248611450195
2020,regime.minutes_since_last_any_symbol_asia_itr,18.87034797668457
2020,fvggeom.distance_pts_any_symbol_any_side_untouched_above,18.866043090820312
2020,xctx.minutes_since_last_ft_side_doji_7d,18.85249137878418
2020,sweep.month,18.844120025634766
2020,liqgeom.age_min_swing_any_symbol_high_wick_taken_above,18.843233108520508
2020,regime.last_is_expansion_any_symbol_daily_itr,18.834861755371094
