fold_test_year,feature,gain
2020,sweep.ed.swept_reference.prior_period_label_globex_day,190.95999145507812
2020,xctx.minutes_since_last_ogap_24h,119.81478881835938
2020,xd.has_fvp_in_24h,117.31903076171875
2020,sweep.day_of_week,114.54473876953125
2020,ts.day_of_week,99.24169158935547
2020,regime.minutes_since_last_same_primary_weekly_itr,69.42853546142578
2020,sweep.event_type_ny_high_1h,66.16357421875
2020,sweep.ed.mode_ny_high_1h,60.583984375
2020,sweep.ed.ref_type_prev_ny_high,46.92015838623047
2020,sweep.ctx.day_of_week_et,44.28037643432617
2020,sweep.hour_of_day_utc,40.30746841430664
2020,sweep.ed.ref_type_pdh,37.67255783081055
2020,xctx.minutes_since_last_orb_side_doji_7d,32.17424392700195
2020,xctx.n_eql_side_low_24h,31.52359962463379
2020,xctx.n_fvg_side_bullish_4h,31.05936050415039
2020,regime.minutes_since_last_any_symbol_ny_itr,30.206390380859375
2020,regime.minutes_since_last_any_symbol_weekly_itr,28.632932662963867
2020,xctx.total_events_24h,27.861223220825195
2020,sweep.ed.swept_reference.type_pdh,27.414247512817383
2020,sweep.ed.tracking_timeframe_1h,26.804792404174805
2020,fvggeom.width_pts_any_symbol_bullish_tapped_below,26.297405242919922
2020,sweep.ctx.tracking_timeframe_1h,25.302928924560547
2020,liqgeom.age_min_swing_same_primary_any_side_wick_taken_above,24.801971435546875
2020,xctx.n_macro_side_high_7d,24.51470375061035
2020,liqgeom.spread_pts_any_source_same_primary_any_side_close_taken_below,23.776473999023438
2020,xctx.minutes_since_last_psp_side_bullish_24h,23.64108657836914
2020,xctx.n_eql_side_low_7d,23.264686584472656
2020,fvggeom.age_min_any_symbol_any_side_fully_filled_above,22.201143264770508
2020,xctx.minutes_since_last_macro_side_medium_24h,22.062297821044922
2020,fvggeom.age_min_any_symbol_bullish_untouched_below,21.97894287109375
2020,xctx.minutes_since_last_ogap_side_gap_up_24h,21.85985565185547
2020,xctx.minutes_since_last_ogap_same_primary_7d,21.776962280273438
2020,fvggeom.width_pts_any_symbol_any_side_closed_through_above,21.517467498779297
2020,liqgeom.n_members_any_source_same_primary_high_horizon_expired_above,21.342832565307617
2020,xctx.minutes_since_last_tp_24h,21.252111434936523
2020,obgeom.age_min_any_symbol_any_side_invalidated_below,21.079456329345703
2020,liqgeom.age_min_any_source_same_primary_any_side_wick_taken_above,20.75556755065918
2020,liqgeom.age_min_eql_same_primary_any_side_close_taken_below,20.38566780090332
2020,sweep.event_type_asia_high_1h,20.180795669555664
2020,liqgeom.n_members_any_source_same_primary_any_side_close_taken_below,20.115489959716797
2020,xctx.minutes_since_last_ob_side_bearish_7d,20.00897216796875
2020,regime.last_close_location_same_primary_any_itr,19.99162483215332
2020,xctx.minutes_since_last_disp_same_primary_24h,19.946149826049805
2020,liqgeom.age_min_any_source_same_primary_any_side_close_taken_below,19.902048110961914
2020,obgeom.age_min_same_primary_any_side_invalidated_below,19.784013748168945
2020,liqgeom.age_min_swing_same_primary_high_close_taken_above,19.77566146850586
2020,liqgeom.age_min_any_source_any_symbol_high_horizon_expired_below,19.530542373657227
2020,xctx.minutes_since_last_macro_side_medium_7d,19.366268157958984
2020,xctx.n_ogap_side_gap_up_7d,19.29417610168457
2020,fvggeom.width_pts_any_symbol_bearish_closed_through_above,19.210792541503906
2020,liqgeom.spread_pts_any_source_same_primary_any_side_close_taken_above,19.208669662475586
2020,regime.n_expansion_7d_any_symbol_daily_itr,19.19390296936035
2020,fvggeom.age_min_same_primary_bearish_fully_filled_below,19.03325653076172
2020,xctx.minutes_since_last_psp_side_bearish_24h,18.764694213867188
2020,xctx.n_psp_7d,18.633804321289062
2020,obgeom.distance_pts_any_symbol_bullish_invalidated_below,18.26572036743164
2020,liqgeom.distance_pts_eql_any_symbol_high_close_taken_above,18.159175872802734
2020,xctx.minutes_since_last_itr_24h,18.134366989135742
2020,xctx.n_tp_side_bullish_24h,18.12598991394043
2020,liqgeom.age_min_eql_same_primary_low_close_taken_above,18.019371032714844
2020,sweep.event_type_pdh_4h,17.971515655517578
2020,liqgeom.age_min_swing_any_symbol_any_side_horizon_expired_below,17.92621612548828
2020,liqgeom.age_min_swing_any_symbol_high_fresh_below,17.82406997680664
2020,fvggeom.distance_pts_any_symbol_any_side_mid_filled_below,17.693218231201172
2020,obgeom.body_width_pts_any_symbol_bullish_body_filled_above,17.684757232666016
2020,liqgeom.distance_pts_swing_any_symbol_low_close_taken_above,17.593204498291016
2020,xctx.n_swing_24h,17.523082733154297
2020,xctx.n_macro_side_high_24h,17.340913772583008
2020,xctx.n_eql_7d,17.335521697998047
2020,xctx.n_itr_side_bearish_7d,17.198354721069336
2020,fvggeom.age_min_same_primary_any_side_fully_filled_above,17.153545379638672
2020,fvggeom.width_pts_same_primary_any_side_tapped_below,17.150794982910156
2020,liqgeom.age_min_any_source_same_primary_low_horizon_expired_below,17.06707191467285
2020,sweep.ctx.hour_of_day_et,17.006677627563477
2020,sweep.month,16.971012115478516
2020,liqgeom.age_min_swing_same_primary_low_horizon_expired_below,16.61931800842285
2020,liqgeom.age_min_eql_any_symbol_low_close_taken_above,16.607091903686523
2020,xctx.n_psp_24h,16.429828643798828
2020,xctx.minutes_since_last_tp_side_bearish_7d,16.208765029907227
2020,obgeom.age_min_any_symbol_bullish_fresh_below,16.183372497558594
2020,obgeom.range_width_pts_any_symbol_bullish_body_touched_below,15.959245681762695
2020,regime.last_range_percentile_prev10_any_symbol_ny_itr,15.885221481323242
2020,liqgeom.age_min_swing_any_symbol_low_wick_taken_above,15.779693603515625
2020,xctx.minutes_since_last_smt_7d,15.746352195739746
2020,xctx.n_swing_7d,15.645899772644043
2020,regime.last_close_location_same_primary_asia_itr,15.616479873657227
2020,liqgeom.age_min_eql_same_primary_any_side_fresh_below,15.568256378173828
2020,liqgeom.age_min_eql_same_primary_high_close_taken_below,15.49692153930664
2020,xctx.minutes_since_last_ft_24h,15.40145492553711
2020,liqgeom.distance_pts_eql_same_primary_high_horizon_expired_below,15.309286117553711
2020,obgeom.range_width_pts_same_primary_bullish_body_filled_below,15.289443016052246
2020,xctx.total_events_1h,15.276420593261719
2020,liqgeom.age_min_swing_same_primary_low_fresh_below,15.266914367675781
2020,liqgeom.spread_pts_eql_any_symbol_any_side_wick_taken_below,15.1943941116333
2020,xctx.n_swing_1h,15.172813415527344
2020,xctx.n_itr_side_bullish_7d,15.156538009643555
2020,xctx.n_orb_side_bullish_7d,15.124109268188477
2020,xctx.n_fvg_side_bullish_7d,15.09206771850586
2020,xctx.minutes_since_last_smt_same_primary_7d,15.054889678955078
2020,xctx.minutes_since_last_fvg_side_bullish_24h,14.930602073669434
2020,regime.last_close_location_any_symbol_london_itr,14.827779769897461
2020,regime.last_true_range_pts_any_symbol_any_itr,14.794112205505371
2020,obgeom.range_width_pts_same_primary_any_side_fresh_below,14.751825332641602
2020,xctx.n_fvg_7d,14.68565559387207
2020,xctx.minutes_since_last_ogap_side_gap_up_7d,14.588488578796387
2020,xctx.n_fvg_side_bearish_24h,14.557717323303223
2020,liqgeom.age_min_swing_any_symbol_any_side_fresh_below,14.504643440246582
2020,xctx.n_fvg_same_primary_7d,14.480364799499512
2020,liqgeom.distance_pts_eql_any_symbol_high_horizon_expired_below,14.479500770568848
2020,xctx.minutes_since_last_tp_side_bullish_7d,14.468860626220703
2020,liqgeom.age_min_eql_any_symbol_high_horizon_expired_below,14.427301406860352
2020,fvggeom.age_min_same_primary_any_side_untouched_below,14.32658576965332
2020,fvggeom.width_pts_any_symbol_any_side_fully_filled_above,14.25259780883789
2020,liqgeom.age_min_eql_same_primary_high_horizon_expired_below,14.251008033752441
2020,xctx.minutes_since_last_eql_side_high_4h,14.233444213867188
2020,fvggeom.age_min_same_primary_bullish_tapped_below,14.144603729248047
2020,xctx.n_orb_side_bearish_7d,14.129816055297852
2020,ts.month,14.089167594909668
2020,liqgeom.age_min_any_source_same_primary_high_horizon_expired_below,14.082246780395508
2020,xctx.n_ob_side_bearish_7d,14.043999671936035
2020,liqgeom.distance_pts_swing_same_primary_any_side_fresh_above,14.039660453796387
2020,regime.last_true_range_pts_any_symbol_london_itr,14.01168441772461
2020,liqgeom.n_any_source_same_primary_high_close_taken_within_10pts,13.86681079864502
2020,fvggeom.age_min_any_symbol_bullish_closed_through_inside,13.778751373291016
2020,ts.year,13.746481895446777
2020,xctx.minutes_since_last_disp_24h,13.64023494720459
2020,xctx.n_fvg_side_bearish_7d,13.60848617553711
2020,xctx.minutes_since_last_tp_side_bullish_24h,13.517003059387207
