fold_test_year,feature,gain
2020,regime.minutes_since_last_same_primary_london_itr,186.3824005126953
2020,regime.minutes_since_last_any_symbol_london_itr,155.58828735351562
2020,xctx.minutes_since_last_ogap_7d,154.02980041503906
2020,xctx.minutes_since_last_tp_24h,143.0833740234375
2020,xctx.minutes_since_last_ogap_24h,127.13552856445312
2020,xctx.n_eql_side_high_7d,48.5208740234375
2020,regime.minutes_since_last_any_symbol_weekly_itr,47.0045280456543
2020,regime.minutes_since_last_same_primary_weekly_itr,44.26856231689453
2020,xctx.minutes_since_last_fvg_same_primary_4h,39.18934631347656
2020,xctx.minutes_since_last_fvg_same_primary_1h,34.42930221557617
2020,fvggeom.distance_pts_any_symbol_bearish_untouched_below,29.51068115234375
2020,regime.minutes_since_last_any_symbol_ny_itr,29.2862548828125
2020,liqgeom.age_min_any_source_any_symbol_any_side_fresh_below,28.714427947998047
2020,xctx.n_swing_4h,28.10002899169922
2020,regime.n_compression_7d_any_symbol_asia_itr,27.599090576171875
2020,xctx.minutes_since_last_orb_side_doji_7d,27.2084903717041
2020,xctx.has_fvg_side_bearish_1h,26.67529296875
2020,xctx.has_disp_1h,25.68010711669922
2020,xctx.n_ob_7d,25.579906463623047
2020,xctx.minutes_since_last_vp_side_selling_7d,25.384050369262695
2020,regime.minutes_since_last_same_primary_ny_itr,25.264116287231445
2020,xctx.total_events_1h,25.169721603393555
2020,xctx.minutes_since_last_macro_side_high_7d,24.764324188232422
2020,xctx.n_vp_side_selling_7d,24.459705352783203
2020,fvggeom.age_min_any_symbol_bearish_tapped_below,24.45125961303711
2020,regime.last_range_percentile_prev10_same_primary_any_itr,24.331159591674805
2020,liqgeom.age_min_swing_any_symbol_high_fresh_above,24.262380599975586
2020,xctx.n_orb_side_bullish_7d,24.14113998413086
2020,fvggeom.age_min_same_primary_any_side_untouched_below,23.60847282409668
2020,obgeom.range_width_pts_any_symbol_bullish_body_filled_above,23.52668571472168
2020,regime.last_range_percentile_prev10_same_primary_london_itr,23.51787757873535
2020,xctx.n_itr_side_bullish_24h,23.514453887939453
2020,fvggeom.n_any_symbol_any_side_untouched_within_10pts,23.407459259033203
2020,xctx.n_ob_side_bullish_24h,23.367353439331055
2020,fvggeom.age_min_same_primary_bullish_untouched_below,23.141061782836914
2020,obgeom.distance_pts_any_symbol_bearish_invalidated_below,22.86962890625
2020,xctx.minutes_since_last_fvg_4h,22.606311798095703
2020,fvggeom.age_min_any_symbol_any_side_closed_through_above,22.545047760009766
2020,regime.last_range_pts_same_primary_asia_itr,22.123729705810547
2020,liqgeom.age_min_eql_same_primary_high_horizon_expired_above,21.910123825073242
2020,xctx.n_fvg_1h,21.360652923583984
2020,liqgeom.age_min_any_source_same_primary_high_fresh_below,21.26463508605957
2020,liqgeom.age_min_eql_same_primary_any_side_wick_taken_above,20.983919143676758
2020,xctx.minutes_since_last_smt_side_high_7d,20.966312408447266
2020,regime.last_true_range_pts_any_symbol_any_itr,20.843151092529297
2020,obgeom.range_width_pts_same_primary_any_side_invalidated_inside,20.744367599487305
2020,xctx.minutes_since_last_fvg_1h,20.53019142150879
2020,liqgeom.age_min_eql_same_primary_any_side_close_taken_above,20.212495803833008
2020,xctx.minutes_since_last_orb_side_bullish_4h,20.079391479492188
2020,liqgeom.age_min_eql_any_symbol_any_side_fresh_above,19.97003173828125
2020,obgeom.distance_pts_same_primary_any_side_body_touched_below,19.938045501708984
2020,xctx.total_same_primary_events_1h,19.87226104736328
2020,liqgeom.distance_pts_any_source_any_symbol_any_side_wick_taken_above,19.837833404541016
2020,regime.last_direction_bullish_same_primary_daily_itr,19.695173263549805
2020,xctx.minutes_since_last_orb_side_bullish_1h,19.543270111083984
2020,regime.last_is_expansion_same_primary_any_itr,19.362747192382812
2020,xctx.minutes_since_last_ob_side_bearish_7d,18.856826782226562
2020,regime.last_true_range_pts_any_symbol_london_itr,18.798234939575195
2020,obgeom.range_width_pts_same_primary_bullish_invalidated_below,18.79783058166504
2020,obgeom.n_same_primary_bullish_body_touched_within_50pts,18.786588668823242
2020,liqgeom.distance_pts_any_source_same_primary_high_wick_taken_above,18.771408081054688
2020,xctx.minutes_since_last_ob_side_bearish_24h,18.501407623291016
2020,liqgeom.n_swing_same_primary_high_fresh_within_100pts,18.210573196411133
2020,liqgeom.n_members_any_source_same_primary_high_close_taken_above,18.135272979736328
2020,xctx.minutes_since_last_fvg_side_bearish_24h,18.12178611755371
2020,xctx.minutes_since_last_ogap_same_primary_24h,17.972488403320312
2020,fvggeom.distance_pts_any_symbol_bullish_fully_filled_below,17.730926513671875
2020,liqgeom.age_min_eql_any_symbol_high_fresh_above,17.62706756591797
2020,xctx.n_disp_7d,17.596969604492188
2020,liqgeom.age_min_eql_same_primary_high_fresh_above,17.573881149291992
2020,fvggeom.n_same_primary_any_side_untouched_within_10pts,17.516536712646484
2020,xctx.minutes_since_last_orb_side_bearish_24h,17.5023193359375
2020,liqgeom.age_min_any_source_same_primary_high_fresh_above,17.474136352539062
2020,xctx.n_macro_7d,17.2606201171875
2020,xctx.minutes_since_last_smt_7d,17.151702880859375
2020,liqgeom.age_min_any_source_same_primary_high_horizon_expired_above,17.151203155517578
2020,xctx.total_events_7d,17.11899757385254
2020,liqgeom.n_swing_any_symbol_high_close_taken_within_10pts,17.093074798583984
2020,regime.last_true_range_pts_any_symbol_ny_itr,17.039121627807617
2020,liqgeom.age_min_swing_same_primary_high_fresh_above,16.85280418395996
2020,obgeom.age_min_same_primary_bearish_invalidated_inside,16.75413703918457
2020,regime.last_true_range_pts_any_symbol_daily_itr,16.712732315063477
2020,xctx.minutes_since_last_fvp_side_balanced_24h,16.651920318603516
2020,xctx.minutes_since_last_vp_side_balanced_4h,16.446889877319336
2020,obgeom.distance_pts_any_symbol_bearish_fresh_above,16.358186721801758
2020,liqgeom.has_eql_any_symbol_any_side_fresh_above,16.24434471130371
2020,fvggeom.age_min_any_symbol_any_side_mid_filled_below,16.210031509399414
2020,sweep.ed.tracking_timeframe_1h,16.172740936279297
2020,fvggeom.distance_pts_any_symbol_bearish_tapped_above,16.08877182006836
2020,xctx.n_eql_7d,16.03572654724121
2020,liqgeom.n_swing_same_primary_high_close_taken_within_10pts,15.994637489318848
2020,fvggeom.age_min_any_symbol_bullish_tapped_below,15.983602523803711
2020,obgeom.age_min_any_symbol_any_side_body_touched_above,15.780303955078125
2020,fvggeom.distance_pts_any_symbol_bearish_tapped_below,15.762913703918457
2020,regime.n_compression_7d_any_symbol_ny_itr,15.725380897521973
2020,regime.last_range_pts_any_symbol_london_itr,15.689554214477539
2020,xctx.minutes_since_last_smt_side_low_7d,15.458538055419922
2020,obgeom.age_min_any_symbol_bullish_body_touched_above,15.44007682800293
2020,regime.last_is_expansion_any_symbol_any_itr,15.427807807922363
2020,obgeom.age_min_any_symbol_bullish_body_touched_below,15.390918731689453
2020,xctx.minutes_since_last_ogap_side_gap_down_7d,15.317766189575195
2020,obgeom.body_width_pts_any_symbol_any_side_fresh_below,15.315342903137207
2020,xctx.minutes_since_last_vp_side_buying_24h,15.275238037109375
2020,fvggeom.distance_pts_any_symbol_bullish_tapped_below,15.238016128540039
2020,liqgeom.distance_pts_swing_any_symbol_high_wick_taken_below,15.205734252929688
2020,xctx.n_fvg_side_bearish_1h,15.143811225891113
2020,sweep.event_type_ny_high_1h,15.07952880859375
2020,xctx.minutes_since_last_tp_side_bearish_7d,14.9717435836792
2020,liqgeom.spread_pts_eql_any_symbol_high_horizon_expired_below,14.888116836547852
2020,liqgeom.age_min_any_source_any_symbol_high_wick_taken_below,14.799223899841309
2020,xctx.n_fvg_side_bearish_24h,14.743330955505371
2020,liqgeom.distance_pts_eql_any_symbol_any_side_fresh_above,14.72240161895752
2020,ts.year,14.706900596618652
2020,regime.last_close_location_any_symbol_weekly_itr,14.684357643127441
2020,fvggeom.age_min_same_primary_any_side_closed_through_above,14.67045783996582
2020,fvggeom.age_min_any_symbol_bearish_closed_through_above,14.643754959106445
2020,regime.last_range_percentile_prev10_any_symbol_asia_itr,14.59521198272705
2020,liqgeom.distance_pts_eql_any_symbol_low_fresh_above,14.47878646850586
2020,obgeom.range_width_pts_any_symbol_bearish_invalidated_above,14.444297790527344
2020,regime.last_range_pts_any_symbol_weekly_itr,14.424257278442383
2020,obgeom.body_width_pts_same_primary_any_side_body_filled_below,14.374326705932617
2020,obgeom.n_any_symbol_bullish_body_touched_within_100pts,14.35528564453125
2020,liqgeom.distance_pts_eql_any_symbol_any_side_close_taken_below,14.333839416503906
2020,obgeom.range_width_pts_any_symbol_bearish_invalidated_inside,14.331730842590332
2020,xctx.n_fvg_side_bearish_7d,14.327239036560059
2020,liqgeom.distance_pts_swing_same_primary_any_side_close_taken_below,14.325204849243164
2020,xctx.minutes_since_last_smt_same_primary_7d,14.265830993652344
2020,xctx.minutes_since_last_tp_side_bullish_24h,14.247817993164062
2020,xctx.minutes_since_last_orb_side_bullish_24h,13.989699363708496
2020,regime.last_close_location_same_primary_weekly_itr,13.972122192382812
2020,obgeom.body_width_pts_any_symbol_bearish_body_filled_above,13.927315711975098
2020,regime.last_close_location_any_symbol_london_itr,13.900092124938965
2020,xctx.n_eql_side_low_7d,13.896162033081055
2020,liqgeom.age_min_any_source_any_symbol_low_wick_taken_above,13.851232528686523
2020,xctx.n_fvg_same_primary_1h,13.831490516662598
2020,liqgeom.age_min_swing_any_symbol_any_side_horizon_expired_below,13.808631896972656
2020,obgeom.distance_pts_any_symbol_any_side_body_touched_above,13.72428035736084
2020,obgeom.range_width_pts_any_symbol_bearish_invalidated_below,13.715804100036621
2020,obgeom.age_min_any_symbol_any_side_invalidated_below,13.710543632507324
2020,fvggeom.width_pts_same_primary_any_side_untouched_above,13.680916786193848
2020,xctx.n_fvp_side_selling_7d,13.654916763305664
2020,obgeom.distance_pts_same_primary_any_side_fresh_above,13.609269142150879
2020,liqgeom.spread_pts_eql_any_symbol_high_horizon_expired_above,13.541703224182129
2020,fvggeom.width_pts_any_symbol_any_side_closed_through_below,13.541254043579102
2020,fvggeom.age_min_any_symbol_any_side_tapped_below,13.538938522338867
2020,obgeom.age_min_same_primary_bearish_invalidated_below,13.519058227539062
2020,fvggeom.age_min_any_symbol_bullish_fully_filled_below,13.508319854736328
2020,xctx.minutes_since_last_orb_side_bearish_1h,13.444746017456055
2020,xctx.n_orb_side_doji_7d,13.416084289550781
2020,liqgeom.spread_pts_eql_any_symbol_any_side_close_taken_above,13.415761947631836
2020,liqgeom.spread_pts_eql_same_primary_any_side_close_taken_above,13.4148588180542
2020,liqgeom.spread_pts_eql_any_symbol_low_close_taken_below,13.393929481506348
2020,liqgeom.distance_pts_any_source_same_primary_any_side_close_taken_below,13.341965675354004
2020,obgeom.range_width_pts_any_symbol_any_side_fresh_below,13.298826217651367
2020,obgeom.age_min_any_symbol_any_side_body_touched_below,13.29203987121582
2020,xctx.minutes_since_last_vp_side_balanced_7d,13.285076141357422
2020,obgeom.body_width_pts_any_symbol_any_side_invalidated_above,13.262711524963379
2020,xctx.minutes_since_last_disp_side_bullish_24h,13.246248245239258
2020,xctx.minutes_since_last_ob_side_bullish_24h,13.243597984313965
2020,liqgeom.age_min_eql_same_primary_any_side_fresh_above,13.231524467468262
2020,fvggeom.width_pts_any_symbol_bullish_mid_filled_below,13.196090698242188
2020,xctx.minutes_since_last_eql_same_primary_24h,13.187836647033691
2020,liqgeom.age_min_swing_same_primary_high_wick_taken_below,13.161517143249512
2020,fvggeom.width_pts_same_primary_bullish_untouched_below,13.158907890319824
2020,xctx.minutes_since_last_fvg_side_bullish_1h,13.05499267578125
2020,fvggeom.age_min_any_symbol_bearish_mid_filled_below,12.936083793640137
2020,obgeom.body_width_pts_same_primary_any_side_fresh_below,12.867015838623047
2020,obgeom.body_width_pts_any_symbol_bullish_invalidated_inside,12.842442512512207
2020,xctx.n_macro_side_high_7d,12.825274467468262
2020,fvggeom.age_min_any_symbol_bullish_closed_through_above,12.618318557739258
2020,liqgeom.age_min_eql_any_symbol_any_side_horizon_expired_above,12.540303230285645
2020,liqgeom.age_min_eql_same_primary_any_side_fresh_below,12.496394157409668
2020,liqgeom.age_min_eql_any_symbol_high_horizon_expired_above,12.468962669372559
2020,liqgeom.spread_pts_eql_same_primary_low_wick_taken_below,12.453435897827148
2020,regime.last_range_percentile_prev10_same_primary_ny_itr,12.33067512512207
2020,xctx.n_orb_side_bullish_24h,12.306057929992676
2020,fvggeom.age_min_any_symbol_bullish_tapped_above,12.204197883605957
2020,regime.n_compression_7d_same_primary_ny_itr,12.198078155517578
2020,xctx.minutes_since_last_vp_side_selling_24h,12.173775672912598
2020,xctx.total_same_primary_events_24h,12.139009475708008
2020,sweep.ed.sweep_depth_pts,12.118302345275879
2020,regime.minutes_since_last_same_primary_daily_itr,12.104883193969727
2020,xctx.n_disp_side_bearish_24h,12.095305442810059
2020,xctx.minutes_since_last_itr_side_doji_7d,12.057719230651855
2020,obgeom.n_any_symbol_bearish_invalidated_within_10pts,11.996174812316895
2020,fvggeom.age_min_same_primary_bearish_fully_filled_below,11.954490661621094
2020,xctx.minutes_since_last_psp_24h,11.89111328125
2020,fvggeom.age_min_any_symbol_bullish_mid_filled_below,11.846749305725098
2020,liqgeom.n_eql_same_primary_low_close_taken_within_100pts,11.833097457885742
2020,regime.last_true_range_pts_any_symbol_weekly_itr,11.750237464904785
2020,liqgeom.age_min_eql_any_symbol_low_fresh_above,11.733049392700195
2020,regime.last_direction_bearish_same_primary_ny_itr,11.647834777832031
2020,obgeom.range_width_pts_same_primary_any_side_invalidated_above,11.562446594238281
2020,liqgeom.age_min_eql_any_symbol_low_wick_taken_below,11.518176078796387
2020,fvggeom.age_min_any_symbol_bullish_untouched_above,11.494331359863281
2020,fvggeom.width_pts_any_symbol_any_side_mid_filled_below,11.4694242477417
2020,regime.last_close_location_same_primary_any_itr,11.469131469726562
2020,regime.last_range_pts_same_primary_any_itr,11.44071102142334
2020,obgeom.body_width_pts_any_symbol_bullish_body_touched_below,11.385404586791992
2020,fvggeom.distance_pts_any_symbol_bullish_closed_through_below,11.297465324401855
2020,xctx.minutes_since_last_ogap_side_gap_down_24h,11.262168884277344
2020,liqgeom.distance_pts_swing_any_symbol_low_close_taken_above,11.212932586669922
