fold_test_year,feature,gain
2020,xctx.minutes_since_last_tp_same_primary_24h,253.56968688964844
2020,xctx.minutes_since_last_tp_24h,252.83456420898438
2020,regime.minutes_since_last_any_symbol_london_itr,234.15138244628906
2020,regime.minutes_since_last_same_primary_london_itr,146.3522491455078
2020,xctx.minutes_since_last_fvg_side_bearish_1h,105.64048767089844
2020,xctx.minutes_since_last_ogap_7d,80.72611236572266
2020,xctx.minutes_since_last_ogap_24h,76.70023345947266
2020,xctx.minutes_since_last_fvg_same_primary_1h,65.49747467041016
2020,liqgeom.n_members_eql_same_primary_low_fresh_below,44.42797088623047
2020,fvggeom.age_min_any_symbol_bullish_tapped_above,43.41236114501953
2020,fvggeom.age_min_same_primary_bearish_untouched_above,42.18978500366211
2020,xctx.minutes_since_last_tp_side_bearish_7d,41.781192779541016
2020,fvggeom.distance_pts_same_primary_bearish_untouched_above,40.736175537109375
2020,obgeom.range_width_pts_any_symbol_bearish_invalidated_inside,39.763328552246094
2020,liqgeom.age_min_swing_same_primary_any_side_close_taken_above,38.70603942871094
2020,xctx.n_fvg_same_primary_1h,34.31551742553711
2020,xctx.n_fvg_side_bullish_24h,34.12874221801758
2020,xctx.minutes_since_last_vp_side_selling_7d,33.39170837402344
2020,xctx.n_disp_side_bullish_24h,33.34099578857422
2020,fvggeom.width_pts_same_primary_any_side_mid_filled_above,30.771183013916016
2020,xctx.n_fvg_side_bullish_4h,29.716819763183594
2020,xctx.n_tp_side_bullish_24h,28.6014404296875
2020,xctx.n_fvg_24h,28.057018280029297
2020,xctx.n_fvp_side_selling_24h,27.89540672302246
2020,fvggeom.age_min_any_symbol_bearish_mid_filled_above,27.887495040893555
2020,obgeom.age_min_same_primary_bullish_body_filled_above,26.72412872314453
2020,obgeom.distance_pts_any_symbol_bullish_body_touched_above,26.388771057128906
2020,fvggeom.n_same_primary_bearish_tapped_within_50pts,26.32779312133789
2020,liqgeom.distance_pts_eql_same_primary_low_fresh_below,26.20379066467285
2020,xctx.minutes_since_last_psp_side_bearish_7d,25.567821502685547
2020,xctx.n_fvg_side_bearish_1h,25.562089920043945
2020,xctx.minutes_since_last_macro_7d,25.46487045288086
2020,xctx.n_vp_side_balanced_7d,25.294315338134766
2020,xctx.total_events_24h,25.0289249420166
2020,fvggeom.distance_pts_any_symbol_bullish_mid_filled_above,24.646577835083008
2020,xctx.n_swing_same_primary_7d,24.596115112304688
2020,fvggeom.age_min_any_symbol_bullish_mid_filled_above,24.332977294921875
2020,liqgeom.distance_pts_swing_any_symbol_high_fresh_below,24.22384262084961
2020,xctx.n_orb_side_bullish_24h,23.956783294677734
2020,xctx.minutes_since_last_tp_side_bearish_24h,23.621522903442383
2020,sweep.ed.tracking_timeframe_1h,23.536685943603516
2020,fvggeom.age_min_any_symbol_any_side_mid_filled_above,23.24553871154785
2020,obgeom.range_width_pts_any_symbol_any_side_body_filled_above,23.123207092285156
2020,fvggeom.age_min_any_symbol_bearish_fully_filled_below,22.875452041625977
2020,xctx.n_fvg_side_bullish_7d,22.85932159423828
2020,regime.minutes_since_last_same_primary_weekly_itr,22.77629852294922
2020,liqgeom.age_min_any_source_same_primary_high_fresh_above,22.334854125976562
2020,regime.minutes_since_last_any_symbol_weekly_itr,22.330148696899414
2020,obgeom.range_width_pts_same_primary_bearish_invalidated_inside,22.23522186279297
2020,xctx.minutes_since_last_fvg_side_bullish_1h,22.183774948120117
2020,regime.last_close_location_same_primary_daily_itr,22.06044578552246
2020,xctx.n_vp_side_buying_7d,21.9471378326416
2020,fvggeom.distance_pts_any_symbol_any_side_fully_filled_above,21.820653915405273
2020,fvggeom.distance_pts_any_symbol_bearish_closed_through_above,21.67714500427246
2020,regime.last_direction_bearish_same_primary_daily_itr,21.534183502197266
2020,fvggeom.distance_pts_same_primary_bearish_mid_filled_above,21.365629196166992
2020,xctx.minutes_since_last_fvp_side_selling_4h,21.316246032714844
2020,regime.n_compression_7d_any_symbol_any_itr,21.29751205444336
2020,obgeom.body_width_pts_any_symbol_bullish_body_touched_below,21.220111846923828
2020,fvggeom.distance_pts_same_primary_bullish_untouched_above,21.033109664916992
2020,fvggeom.distance_pts_any_symbol_bearish_fully_filled_above,20.943620681762695
