fold_test_year,feature,gain
2020,sweep.day_of_week,152.09271240234375
2020,sweep.ctx.day_of_week_et,75.18345642089844
2020,sweep.hour_of_day_utc,56.22090148925781
2020,liqgeom.age_min_swing_any_symbol_low_fresh_below,51.25962829589844
2020,sweep.event_type_ny_low_1h,46.37038040161133
2020,liqgeom.age_min_eql_same_primary_any_side_wick_taken_below,45.362152099609375
2020,regime.last_range_percentile_prev10_same_primary_daily_itr,42.11933517456055
2020,fvggeom.distance_pts_same_primary_bearish_fully_filled_above,39.7796630859375
2020,xctx.n_ogap_side_gap_up_7d,39.23378372192383
2020,xctx.n_macro_side_medium_7d,36.82563781738281
2020,sweep.ed.mode_pdl_4h,36.527286529541016
2020,xctx.minutes_since_last_swing_side_high_7d,33.36455154418945
2020,liqgeom.spread_pts_eql_same_primary_any_side_wick_taken_below,33.27320098876953
2020,sweep.event_type_pdl_4h,33.23085403442383
2020,xctx.minutes_since_last_ogap_side_gap_down_24h,31.772294998168945
2020,xctx.minutes_since_last_smt_side_high_7d,29.41168212890625
2020,xctx.n_orb_side_bearish_7d,28.20724105834961
2020,liqgeom.age_min_any_source_any_symbol_any_side_horizon_expired_below,27.885875701904297
2020,xctx.minutes_since_last_orb_same_primary_24h,27.505491256713867
2020,sweep.ctx.tracking_timeframe_1h,27.434412002563477
2020,regime.last_is_compression_any_symbol_daily_itr,26.76349449157715
2020,liqgeom.spread_pts_eql_same_primary_any_side_fresh_above,26.285924911499023
2020,xctx.n_swing_side_low_7d,25.260425567626953
2020,fvggeom.age_min_same_primary_any_side_untouched_below,24.196434020996094
2020,xctx.total_events_1h,24.002843856811523
2020,xctx.minutes_since_last_fvg_side_bearish_4h,23.734333038330078
2020,xctx.minutes_since_last_tp_24h,23.389019012451172
2020,regime.minutes_since_last_any_symbol_weekly_itr,22.924585342407227
2020,fvggeom.n_any_symbol_bearish_untouched_within_10pts,22.426801681518555
2020,regime.minutes_since_last_same_primary_weekly_itr,22.308143615722656
2020,sweep.ed.ref_type_pdl,22.16716194152832
2020,xctx.total_same_primary_events_1h,21.97649574279785
2020,fvggeom.width_pts_same_primary_bearish_untouched_above,21.95386505126953
2020,regime.n_expansion_7d_any_symbol_any_itr,21.841249465942383
2020,liqgeom.age_min_eql_same_primary_low_wick_taken_above,21.59809112548828
2020,liqgeom.age_min_swing_any_symbol_low_fresh_above,21.453292846679688
2020,xctx.minutes_since_last_ogap_side_gap_down_7d,20.9794921875
2020,obgeom.range_width_pts_any_symbol_bearish_body_touched_above,20.786466598510742
2020,regime.last_range_percentile_prev10_any_symbol_daily_itr,20.73936653137207
2020,xctx.minutes_since_last_orb_side_doji_7d,20.495813369750977
2020,xctx.n_vp_side_balanced_24h,20.491981506347656
2020,sweep.ed.tracking_timeframe_1h,20.364057540893555
2020,sweep.month,20.291027069091797
2020,xctx.minutes_since_last_orb_24h,20.132265090942383
2020,obgeom.age_min_same_primary_bullish_invalidated_above,19.85511589050293
2020,xctx.minutes_since_last_smt_7d,19.82393455505371
2020,regime.last_range_percentile_prev10_same_primary_any_itr,19.681211471557617
2020,regime.last_close_location_any_symbol_weekly_itr,19.382949829101562
2020,xctx.n_swing_7d,19.040592193603516
2020,fvggeom.distance_pts_same_primary_any_side_tapped_above,18.95996856689453
2020,liqgeom.age_min_any_source_any_symbol_high_fresh_below,18.766456604003906
2020,obgeom.age_min_same_primary_bullish_invalidated_inside,18.636005401611328
2020,fvggeom.width_pts_same_primary_bearish_closed_through_inside,18.55263328552246
2020,xctx.n_eql_side_high_7d,18.10927391052246
2020,liqgeom.distance_pts_eql_any_symbol_any_side_fresh_above,18.07443618774414
2020,xctx.n_vp_side_selling_7d,18.065780639648438
2020,xctx.n_ob_same_primary_7d,17.85683822631836
2020,fvggeom.width_pts_any_symbol_any_side_untouched_above,17.676956176757812
2020,liqgeom.distance_pts_eql_any_symbol_high_fresh_above,17.506046295166016
2020,xctx.n_fvg_side_bullish_4h,17.495250701904297
2020,xctx.minutes_since_last_fvg_side_bullish_24h,17.402469635009766
2020,xctx.minutes_since_last_ogap_24h,17.375904083251953
2020,xctx.minutes_since_last_orb_side_bearish_24h,17.354555130004883
