window,family,slippage,reverse,hour_filter,n,cum_r,avg_r,win_rate,max_dd_r,yrs_pos,per_year_cum_r,per_symbol_cum_r,expected_avg_r_exploratory
locked_holdout_1,FVG strict,primary_2tick,False,False,22088,845.9935,0.0383,0.4403,205.0056,2,"{2018: 763.2896129317871, 2019: 82.70389729833927}","{'ES.c.0': -390.2513449460524, 'NQ.c.0': 1236.2448551761788}",0.1500
locked_holdout_1,FVG strict,stress_1tick,False,False,22088,2082.8866,0.0943,0.4609,115.4574,2,"{2018: 1410.064545077643, 2019: 672.8220217843935}","{'ES.c.0': 539.9292931037755, 'NQ.c.0': 1542.957273758261}",0.1500
locked_holdout_1,FVG strict,no_slippage,False,False,22088,3318.2759,0.1502,0.4830,70.7171,2,"{2018: 2023.689982050404, 2019: 1294.5859284933445}","{'ES.c.0': 1455.6280451555533, 'NQ.c.0': 1862.6478653881954}",0.1500
locked_holdout_1,OB strict,primary_2tick,False,False,4117,1391.4543,0.3380,0.5783,15.0160,2,"{2018: 698.7369215185042, 2019: 692.7173565842525}","{'ES.c.0': 598.0357777541736, 'NQ.c.0': 793.418500348583}",0.4400
locked_holdout_1,OB strict,stress_1tick,False,False,4117,1648.5394,0.4004,0.6019,14.4263,2,"{2018: 830.2266712952418, 2019: 818.3127007868551}","{'ES.c.0': 792.5446776631417, 'NQ.c.0': 855.9946944189552}",0.4400
locked_holdout_1,OB strict,no_slippage,False,False,4117,1886.0911,0.4581,0.6230,12.4595,2,"{2018: 948.035476977561, 2019: 938.0555782726132}","{'ES.c.0': 972.8531094334716, 'NQ.c.0': 913.2379458167024}",0.4400
locked_holdout_1,Swing reversed,primary_2tick,True,False,5328,-1967.9709,-0.3694,0.2491,1971.2187,0,"{2018: -995.5441577256552, 2019: -972.4267358866721}","{'ES.c.0': -1137.2931745648275, 'NQ.c.0': -830.6777190474999}",0.2000
locked_holdout_1,Swing reversed,stress_1tick,True,False,5328,-1697.1227,-0.3185,0.2660,1701.4363,0,"{2018: -861.7975956008428, 2019: -835.325110181132}","{'ES.c.0': -934.3637301900026, 'NQ.c.0': -762.7589755919723}",0.2000
locked_holdout_1,Swing reversed,no_slippage,True,False,5328,-1404.7246,-0.2636,0.2864,1410.1040,0,"{2018: -724.7891234563903, 2019: -679.9354455124748}","{'ES.c.0': -714.9916861880204, 'NQ.c.0': -689.7328827808446}",0.2000
locked_holdout_1,Sweep reversed (filtered),primary_2tick,True,True,1908,958.4316,0.5023,0.5372,17.4998,2,"{2018: 530.3850309154967, 2019: 428.0465792239572}","{'ES.c.0': 408.819956282467, 'NQ.c.0': 549.611653856987}",0.5290
locked_holdout_1,Sweep reversed (filtered),stress_1tick,True,True,1908,1070.2923,0.5609,0.5508,14.5648,2,"{2018: 586.4391493102632, 2019: 483.85314019168004}","{'ES.c.0': 499.1346730264631, 'NQ.c.0': 571.1576164754803}",0.5290
locked_holdout_1,Sweep reversed (filtered),no_slippage,True,True,1908,1188.5263,0.6229,0.5660,13.4297,2,"{2018: 646.0953136768388, 2019: 542.4309841899018}","{'ES.c.0': 583.9048359829725, 'NQ.c.0': 604.6214618837681}",0.5290
locked_holdout_2,FVG strict,primary_2tick,False,False,1547,242.9596,0.1571,0.5120,34.7052,1,{2026: 242.95964597954568},"{'ES.c.0': 80.24676432406186, 'NQ.c.0': 162.7128816554838}",0.1500
locked_holdout_2,FVG strict,stress_1tick,False,False,1547,260.1073,0.1681,0.5152,33.2376,1,{2026: 260.10725005479696},"{'ES.c.0': 94.17094844620524, 'NQ.c.0': 165.93630160859175}",0.1500
locked_holdout_2,FVG strict,no_slippage,False,False,1547,282.3401,0.1825,0.5204,31.0631,1,{2026: 282.3401471601602},"{'ES.c.0': 111.52070652279221, 'NQ.c.0': 170.819440637368}",0.1500
locked_holdout_2,OB strict,primary_2tick,False,False,242,117.8027,0.4868,0.6529,5.6182,1,{2026: 117.80274137821274},"{'ES.c.0': 59.61069553727537, 'NQ.c.0': 58.192045840937375}",0.4400
locked_holdout_2,OB strict,stress_1tick,False,False,242,122.1624,0.5048,0.6570,5.5217,1,{2026: 122.16237264212648},"{'ES.c.0': 63.496508496743544, 'NQ.c.0': 58.66586414538293}",0.4400
locked_holdout_2,OB strict,no_slippage,False,False,242,126.8033,0.5240,0.6570,5.4252,1,{2026: 126.80329310481598},"{'ES.c.0': 67.6636106549875, 'NQ.c.0': 59.139682449828484}",0.4400
locked_holdout_2,Swing reversed,primary_2tick,True,False,307,-75.8264,-0.2470,0.3192,78.1507,0,{2026: -75.8264265445843},"{'ES.c.0': -36.589623126887105, 'NQ.c.0': -39.23680341769719}",0.2000
locked_holdout_2,Swing reversed,stress_1tick,True,False,307,-70.1485,-0.2285,0.3225,72.7870,0,{2026: -70.14847877447434},"{'ES.c.0': -31.502087791272327, 'NQ.c.0': -38.64639098320201}",0.2000
locked_holdout_2,Swing reversed,no_slippage,True,False,307,-67.0192,-0.2183,0.3290,69.9720,0,{2026: -67.01920646736761},"{'ES.c.0': -28.96322791866077, 'NQ.c.0': -38.05597854870684}",0.2000
locked_holdout_2,Sweep reversed (filtered),primary_2tick,True,True,114,84.2894,0.7394,0.6491,4.0361,1,{2026: 84.28943941930801},"{'ES.c.0': 48.37525252215103, 'NQ.c.0': 35.91418689715698}",0.5290
locked_holdout_2,Sweep reversed (filtered),stress_1tick,True,True,114,85.1971,0.7473,0.6491,4.0180,1,{2026: 85.1971195415445},"{'ES.c.0': 49.11141984220433, 'NQ.c.0': 36.085699699340175}",0.5290
locked_holdout_2,Sweep reversed (filtered),no_slippage,True,True,114,86.1048,0.7553,0.6491,4.0000,1,{2026: 86.104799663781},"{'ES.c.0': 49.84758716225763, 'NQ.c.0': 36.25721250152337}",0.5290
