slippage,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r,family,entry_hour_utc
primary_2tick,2018,NQ.c.0,bullish,long,2018-01-02 00:00:00+00:00,2018-01-02 00:03:00+00:00,6417.5,2018-01-02 04:03:00+00:00,6413.75,time_exit,10.0848,6397.3304,6467.9241,-3.75,-0.1859,OB strict,
primary_2tick,2018,NQ.c.0,high,long,2018-01-02 12:00:00+00:00,2018-01-02 12:02:00+00:00,6417.5,2018-01-02 14:25:00+00:00,6439.3973,target,4.3795,6408.7411,6439.3973,21.8973,2.5,Sweep reversed (filtered),12.0
primary_2tick,2018,ES.c.0,bearish,short,2018-01-03 00:00:00+00:00,2018-01-03 00:08:00+00:00,2693.5,2018-01-03 04:08:00+00:00,2696.75,time_exit,1.6607,2696.8214,2685.1964,-3.25,-0.9785,OB strict,
primary_2tick,2018,ES.c.0,high,long,2018-01-03 07:00:00+00:00,2018-01-03 07:04:00+00:00,2696.5,2018-01-03 11:04:00+00:00,2697.75,time_exit,0.7232,2695.0536,2700.1161,1.25,0.8642,Sweep reversed (filtered),7.0
primary_2tick,2018,ES.c.0,bearish,short,2018-01-03 12:00:00+00:00,2018-01-03 12:05:00+00:00,2696.75,2018-01-03 14:29:00+00:00,2698.7232,stop,0.7366,2698.2232,2693.067,-1.9732,-1.3394,OB strict,
primary_2tick,2018,ES.c.0,high,long,2018-01-03 15:00:00+00:00,2018-01-03 15:03:00+00:00,2705.0,2018-01-03 17:51:00+00:00,2711.6964,target,1.3393,2702.3214,2711.6964,6.6964,2.5,Sweep reversed (filtered),15.0
primary_2tick,2018,ES.c.0,bearish,short,2018-01-04 00:00:00+00:00,2018-01-04 00:12:00+00:00,2711.25,2018-01-04 04:12:00+00:00,2713.25,time_exit,1.7812,2714.8125,2702.3438,-2.0,-0.5614,OB strict,
primary_2tick,2018,ES.c.0,high,long,2018-01-04 07:00:00+00:00,2018-01-04 07:03:00+00:00,2713.5,2018-01-04 11:03:00+00:00,2712.75,time_exit,1.0714,2711.3571,2718.8571,-0.75,-0.35,Sweep reversed (filtered),7.0
primary_2tick,2018,ES.c.0,high,long,2018-01-04 15:00:00+00:00,2018-01-04 15:03:00+00:00,2724.75,2018-01-04 19:03:00+00:00,2726.0,time_exit,1.7143,2721.3214,2733.3214,1.25,0.3646,Sweep reversed (filtered),15.0
primary_2tick,2018,ES.c.0,bearish,short,2018-01-05 00:00:00+00:00,2018-01-05 00:03:00+00:00,2724.75,2018-01-05 04:03:00+00:00,2726.0,time_exit,1.8616,2728.4732,2715.442,-1.25,-0.3357,OB strict,
primary_2tick,2018,ES.c.0,high,long,2018-01-05 07:00:00+00:00,2018-01-05 07:11:00+00:00,2727.0,2018-01-05 09:51:00+00:00,2729.8795,target,0.5759,2725.8482,2729.8795,2.8795,2.5,Sweep reversed (filtered),7.0
primary_2tick,2018,ES.c.0,high,long,2018-01-05 15:00:00+00:00,2018-01-05 15:03:00+00:00,2731.5,2018-01-05 19:03:00+00:00,2733.5,time_exit,1.8929,2727.7143,2740.9643,2.0,0.5283,Sweep reversed (filtered),15.0
primary_2tick,2018,NQ.c.0,bearish,short,2018-01-08 01:00:00+00:00,2018-01-08 01:06:00+00:00,6673.75,2018-01-08 05:06:00+00:00,6671.0,time_exit,5.1562,6684.0625,6647.9688,2.75,0.2667,OB strict,
primary_2tick,2018,NQ.c.0,high,long,2018-01-08 07:00:00+00:00,2018-01-08 07:03:00+00:00,6671.5,2018-01-08 08:25:00+00:00,6666.4464,stop,2.2768,6666.9464,6682.8839,-5.0536,-1.1098,Sweep reversed (filtered),7.0
primary_2tick,2018,NQ.c.0,high,long,2018-01-08 15:00:00+00:00,2018-01-08 15:03:00+00:00,6670.5,2018-01-08 15:09:00+00:00,6659.5,stop,5.25,6660.0,6696.75,-11.0,-1.0476,Sweep reversed (filtered),15.0
primary_2tick,2018,ES.c.0,high,long,2018-01-08 17:00:00+00:00,2018-01-08 17:02:00+00:00,2742.75,2018-01-08 21:02:00+00:00,2746.25,time_exit,1.9821,2738.7857,2752.6607,3.5,0.8829,Sweep reversed (filtered),17.0
primary_2tick,2018,ES.c.0,bearish,short,2018-01-09 00:00:00+00:00,2018-01-09 00:02:00+00:00,2746.75,2018-01-09 04:02:00+00:00,2745.75,time_exit,1.5536,2749.8571,2738.9821,1.0,0.3218,OB strict,
primary_2tick,2018,NQ.c.0,bearish,short,2018-01-09 04:00:00+00:00,2018-01-09 04:04:00+00:00,6687.0,2018-01-09 08:04:00+00:00,6690.0,time_exit,3.8839,6694.7679,6667.5804,-3.0,-0.3862,OB strict,
primary_2tick,2018,NQ.c.0,bearish,short,2018-01-09 14:00:00+00:00,2018-01-09 14:02:00+00:00,6703.0,2018-01-09 14:39:00+00:00,6687.8661,target,3.0268,6709.0536,6687.8661,15.1339,2.5,OB strict,
primary_2tick,2018,ES.c.0,high,long,2018-01-09 15:00:00+00:00,2018-01-09 15:03:00+00:00,2749.25,2018-01-09 16:17:00+00:00,2755.8571,target,1.3214,2746.6071,2755.8571,6.6071,2.5,Sweep reversed (filtered),15.0
primary_2tick,2018,NQ.c.0,bearish,short,2018-01-09 20:00:00+00:00,2018-01-09 20:05:00+00:00,6696.75,2018-01-10 00:05:00+00:00,6685.5,time_exit,8.9062,6714.5625,6652.2188,11.25,0.6316,OB strict,
primary_2tick,2018,NQ.c.0,bullish,long,2018-01-10 03:00:00+00:00,2018-01-10 03:02:00+00:00,6678.75,2018-01-10 07:02:00+00:00,6677.0,time_exit,5.2768,6668.1964,6705.1339,-1.75,-0.1658,OB strict,
